Orthogroup	AAEG.longest_only	BCOP.longest_only
OG0000002	LOC5568253|XP_001657952.2|AAEG, LOC5566117|XP_021695405.1|AAEG, LOC110677651|XP_021704240.1|AAEG, LOC5571893|XP_001653803.1|AAEG, LOC5572899|XP_001660638.2|AAEG, LOC5570871|XP_001659383.2|AAEG, LOC5575089|XP_001661797.2|AAEG, LOC5575073|XP_001661796.2|AAEG, LOC5572884|XP_021705045.1|AAEG, LOC110678182|XP_021706497.1|AAEG, LOC110680512|XP_021712002.1|AAEG, LOC5570143|XP_001653125.1|AAEG, LOC5572055|XP_001653820.1|AAEG, LOC110681444|XP_021712898.1|AAEG	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC5571532|XP_001653677.1|AAEG, LOC5571524|XP_001653676.1|AAEG, LOC5571533|XP_001653678.1|AAEG, LOC5572939|XP_021702543.1|AAEG, LOC5572936|XP_021702544.1|AAEG, LOC5571526|XP_001653672.1|AAEG, LOC23687976|XP_021703143.1|AAEG, LOC5571529|XP_001653674.1|AAEG, LOC5571528|XP_001653673.1|AAEG, LOC5571549|XP_001653671.1|AAEG	LOC119068573|XP_037028113.1|BCOP
OG0000003	LOC5571536|XP_021703140.1|AAEG, LOC23687959|XP_011493176.1|AAEG	LOC119075880|XP_037038340.1|BCOP, LOC119071708|XP_037032596.1|BCOP
OG0000003	LOC5571531|XP_001653675.1|AAEG	LOC119078496|XP_037041942.1|BCOP
OG0000003	LOC5576391|XP_021694388.1|AAEG, LOC5565578|XP_001649932.1|AAEG	LOC119081763|XP_037046852.1|BCOP, LOC119068720|XP_037028307.1|BCOP, LOC119067922|XP_037027121.1|BCOP, LOC119076082|XP_037038628.1|BCOP, LOC119077463|XP_037040564.1|BCOP, LOC119085325|XP_037051602.1|BCOP
OG0000003	LOC110674119|XP_021693512.1|AAEG, LOC23687481|XP_021693513.1|AAEG	LOC119080884|XP_037045357.1|BCOP, LOC119074508|XP_037036560.1|BCOP, LOC119084862|XP_037050890.1|BCOP
OG0000004	LOC110675140|XP_021695214.1|AAEG, LOC110678203|XP_021706521.1|AAEG, LOC110680841|XP_021712324.1|AAEG, LOC110681232|XP_021712695.1|AAEG	LOC119078393|XP_037041791.1|BCOP
OG0000005	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP
OG0000005	LOC110678246|XP_021706557.1|AAEG	LOC119077560|XP_037040666.1|BCOP, LOC119075403|XP_037037742.1|BCOP, LOC119082441|XP_037047863.1|BCOP, LOC119075506|XP_037037868.1|BCOP, LOC119075097|XP_037037381.1|BCOP, LOC119082499|XP_037047909.1|BCOP
