Orthogroup	AAEG.longest_only	SLEB.longest_only
OG0000002	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000004	LOC110675140|XP_021695214.1|AAEG	LOC115633467|XP_030386783.1|SLEB
OG0000004	LOC110678203|XP_021706521.1|AAEG, LOC110680841|XP_021712324.1|AAEG, LOC110681232|XP_021712695.1|AAEG	LOC115633464|XP_030386779.1|SLEB, LOC115633591|XP_030386895.1|SLEB, LOC115630342|XP_030382736.1|SLEB
OG0000005	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG	LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB
OG0000006	LOC110678836|XP_021708006.1|AAEG	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC110679779|XP_021711202.1|AAEG	LOC115630328|XP_030382725.1|SLEB
OG0000006	LOC110679784|XP_021711208.1|AAEG	LOC115630120|XP_030382591.1|SLEB
OG0000006	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG	LOC115630278|XP_030382673.1|SLEB
OG0000006	LOC110679774|XP_021711197.1|AAEG	LOC115633465|XP_030386780.1|SLEB
OG0000006	LOC110679787|XP_021711211.1|AAEG	LOC115630363|XP_030382756.1|SLEB
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC115629771|XP_030382185.1|SLEB, LOC115633152|XP_030386421.1|SLEB, LOC115633153|XP_030386422.1|SLEB, LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB, LOC115633111|XP_030386356.1|SLEB, LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB, LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB, LOC115630750|XP_030383265.1|SLEB
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC110677732|XP_021704637.1|AAEG	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	LOC115628403|XP_030380351.1|SLEB
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	LOC115624173|XP_030374629.1|SLEB, LOC115634672|XP_030388391.1|SLEB, LOC115624028|XP_030374465.1|SLEB, LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB, LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC110679799|XP_021711222.1|AAEG, LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC110678205|XP_021706523.1|AAEG, LOC5579072|XP_021707705.1|AAEG, LOC110678837|XP_021708007.1|AAEG, LOC110679751|XP_021711173.1|AAEG	LOC115630140|XP_030382609.1|SLEB
OG0000010	LOC5578499|XP_001663888.1|AAEG	LOC115630332|XP_030382730.1|SLEB
OG0000010	LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG	LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG	LOC115626791|XP_030378121.1|SLEB, LOC115634820|XP_030388598.1|SLEB, LOC115624523|XP_030375106.1|SLEB, LOC115632632|XP_030385725.1|SLEB, LOC115625784|XP_030376819.1|SLEB, LOC115630730|XP_030383248.1|SLEB, LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC110676139|XP_021698547.1|AAEG	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC110679299|XP_021709332.1|AAEG	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC115624312|XP_030374797.1|SLEB, LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC115621740|XP_030371332.1|SLEB, LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC5577991|XP_001656729.1|AAEG	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG	LOC115634447|XP_030388017.1|SLEB
OG0000018	LOC5578131|XP_001663702.2|AAEG	LOC115633159|XP_030386430.1|SLEB
