Orthogroup	AAEG.longest_only	DMEL.longest_only
OG0000002	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG	CG9500|NP_609018.3|DMEL
OG0000006	LOC110679778|XP_021711201.1|AAEG	His2A_CG33826|NP_001027321.1|DMEL
OG0000006	LOC110678308|XP_021706672.1|AAEG, LOC110678836|XP_021708006.1|AAEG, LOC110679779|XP_021711202.1|AAEG	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000006	LOC110679774|XP_021711197.1|AAEG	His2A_CG33844|NP_001027351.1|DMEL
OG0000007	LOC5577572|XP_001663444.2|AAEG	Jon65Aiv|NP_648012.1|DMEL, Jon65Aiii|NP_648013.1|DMEL, yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL, Jon25Bii|NP_608882.1|DMEL, Jon44E|NP_724699.1|DMEL, Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL, Jon99Cii|NP_524554.1|DMEL, Jon99Ciii|NP_733330.1|DMEL, Jon25Bi|NP_001033873.1|DMEL, Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL, Jon65Aii|NP_648014.1|DMEL, Jon65Ai|NP_648015.1|DMEL
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC110677732|XP_021704637.1|AAEG	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC5578716|XP_001664018.2|AAEG	Crys|NP_476906.1|DMEL
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	Cpr64Ab|NP_647873.2|DMEL
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	CG11453|NP_650832.1|DMEL, CG11391|NP_650830.1|DMEL, CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL, CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL, CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL
OG0000010	LOC110678359|XP_021706812.1|AAEG	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL
OG0000010	LOC110678837|XP_021708007.1|AAEG, LOC110679751|XP_021711173.1|AAEG	His4_CG33885|NP_001027342.1|DMEL
OG0000010	LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG	His4_CG33883|NP_001027347.1|DMEL
OG0000012	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG	CG9416|NP_611415.2|DMEL, CG10051|NP_611414.1|DMEL, CG11961|NP_725876.1|DMEL, CG10062|NP_001261089.1|DMEL, CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL
OG0000013	LOC110679353|XP_021709456.1|AAEG	Hsc70-5|NP_523741.2|DMEL
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	Hsc70-3|NP_727563.1|DMEL
OG0000013	LOC110678734|XP_021707697.1|AAEG	Hsc70-4|NP_524356.1|DMEL
OG0000013	LOC110676139|XP_021698547.1|AAEG	Hsc70-1|NP_524063.1|DMEL
OG0000013	LOC110679299|XP_021709332.1|AAEG	Hsc70-2|NP_524339.1|DMEL
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	Hsp68|NP_524474.1|DMEL, Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL
OG0000016	LOC5565155|XP_001649530.1|AAEG	Act87E|NP_477091.1|DMEL, Act57B|NP_523800.1|DMEL
OG0000016	LOC5577991|XP_001656729.1|AAEG	Arp1|NP_524331.2|DMEL
OG0000016	LOC5574526|XP_001655175.1|AAEG	Act5C|NP_511052.1|DMEL
OG0000016	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG	Act79B|NP_524210.1|DMEL
OG0000018	LOC5578131|XP_001663702.2|AAEG	Cpr65Av|NP_729146.1|DMEL
OG0000019	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	rdog|NP_651678.1|DMEL, CG10505|NP_611571.2|DMEL
OG0000020	LOC5578230|XP_021697387.1|AAEG	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL, CG4562|NP_001262747.1|DMEL, Mrp4|NP_650086.2|DMEL, CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL
OG0000021	LOC5577439|XP_021709141.1|AAEG	flw|NP_727418.1|DMEL
OG0000021	LOC5571745|XP_021708635.1|AAEG	Pp1alpha-96A|NP_524484.1|DMEL, Pp1-87B|NP_524937.1|DMEL, Pp1-13C|NP_524921.1|DMEL
OG0000023	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG	alpha-Est6|NP_524262.1|DMEL, alpha-Est5|NP_001246965.1|DMEL, alpha-Est3|NP_524267.2|DMEL, alpha-Est2|NP_524268.3|DMEL, gas|NP_611678.1|DMEL, alpha-Est1|NP_524269.3|DMEL, alpha-Est7|NP_524261.1|DMEL, alpha-Est9|NP_731165.2|DMEL, alpha-Est8|NP_524259.2|DMEL, alpha-Est10|NP_001246962.1|DMEL
OG0000024	LOC5574946|XP_001655419.1|AAEG	betaTry|NP_524904.1|DMEL, CG30031|NP_725035.1|DMEL, gammaTry|NP_725034.1|DMEL, deltaTry|NP_523694.2|DMEL, CG30025|NP_725036.1|DMEL, alphaTry|NP_476771.1|DMEL, epsilonTry|NP_525112.1|DMEL, CG17571|NP_610109.1|DMEL, thetaTry|NP_523693.1|DMEL, Ser8|NP_610874.1|DMEL
OG0000025	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	His3.3B|NP_511095.1|DMEL, His3.3A|NP_523479.1|DMEL
OG0000025	LOC5578783|XP_021701440.1|AAEG, LOC110678738|XP_021707704.1|AAEG	His3_CG33839|NP_001027343.1|DMEL
OG0000025	LOC110679734|XP_021711154.1|AAEG	His3_CG33845|NP_001027353.1|DMEL
OG0000025	LOC110679742|XP_021711163.1|AAEG	His3_CG33806|NP_001027289.1|DMEL
OG0000026	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG	CG9360|NP_572746.1|DMEL, CG3301|NP_650964.1|DMEL
OG0000027	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG	Acp1|NP_477115.1|DMEL, CG7203|NP_609143.2|DMEL, CG7214|NP_609141.1|DMEL
