Orthogroup	HILL.longest_only	DERE.longest_only
OG0000000	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL	LOC6545981|XP_001972189.2|DERE, LOC6555364|XP_026831619.1|DERE, LOC6546799|XP_001975893.2|DERE, LOC6541982|XP_001968936.1|DERE, LOC6552159|XP_001980711.1|DERE, LOC6544810|XP_026832924.1|DERE, LOC6544813|XP_001973192.2|DERE, LOC6544812|XP_001973191.2|DERE, LOC6548572|XP_026836220.1|DERE, LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE, LOC6554922|XP_001981127.2|DERE, LOC6554923|XP_001981128.1|DERE, LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE, LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE, LOC6541136|XP_001969303.1|DERE, LOC6554482|XP_001981927.3|DERE, LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE, LOC6548870|XP_001975456.3|DERE, LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE, LOC6542210|XP_026835022.1|DERE, LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE, LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE, LOC6544187|XP_026833238.1|DERE, LOC26526690|XP_015009401.1|DERE, LOC6549399|XP_001974447.1|DERE, LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE, LOC26526070|XP_026831673.1|DERE, LOC6551915|XP_001978850.1|DERE, LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE
OG0000003	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL	LOC6549105|XP_001975570.1|DERE
OG0000003	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL	LOC6543184|XP_001968830.1|DERE
OG0000004	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE
OG0000006	LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE
OG0000007	LOC119653460|XP_037913999.1|HILL	LOC6546441|XP_001972927.1|DERE, LOC6545298|XP_001972056.1|DERE, LOC6545299|XP_001972057.1|DERE, LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE, LOC6540938|XP_001968734.1|DERE, LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE, LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE, LOC6540876|XP_001968735.1|DERE, LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE, LOC6545300|XP_001972058.2|DERE, LOC6545301|XP_001972059.1|DERE
OG0000008	LOC119660223|XP_037924589.1|HILL	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC6543719|XP_001971862.1|DERE
OG0000008	LOC119652756|XP_037912988.1|HILL	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC119649591|XP_037907728.1|HILL	LOC6543717|XP_001971860.3|DERE
