Orthogroup	HILL.longest_only	DSIM.longest_only
OG0000000	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM, LOC27208741|XP_016036703.2|DSIM, LOC6734181|XP_016027194.1|DSIM, LOC6732391|XP_002079512.1|DSIM, LOC6728685|XP_002104021.1|DSIM, LOC6728686|XP_016035358.1|DSIM, LOC6734183|XP_002081212.2|DSIM, LOC6738254|XP_039150029.1|DSIM, LOC6738257|XP_016032137.1|DSIM, LOC6738255|XP_016032135.1|DSIM, LOC6738256|XP_002085068.1|DSIM, LOC6736137|XP_002083037.1|DSIM, LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM, LOC6730295|XP_016037057.1|DSIM, LOC6730724|XP_016023153.2|DSIM, LOC6730293|XP_039151545.1|DSIM, LOC6731633|XP_002078773.1|DSIM, LOC6729478|XP_002104788.3|DSIM, LOC6734251|XP_039147854.1|DSIM, LOC6734670|XP_039148016.1|DSIM, LOC27209298|XP_016030381.1|DSIM, LOC6738897|XP_002085692.1|DSIM, LOC6734178|XP_002081207.1|DSIM, LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM, LOC6736799|XP_039149212.1|DSIM, LOC6730283|XP_016037045.1|DSIM, LOC6730282|XP_002105565.2|DSIM, LOC6732333|XP_039152942.1|DSIM, LOC6729069|XP_016035716.1|DSIM, LOC6732608|XP_002079727.1|DSIM, LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM, LOC6729989|XP_002105283.1|DSIM, LOC6726722|XP_002102133.3|DSIM, LOC6738252|XP_002085064.1|DSIM, LOC6738253|XP_039150090.1|DSIM, LOC6737828|XP_002084656.1|DSIM
OG0000001	LOC119648870|XP_037906726.1|HILL, LOC119652195|XP_037912066.1|HILL	LOC120284346|XP_039147371.1|DSIM, LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM
OG0000003	LOC119661461|XP_037926750.1|HILL, LOC119646713|XP_037903223.1|HILL, LOC119646744|XP_037903253.1|HILL, LOC119647132|XP_037903851.1|HILL, LOC119661103|XP_037926221.1|HILL, LOC119646790|XP_037903307.1|HILL, LOC119652800|XP_037913050.1|HILL, LOC119651378|XP_037910883.1|HILL, LOC119651386|XP_037910896.1|HILL, LOC119657588|XP_037920499.1|HILL, LOC119646872|XP_037903427.1|HILL, LOC119648928|XP_037906770.1|HILL, LOC119655716|XP_037917677.1|HILL, LOC119648936|XP_037906781.1|HILL, LOC119661782|XP_037927186.1|HILL, LOC119646773|XP_037903287.1|HILL, LOC119646764|XP_037903275.1|HILL	LOC6734556|XP_016027664.2|DSIM
OG0000003	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL	LOC6731100|XP_002078257.3|DSIM
OG0000004	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL	LOC27206793|XP_016022768.2|DSIM, LOC120285540|XP_039154131.1|DSIM, LOC120285538|XP_039154129.1|DSIM, LOC120285535|XP_039154126.1|DSIM, LOC120285537|XP_039154128.1|DSIM, LOC120285539|XP_039154130.1|DSIM, LOC120285536|XP_039154127.1|DSIM, LOC120285792|XP_039154341.1|DSIM, LOC120285796|XP_039154345.1|DSIM, LOC120285257|XP_039152608.1|DSIM, LOC120285256|XP_039152600.1|DSIM, LOC120285795|XP_039154344.1|DSIM, LOC120285791|XP_039154340.1|DSIM, LOC6733079|XP_002080156.3|DSIM, LOC120285793|XP_039154342.1|DSIM, LOC120285794|XP_039154343.1|DSIM, LOC6740700|XP_002077499.3|DSIM
OG0000006	LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL	LOC120285545|XP_039154135.1|DSIM
OG0000007	LOC119653460|XP_037913999.1|HILL	LOC6738477|XP_016032322.1|DSIM, LOC6736955|XP_002083802.1|DSIM, LOC6736956|XP_002083803.1|DSIM, LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM, LOC6731020|XP_002078181.1|DSIM, LOC6733581|XP_002080635.1|DSIM, LOC6730230|XP_002105513.1|DSIM, LOC6740467|XP_002077312.3|DSIM, LOC6730231|XP_002105514.2|DSIM, LOC120284928|XP_039150400.1|DSIM, LOC6730135|XP_039150399.1|DSIM, LOC6731021|XP_002078182.1|DSIM, LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM, LOC6736957|XP_016030597.1|DSIM, LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC119660223|XP_037924589.1|HILL	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC119652756|XP_037912988.1|HILL	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC119649591|XP_037907728.1|HILL	LOC6736742|XP_002083598.1|DSIM
