Orthogroup	HILL.longest_only	DELE.longest_only
OG0000000	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL	LOC108150093|XP_017133546.1|DELE, LOC108148460|XP_017130981.1|DELE, LOC108143366|XP_017123177.1|DELE, LOC108139044|XP_017117150.1|DELE, LOC108135022|XP_017111043.1|DELE, LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE, LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE, LOC108144294|XP_017124470.1|DELE, LOC108134556|XP_017110398.1|DELE, LOC108136678|XP_017113490.1|DELE, LOC108150089|XP_017133542.1|DELE, LOC108143736|XP_017123759.1|DELE, LOC108142886|XP_017122451.1|DELE, LOC108141650|XP_017120608.1|DELE, LOC108142885|XP_017122450.1|DELE, LOC108145618|XP_017126643.1|DELE, LOC108141344|XP_017120143.1|DELE, LOC108148604|XP_017131171.1|DELE, LOC108143648|XP_017123649.1|DELE, LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE, LOC108147230|XP_017129111.1|DELE, LOC108145639|XP_017126664.1|DELE, LOC108145640|XP_017126665.1|DELE, LOC108135485|XP_017111717.1|DELE, LOC108141030|XP_017119608.1|DELE
OG0000003	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL	LOC108144820|XP_017125440.1|DELE
OG0000004	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE
OG0000007	LOC119653460|XP_037913999.1|HILL	LOC108135575|XP_017111853.1|DELE, LOC108142600|XP_017122060.1|DELE, LOC108142393|XP_017121722.1|DELE, LOC108142601|XP_017122061.1|DELE, LOC108142394|XP_017121723.1|DELE, LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE, LOC108148444|XP_017130968.1|DELE, LOC108148696|XP_017131333.1|DELE, LOC108148697|XP_017131334.1|DELE, LOC108148759|XP_017131449.1|DELE, LOC108148468|XP_017130989.1|DELE, LOC108138842|XP_017116842.1|DELE, LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE, LOC108142395|XP_017121724.1|DELE, LOC108142396|XP_017121725.1|DELE
OG0000008	LOC119660223|XP_037924589.1|HILL	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC119652756|XP_037912988.1|HILL	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC119649591|XP_037907728.1|HILL	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL	LOC108149861|XP_017133230.1|DELE, LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE, LOC108148323|XP_017130803.1|DELE, LOC108148325|XP_017130805.1|DELE
OG0000008	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL	LOC108148321|XP_017130801.1|DELE, LOC108148322|XP_017130802.1|DELE, LOC108148324|XP_017130804.1|DELE
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC108137036|XP_017114024.1|DELE, LOC108136709|XP_017113523.1|DELE, LOC108144089|XP_017124230.1|DELE, LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE, LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE, LOC108144916|XP_017125568.1|DELE, LOC108135151|XP_017111261.1|DELE, LOC108137992|XP_017115455.1|DELE, LOC108137889|XP_017115317.1|DELE
OG0000010	LOC119656775|XP_037919284.1|HILL	LOC108139189|XP_017117303.1|DELE
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC108139056|XP_017117164.1|DELE, LOC108136397|XP_017112996.1|DELE, LOC108146665|XP_017128206.1|DELE, LOC108139057|XP_017117165.1|DELE, LOC108138672|XP_017116504.1|DELE, LOC108146131|XP_017127468.1|DELE, LOC108146591|XP_017128102.1|DELE, LOC108143859|XP_017123910.1|DELE, LOC108137357|XP_017114480.1|DELE, LOC108134970|XP_017110989.1|DELE, LOC108138785|XP_017116749.1|DELE, LOC108150498|XP_017134198.1|DELE, LOC108150409|XP_017134056.1|DELE, LOC108138422|XP_017116107.1|DELE, LOC108146667|XP_017128209.1|DELE, LOC108146666|XP_017128208.1|DELE, LOC108139281|XP_017117466.1|DELE
