Orthogroup	HILL.longest_only	DSEC.longest_only
OG0000000	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL	LOC6605054|XP_032575159.1|DSEC, LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC, LOC6606995|XP_002031784.1|DSEC, LOC6608865|XP_002033579.1|DSEC, LOC6605884|XP_032575999.1|DSEC, LOC6605885|XP_032575997.1|DSEC, LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC, LOC6618886|XP_002043134.2|DSEC, LOC6607083|XP_032579519.1|DSEC, LOC6612938|XP_032579196.1|DSEC, LOC6613111|XP_032569894.1|DSEC, LOC6612936|XP_002037428.1|DSEC, LOC6611813|XP_002036335.1|DSEC, LOC6607813|XP_032578052.1|DSEC, LOC6608931|XP_002033645.2|DSEC, LOC6609340|XP_032572102.1|DSEC, LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC, LOC116803586|XP_032583371.1|DSEC, LOC116801073|XP_032574487.1|DSEC, LOC6612926|XP_032578042.1|DSEC, LOC6612925|XP_002037417.1|DSEC, LOC6611281|XP_032582965.1|DSEC, LOC116801718|XP_032578762.1|DSEC, LOC6614481|XP_002038914.1|DSEC, LOC116801308|XP_032576001.1|DSEC, LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC, LOC6612634|XP_002037138.2|DSEC, LOC6613854|XP_002038323.1|DSEC, LOC6605446|XP_002030279.1|DSEC
OG0000001	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL	LOC116801168|XP_032575066.1|DSEC
OG0000003	LOC119661461|XP_037926750.1|HILL, LOC119646713|XP_037903223.1|HILL, LOC119646744|XP_037903253.1|HILL, LOC119647132|XP_037903851.1|HILL, LOC119661103|XP_037926221.1|HILL, LOC119646790|XP_037903307.1|HILL, LOC119652800|XP_037913050.1|HILL, LOC119651378|XP_037910883.1|HILL, LOC119651386|XP_037910896.1|HILL, LOC119657588|XP_037920499.1|HILL, LOC119646872|XP_037903427.1|HILL, LOC119648928|XP_037906770.1|HILL, LOC119655716|XP_037917677.1|HILL, LOC119648936|XP_037906781.1|HILL, LOC119661782|XP_037927186.1|HILL, LOC119646773|XP_037903287.1|HILL, LOC119646764|XP_037903275.1|HILL	LOC6609223|XP_002033914.2|DSEC
OG0000003	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL	LOC6609221|XP_002033912.1|DSEC
OG0000003	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL	LOC6613508|XP_002037976.1|DSEC
OG0000007	LOC119653460|XP_037913999.1|HILL	LOC116800972|XP_032573823.1|DSEC, LOC6610954|XP_002035511.1|DSEC, LOC6610952|XP_032575303.1|DSEC, LOC6610951|XP_002035508.1|DSEC, LOC6613406|XP_032583270.1|DSEC, LOC6608215|XP_032572281.1|DSEC, LOC6612871|XP_002037363.1|DSEC, LOC6612775|XP_032579057.1|DSEC, LOC6613407|XP_032570241.1|DSEC, LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC, LOC6610955|XP_032575304.1|DSEC, LOC6610956|XP_002035513.1|DSEC
OG0000008	LOC119660223|XP_037924589.1|HILL	LOC6619063|XP_002043304.1|DSEC
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC6610743|XP_002035309.1|DSEC
OG0000008	LOC119652756|XP_037912988.1|HILL	LOC6617678|XP_002041991.1|DSEC
OG0000008	LOC119649591|XP_037907728.1|HILL	LOC6610741|XP_002035307.2|DSEC
OG0000008	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL	LOC6612353|XP_002036862.1|DSEC, LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC, LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC, LOC116801478|XP_032577234.1|DSEC
OG0000008	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL	LOC6614149|XP_002038602.2|DSEC, LOC116801482|XP_032577264.1|DSEC, LOC116801721|XP_032578777.1|DSEC
OG0000009	LOC119656917|XP_037919537.1|HILL, LOC119657433|XP_037920264.1|HILL, LOC119657255|XP_037920011.1|HILL, LOC119657903|XP_037920989.1|HILL, LOC119657500|XP_037920362.1|HILL, LOC119657735|XP_037920707.1|HILL, LOC119657855|XP_037920908.1|HILL	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC, LOC6619043|XP_032582932.1|DSEC, LOC6619041|XP_032576486.1|DSEC, LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC, LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC, LOC6619042|XP_032576485.1|DSEC, LOC6610926|XP_032574591.1|DSEC, LOC116801150|XP_032574906.1|DSEC, LOC6618810|XP_002043059.1|DSEC, LOC6606719|XP_002031518.1|DSEC, LOC6608841|XP_002033555.1|DSEC, LOC6608840|XP_002033554.1|DSEC
OG0000010	LOC119656848|XP_037919427.1|HILL, LOC119656776|XP_037919286.1|HILL, LOC119656777|XP_037919288.1|HILL, LOC119656846|XP_037919423.1|HILL, LOC119656847|XP_037919426.1|HILL, LOC119657240|XP_037919983.1|HILL, LOC119657051|XP_037919733.1|HILL	LOC6606375|XP_032579311.1|DSEC
OG0000011	LOC119646989|XP_037903630.1|HILL	LOC6613215|XP_002037694.2|DSEC, LOC6613214|XP_002037693.2|DSEC, LOC6613356|XP_002037830.1|DSEC, LOC6616450|XP_032574488.1|DSEC, LOC6613355|XP_032576619.1|DSEC, LOC6614408|XP_032583172.1|DSEC, LOC6614413|XP_032577346.1|DSEC, LOC6618632|XP_032581615.1|DSEC, LOC6618634|XP_002042893.2|DSEC, LOC6605626|XP_002030444.2|DSEC, LOC6605627|XP_002030445.2|DSEC, LOC6607077|XP_002031865.1|DSEC
OG0000012	LOC119646453|XP_037902832.1|HILL, LOC119646909|XP_037903508.1|HILL, LOC119646192|XP_037902503.1|HILL, LOC119661604|XP_037926934.1|HILL	LOC6609925|XP_002034575.2|DSEC, LOC6609924|XP_002034574.2|DSEC, LOC6609923|XP_032571611.1|DSEC, LOC6609926|XP_002034576.1|DSEC, LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC, LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC, LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC
OG0000013	LOC119654191|XP_037915315.1|HILL	LOC6609116|XP_002033818.1|DSEC
OG0000013	LOC119655345|XP_037917122.1|HILL	LOC6619913|XP_032582274.1|DSEC
OG0000013	LOC119659716|XP_037923899.1|HILL	LOC6606301|XP_002031106.1|DSEC
OG0000013	LOC119653206|XP_037913702.1|HILL, LOC119647870|XP_037905068.1|HILL, LOC119647853|XP_037905048.1|HILL, LOC119647892|XP_037905119.1|HILL, LOC119647905|XP_037905141.1|HILL, LOC119651365|XP_037910867.1|HILL, LOC119651364|XP_037910866.1|HILL, LOC119651189|XP_037910555.1|HILL, LOC119651188|XP_037910553.1|HILL	LOC6607674|XP_002032439.2|DSEC, LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC
OG0000016	LOC119657471|XP_037920318.1|HILL	LOC6606525|XP_002031326.2|DSEC
OG0000016	LOC119659313|XP_037923259.1|HILL	LOC6606623|XP_002031424.1|DSEC
OG0000016	LOC119646467|XP_037902844.1|HILL	LOC6612339|XP_002036849.1|DSEC
OG0000016	LOC119653602|XP_037914284.1|HILL	LOC6606248|XP_002031056.2|DSEC
OG0000016	LOC119654963|XP_037916552.1|HILL	LOC6616531|XP_002040890.1|DSEC
OG0000017	LOC119654115|XP_037915205.1|HILL	LOC6620183|XP_002044394.1|DSEC, LOC6608076|XP_002032824.1|DSEC, LOC6619131|XP_002043371.1|DSEC, LOC6607277|XP_002032056.1|DSEC, LOC6618718|XP_002042977.1|DSEC, LOC6615716|XP_032571357.1|DSEC, LOC6619133|XP_002043373.1|DSEC, LOC6615717|XP_002040088.1|DSEC, LOC6617387|XP_032577559.1|DSEC
