Orthogroup	HILL.longest_only	BTRY.longest_only
OG0000000	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL	LOC120770615|XP_039954151.1|BTRY, LOC120770616|XP_039954152.1|BTRY, LOC120770614|XP_039954150.1|BTRY, LOC120770613|XP_039954149.1|BTRY, LOC120768872|XP_039951561.1|BTRY, LOC120768871|XP_039951560.1|BTRY, LOC120769979|XP_039952989.1|BTRY, LOC120772730|XP_039957425.1|BTRY, LOC120778381|XP_039966101.1|BTRY, LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY, LOC120777544|XP_039964867.1|BTRY, LOC120774573|XP_039960240.1|BTRY, LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY, LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY, LOC120767587|XP_039949669.1|BTRY, LOC120769210|XP_039952036.1|BTRY, LOC120776945|XP_039963962.1|BTRY, LOC120770621|XP_039954156.1|BTRY, LOC120770804|XP_039954316.1|BTRY, LOC120770805|XP_039954317.1|BTRY, LOC120777103|XP_039964173.1|BTRY, LOC120778046|XP_039965655.1|BTRY
OG0000001	LOC119656898|XP_037919508.1|HILL	LOC120779349|XP_039967479.1|BTRY, LOC120768684|XP_039951395.1|BTRY, LOC120769217|XP_039952045.1|BTRY, LOC120780712|XP_039968906.1|BTRY
OG0000001	LOC119648870|XP_037906726.1|HILL, LOC119652195|XP_037912066.1|HILL	LOC120779369|XP_039967498.1|BTRY, LOC120779724|XP_039968032.1|BTRY, LOC120779568|XP_039967843.1|BTRY
OG0000001	LOC119650838|XP_037909906.1|HILL, LOC119661228|XP_037926386.1|HILL, LOC119652186|XP_037912058.1|HILL, LOC119650920|XP_037910072.1|HILL, LOC119654001|XP_037915090.1|HILL, LOC119659082|XP_037922922.1|HILL, LOC119653957|XP_037915045.1|HILL	LOC120781540|XP_039969706.1|BTRY, LOC120780083|XP_039968286.1|BTRY
OG0000001	LOC119661083|XP_037926201.1|HILL, LOC119659107|XP_037922958.1|HILL, LOC119660022|XP_037924328.1|HILL, LOC119659079|XP_037922920.1|HILL, LOC119646359|XP_037902724.1|HILL, LOC119648631|XP_037906328.1|HILL, LOC119653988|XP_037915077.1|HILL, LOC119659083|XP_037922924.1|HILL, LOC119661419|XP_037926691.1|HILL, LOC119646789|XP_037903302.1|HILL, LOC119648508|XP_037906205.1|HILL, LOC119650839|XP_037909907.1|HILL, LOC119646145|XP_037902435.1|HILL, LOC119661666|XP_037927033.1|HILL, LOC119650916|XP_037910069.1|HILL, LOC119659121|XP_037922974.1|HILL, LOC119658148|XP_037921344.1|HILL, LOC119652789|XP_037913066.1|HILL, LOC119654156|XP_037915247.1|HILL, LOC119648499|XP_037906194.1|HILL, LOC119661543|XP_037926858.1|HILL, LOC119648467|XP_037906155.1|HILL, LOC119650835|XP_037909904.1|HILL	LOC120781507|XP_039969664.1|BTRY, LOC120781523|XP_039969677.1|BTRY, LOC120768683|XP_039951393.1|BTRY, LOC120768702|XP_039951408.1|BTRY, LOC120768701|XP_039951407.1|BTRY, LOC120780857|XP_039969026.1|BTRY, LOC120781828|XP_039969983.1|BTRY, LOC120781123|XP_039969191.1|BTRY, LOC120779390|XP_039967521.1|BTRY, LOC120768688|XP_039951398.1|BTRY, LOC120768687|XP_039951397.1|BTRY, LOC120767769|XP_039949942.1|BTRY
OG0000001	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL	LOC120781825|XP_039969979.1|BTRY, LOC120780707|XP_039968901.1|BTRY, LOC120781940|XP_039970041.1|BTRY, LOC120781801|XP_039969957.1|BTRY, LOC120782119|XP_039970195.1|BTRY
OG0000003	LOC119661461|XP_037926750.1|HILL, LOC119646713|XP_037903223.1|HILL, LOC119646744|XP_037903253.1|HILL, LOC119647132|XP_037903851.1|HILL, LOC119661103|XP_037926221.1|HILL, LOC119646790|XP_037903307.1|HILL, LOC119652800|XP_037913050.1|HILL, LOC119651378|XP_037910883.1|HILL, LOC119651386|XP_037910896.1|HILL, LOC119657588|XP_037920499.1|HILL, LOC119646872|XP_037903427.1|HILL, LOC119648928|XP_037906770.1|HILL, LOC119655716|XP_037917677.1|HILL, LOC119648936|XP_037906781.1|HILL, LOC119661782|XP_037927186.1|HILL, LOC119646773|XP_037903287.1|HILL, LOC119646764|XP_037903275.1|HILL	LOC120770806|XP_039954318.1|BTRY, LOC120770808|XP_039954321.1|BTRY
OG0000003	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL	LOC120770286|XP_039953556.1|BTRY, LOC120770809|XP_039954322.1|BTRY
OG0000003	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL	LOC120769392|XP_039952295.1|BTRY, LOC120769651|XP_039952690.1|BTRY, LOC120769497|XP_039952461.1|BTRY, LOC120768765|XP_039951466.1|BTRY
OG0000004	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL	LOC120769473|XP_039952426.1|BTRY, LOC120767484|XP_039949512.1|BTRY, LOC120767487|XP_039949515.1|BTRY, LOC120768718|XP_039951423.1|BTRY, LOC120769475|XP_039952431.1|BTRY, LOC120767491|XP_039949517.1|BTRY, LOC120767493|XP_039949519.1|BTRY, LOC120767483|XP_039949511.1|BTRY, LOC120767488|XP_039949516.1|BTRY, LOC120767471|XP_039949495.1|BTRY, LOC120767485|XP_039949513.1|BTRY, LOC120767563|XP_039949635.1|BTRY, LOC120768722|XP_039951428.1|BTRY
