Orthogroup	HILL.longest_only	CQUI.longest_only
OG0000001	LOC119656898|XP_037919508.1|HILL	LOC119770310|XP_038120887.1|CQUI
OG0000001	LOC119650838|XP_037909906.1|HILL, LOC119661228|XP_037926386.1|HILL, LOC119652186|XP_037912058.1|HILL, LOC119650920|XP_037910072.1|HILL, LOC119654001|XP_037915090.1|HILL, LOC119659082|XP_037922922.1|HILL, LOC119653957|XP_037915045.1|HILL	LOC119766512|XP_038107029.1|CQUI, LOC119766149|XP_038106477.1|CQUI, LOC119769328|XP_038117267.1|CQUI, LOC119769161|XP_038116992.1|CQUI, LOC119766216|XP_038106583.1|CQUI, LOC119769525|XP_038118272.1|CQUI, LOC119769104|XP_038116932.1|CQUI, LOC119766097|XP_038106417.1|CQUI, LOC119769107|XP_038116936.1|CQUI, LOC119766391|XP_038106832.1|CQUI, LOC119766147|XP_038106475.1|CQUI, LOC119766225|XP_038106592.1|CQUI, LOC119770193|XP_038120567.1|CQUI, LOC119769976|XP_038119868.1|CQUI, LOC119766184|XP_038106543.1|CQUI, LOC119766189|XP_038106548.1|CQUI, LOC119766143|XP_038106470.1|CQUI, LOC119769526|XP_038118276.1|CQUI, LOC119769527|XP_038118287.1|CQUI, LOC119769364|XP_038117339.1|CQUI, LOC119769063|XP_038116884.1|CQUI, LOC119770945|XP_038122397.1|CQUI, LOC119769219|XP_038117071.1|CQUI, LOC119766213|XP_038106576.1|CQUI, LOC119769340|XP_038117295.1|CQUI, LOC119768904|XP_038116618.1|CQUI, LOC119769307|XP_038117218.1|CQUI, LOC119766495|XP_038107006.1|CQUI, LOC119767919|XP_038113822.1|CQUI, LOC119769139|XP_038116969.1|CQUI, LOC6051048|XP_038117973.1|CQUI, LOC119765926|XP_038106124.1|CQUI, LOC119769896|XP_038119619.1|CQUI
OG0000001	LOC119648636|XP_037906334.1|HILL	LOC119769071|XP_038116897.1|CQUI, LOC119766280|XP_038106655.1|CQUI
OG0000001	LOC119661654|XP_037927016.1|HILL, LOC119660048|XP_037924354.1|HILL	LOC119769711|XP_038119095.1|CQUI
OG0000001	LOC119661083|XP_037926201.1|HILL, LOC119659107|XP_037922958.1|HILL, LOC119660022|XP_037924328.1|HILL, LOC119659079|XP_037922920.1|HILL, LOC119646359|XP_037902724.1|HILL, LOC119648631|XP_037906328.1|HILL, LOC119653988|XP_037915077.1|HILL, LOC119659083|XP_037922924.1|HILL, LOC119661419|XP_037926691.1|HILL, LOC119646789|XP_037903302.1|HILL, LOC119648508|XP_037906205.1|HILL, LOC119650839|XP_037909907.1|HILL, LOC119646145|XP_037902435.1|HILL, LOC119661666|XP_037927033.1|HILL, LOC119650916|XP_037910069.1|HILL, LOC119659121|XP_037922974.1|HILL, LOC119658148|XP_037921344.1|HILL, LOC119652789|XP_037913066.1|HILL, LOC119654156|XP_037915247.1|HILL, LOC119648499|XP_037906194.1|HILL, LOC119661543|XP_037926858.1|HILL, LOC119648467|XP_037906155.1|HILL, LOC119650835|XP_037909904.1|HILL	LOC119766274|XP_038106647.1|CQUI, LOC119770072|XP_038120200.1|CQUI, LOC119769081|XP_038116908.1|CQUI, LOC119769227|XP_038117081.1|CQUI, LOC119769183|XP_038117016.1|CQUI, LOC119766452|XP_038106937.1|CQUI, LOC119766021|XP_038106282.1|CQUI, LOC119766137|XP_038106464.1|CQUI, LOC119769333|XP_038117277.1|CQUI, LOC119766281|XP_038106656.1|CQUI, LOC119765939|XP_038106148.1|CQUI, LOC119769072|XP_038116898.1|CQUI
OG0000001	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL	LOC119770249|XP_038120685.1|CQUI
OG0000003	LOC119652775|XP_037913011.1|HILL	LOC6050719|XP_001867281.2|CQUI
OG0000003	LOC119659352|XP_037923328.1|HILL	LOC6054221|XP_038110656.1|CQUI, LOC6050707|XP_001867275.2|CQUI, LOC119766556|XP_038107240.1|CQUI, LOC6034501|XP_001844806.2|CQUI, LOC6034518|XP_001844820.2|CQUI, LOC6034534|XP_001844834.2|CQUI, LOC6034520|XP_001844821.2|CQUI, LOC6034522|XP_038114383.1|CQUI, LOC6034521|XP_001844822.2|CQUI
OG0000003	LOC119650643|XP_037909500.1|HILL	LOC6050720|XP_001867282.2|CQUI
OG0000003	LOC119646885|XP_037903446.1|HILL, LOC119646723|XP_037903233.1|HILL, LOC119660833|XP_037925635.1|HILL, LOC119646759|XP_037903266.1|HILL, LOC119646698|XP_037903192.1|HILL, LOC119646557|XP_037902962.1|HILL, LOC119661111|XP_037926234.1|HILL, LOC119646760|XP_037903267.1|HILL, LOC119646334|XP_037902688.1|HILL, LOC119661489|XP_037926782.1|HILL, LOC119661229|XP_037926382.1|HILL, LOC119646530|XP_037902923.1|HILL, LOC119646755|XP_037903262.1|HILL, LOC119646754|XP_037903261.1|HILL, LOC119651369|XP_037910874.1|HILL, LOC119647078|XP_037903763.1|HILL, LOC119646756|XP_037903263.1|HILL, LOC119646752|XP_037903258.1|HILL, LOC119646529|XP_037902921.1|HILL, LOC119646751|XP_037903257.1|HILL, LOC119647124|XP_037903838.1|HILL, LOC119646420|XP_037902794.1|HILL, LOC119646733|XP_037903242.1|HILL, LOC119646750|XP_037903256.1|HILL, LOC119661403|XP_037926660.1|HILL, LOC119646757|XP_037903265.1|HILL, LOC119646850|XP_037903399.1|HILL, LOC119646628|XP_037903064.1|HILL, LOC119661009|XP_037926085.1|HILL, LOC119661683|XP_037927054.1|HILL, LOC119646442|XP_037902820.1|HILL, LOC119646753|XP_037903264.1|HILL	LOC6037490|XP_001847400.2|CQUI, LOC6037494|XP_001847404.2|CQUI, LOC6037497|XP_001847407.2|CQUI, LOC6037496|XP_038105707.1|CQUI, LOC6037495|XP_001847405.2|CQUI
OG0000004	LOC119648056|XP_037905449.1|HILL	LOC6045322|XP_038104645.1|CQUI, LOC6045318|XP_038105272.1|CQUI, LOC6045334|XP_038105149.1|CQUI, LOC6048217|XP_001865170.2|CQUI, LOC119767631|XP_038112541.1|CQUI
