Orthogroup	HILL.longest_only	DGUA.longest_only
OG0000000	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL	LOC117592188|XP_034141680.1|DGUA, LOC117583189|XP_034127284.1|DGUA, LOC117583148|XP_034127229.1|DGUA, LOC117588815|XP_034136215.1|DGUA, LOC117589025|XP_034136545.1|DGUA, LOC117588940|XP_034136409.1|DGUA, LOC117592532|XP_034142283.1|DGUA, LOC117583198|XP_034127292.1|DGUA, LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA, LOC117578480|XP_034119907.1|DGUA, LOC117583194|XP_034127289.1|DGUA, LOC117583318|XP_034127468.1|DGUA, LOC117582218|XP_034125717.1|DGUA, LOC117592522|XP_034142264.1|DGUA, LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA, LOC117589701|XP_034137755.1|DGUA, LOC117585206|XP_034130474.1|DGUA, LOC117585204|XP_034130472.1|DGUA, LOC117585432|XP_034130797.1|DGUA, LOC117585250|XP_034130554.1|DGUA, LOC117585205|XP_034130473.1|DGUA, LOC117585431|XP_034130796.1|DGUA, LOC117592344|XP_034141927.1|DGUA, LOC117583154|XP_034127239.1|DGUA, LOC117585429|XP_034130795.1|DGUA, LOC117586464|XP_034132421.1|DGUA
OG0000003	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL	LOC117587981|XP_034134880.1|DGUA
OG0000004	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL	LOC117591774|XP_034140974.1|DGUA, LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA
OG0000005	LOC119651767|XP_037911435.1|HILL	LOC117581361|XP_034124384.1|DGUA
OG0000006	LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL	LOC117591658|XP_034140872.1|DGUA
OG0000007	LOC119653460|XP_037913999.1|HILL	LOC117587429|XP_034133994.1|DGUA, LOC117587428|XP_034133991.1|DGUA, LOC117584024|XP_034128652.1|DGUA, LOC117592308|XP_034141873.1|DGUA, LOC117583354|XP_034127515.1|DGUA, LOC117583632|XP_034127972.1|DGUA, LOC117583285|XP_034127411.1|DGUA, LOC117583201|XP_034127296.1|DGUA, LOC117584026|XP_034128654.1|DGUA, LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA, LOC117587430|XP_034133997.1|DGUA, LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC119660223|XP_037924589.1|HILL	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC119649590|XP_037907727.1|HILL	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC119652756|XP_037912988.1|HILL	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC119649591|XP_037907728.1|HILL	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC119651582|XP_037911149.1|HILL, LOC119652755|XP_037912986.1|HILL, LOC119652753|XP_037912981.1|HILL, LOC119652754|XP_037912983.1|HILL, LOC119652763|XP_037912999.1|HILL, LOC119652764|XP_037913000.1|HILL, LOC119652762|XP_037912998.1|HILL, LOC119652766|XP_037913002.1|HILL, LOC119652758|XP_037912993.1|HILL, LOC119652757|XP_037912991.1|HILL, LOC119652761|XP_037912997.1|HILL, LOC119652760|XP_037912996.1|HILL, LOC119652759|XP_037912994.1|HILL, LOC119652765|XP_037913001.1|HILL	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA, LOC117586165|XP_034131957.1|DGUA, LOC117586225|XP_034132053.1|DGUA
OG0000008	LOC119652768|XP_037913003.1|HILL, LOC119652769|XP_037913004.1|HILL	LOC117586221|XP_034132048.1|DGUA, LOC117586120|XP_034131875.1|DGUA, LOC117586582|XP_034132641.1|DGUA
