Orthogroup	HILL.longest_only	DHYD.longest_only
OG0000000	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL	LOC111593965|XP_023162824.1|DHYD, LOC111599673|XP_023171145.1|DHYD, LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD, LOC111600475|XP_023172354.2|DHYD, LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD, LOC111593961|XP_030080959.1|DHYD, LOC111593959|XP_023162818.2|DHYD, LOC111593958|XP_023162817.2|DHYD, LOC111593957|XP_023162816.2|DHYD, LOC115483355|XP_030080829.1|DHYD, LOC111603644|XP_023177090.2|DHYD
OG0000003	LOC119661461|XP_037926750.1|HILL, LOC119646713|XP_037903223.1|HILL, LOC119646744|XP_037903253.1|HILL, LOC119647132|XP_037903851.1|HILL, LOC119661103|XP_037926221.1|HILL, LOC119646790|XP_037903307.1|HILL, LOC119652800|XP_037913050.1|HILL, LOC119651378|XP_037910883.1|HILL, LOC119651386|XP_037910896.1|HILL, LOC119657588|XP_037920499.1|HILL, LOC119646872|XP_037903427.1|HILL, LOC119648928|XP_037906770.1|HILL, LOC119655716|XP_037917677.1|HILL, LOC119648936|XP_037906781.1|HILL, LOC119661782|XP_037927186.1|HILL, LOC119646773|XP_037903287.1|HILL, LOC119646764|XP_037903275.1|HILL	LOC111602573|XP_030082008.1|DHYD
OG0000003	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL	LOC111602546|XP_030082007.1|DHYD, LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL	LOC111602383|XP_023175172.2|DHYD
OG0000004	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD, LOC115483268|XP_030080473.1|DHYD, LOC115483296|XP_030080509.1|DHYD, LOC115483295|XP_030080508.1|DHYD
OG0000005	LOC119651767|XP_037911435.1|HILL	LOC115483257|XP_030080462.1|DHYD
OG0000006	LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL	LOC115483251|XP_030080456.1|DHYD
OG0000007	LOC119649696|XP_037907891.1|HILL, LOC119649694|XP_037907889.1|HILL, LOC119649695|XP_037907890.1|HILL, LOC119649697|XP_037907893.1|HILL, LOC119648942|XP_037906785.1|HILL, LOC119648943|XP_037906787.1|HILL, LOC119648554|XP_037906252.1|HILL, LOC119650121|XP_037908575.1|HILL, LOC119648538|XP_037906233.1|HILL, LOC119648172|XP_037905680.1|HILL, LOC119657608|XP_037920535.1|HILL	LOC111601090|XP_023173285.1|DHYD
OG0000007	LOC119653460|XP_037913999.1|HILL	LOC111601093|XP_023173297.2|DHYD, LOC111592429|XP_023160382.1|DHYD, LOC111592441|XP_023160393.1|DHYD, LOC111596952|XP_023167177.2|DHYD, LOC111596951|XP_023167176.2|DHYD, LOC111596954|XP_023167178.2|DHYD, LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD
OG0000008	LOC119660223|XP_037924589.1|HILL	LOC111604267|XP_023178033.1|DHYD
