	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
AAEG.longest_only	0.0	2202.0	1012.0	2190.0	2080.0	1846.0	1404.0	2029.0	2060.0	1828.0	1864.0	1884.0	1856.0	1841.0	1897.0	1855.0	1832.0	1913.0	1860.0	1872.0	1895.0	1879.0	1626.0	1894.0	1854.0	1887.0	1875.0	1872.0	1821.0	1891.0	1883.0	1859.0	1839.0	1899.0	1919.0	2142.0	1919.0
AALB.longest_only	510.0	0.0	251.0	518.0	670.0	694.0	555.0	532.0	553.0	742.0	711.0	709.0	714.0	699.0	728.0	686.0	662.0	722.0	705.0	713.0	744.0	726.0	616.0	728.0	707.0	706.0	723.0	733.0	681.0	735.0	712.0	688.0	673.0	725.0	747.0	814.0	770.0
AEAL.longest_only	14360.0	12865.0	0.0	12596.0	10988.0	10324.0	7659.0	12799.0	13398.0	10002.0	10287.0	10261.0	10124.0	10183.0	10310.0	10192.0	10157.0	10282.0	10091.0	10207.0	10358.0	10331.0	8718.0	10166.0	10048.0	10217.0	10313.0	10271.0	9951.0	10313.0	10305.0	10106.0	9987.0	10150.0	10371.0	11172.0	10309.0
ASTE.longest_only	1253.0	1374.0	616.0	0.0	1388.0	1330.0	1061.0	1311.0	1269.0	1346.0	1350.0	1342.0	1352.0	1377.0	1355.0	1338.0	1303.0	1362.0	1336.0	1366.0	1372.0	1374.0	1103.0	1368.0	1322.0	1339.0	1356.0	1401.0	1313.0	1367.0	1343.0	1301.0	1291.0	1355.0	1427.0	1480.0	1418.0
BCOP.longest_only	1566.0	1640.0	773.0	1571.0	0.0	1730.0	1341.0	1402.0	1540.0	1632.0	1707.0	1695.0	1700.0	1717.0	1721.0	1737.0	1665.0	1761.0	1660.0	1716.0	1711.0	1732.0	1457.0	1703.0	1692.0	1701.0	1749.0	1711.0	1667.0	1734.0	1726.0	1680.0	1604.0	1652.0	1748.0	1741.0	1692.0
BTRY.longest_only	1033.0	1165.0	649.0	1218.0	1344.0	0.0	1284.0	1016.0	1040.0	1302.0	1296.0	1255.0	1328.0	1276.0	1253.0	1260.0	1241.0	1360.0	1269.0	1271.0	1282.0	1294.0	1182.0	1384.0	1353.0	1386.0	1362.0	1298.0	1245.0	1282.0	1392.0	1243.0	1274.0	1390.0	1322.0	1381.0	1310.0
CCAP.longest_only	1691.0	1874.0	820.0	1829.0	1874.0	1806.0	0.0	1673.0	1735.0	1824.0	1869.0	1832.0	1906.0	1853.0	1850.0	1836.0	1827.0	1914.0	1827.0	1816.0	1884.0	1839.0	1663.0	1866.0	1866.0	1892.0	1850.0	1867.0	1812.0	1859.0	1911.0	1829.0	1848.0	1871.0	1856.0	2046.0	1926.0
CPIP.longest_only	2243.0	2422.0	1229.0	2450.0	2154.0	1929.0	1507.0	0.0	2608.0	1861.0	1970.0	1871.0	1973.0	1935.0	1919.0	1882.0	1874.0	1924.0	1865.0	1882.0	1925.0	1909.0	1637.0	1932.0	1872.0	1919.0	1938.0	1900.0	1925.0	1924.0	1899.0	1865.0	1843.0	1940.0	1946.0	2223.0	2027.0
CQUI.longest_only	1147.0	1362.0	699.0	1413.0	1299.0	1103.0	910.0	1204.0	0.0	1079.0	1086.0	1064.0	1126.0	1115.0	1097.0	1078.0	1040.0	1101.0	1047.0	1071.0	1101.0	1082.0	939.0	1102.0	1057.0	1103.0	1107.0	1081.0	1121.0	1108.0	1079.0	1068.0	1034.0	1140.0	1132.0	1339.0	1187.0
DALB.longest_only	1170.0	1240.0	511.0	1145.0	1185.0	1194.0	972.0	1025.0	1120.0	0.0	938.0	972.0	874.0	911.0	998.0	928.0	945.0	1048.0	842.0	940.0	1020.0	998.0	877.0	952.0	1000.0	1008.0	1034.0	1009.0	889.0	1032.0	1013.0	907.0	901.0	890.0	1006.0	1247.0	1175.0
