	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
AAEG.longest_only	0.0	8354.0	4803.0	8084.0	6935.0	6656.0	4904.0	8481.0	8988.0	6475.0	6611.0	6598.0	6520.0	6573.0	6653.0	6571.0	6506.0	6615.0	6506.0	6554.0	6674.0	6694.0	5599.0	6546.0	6510.0	6567.0	6667.0	6627.0	6446.0	6659.0	6633.0	6559.0	6363.0	6511.0	6678.0	7092.0	6558.0
AALB.longest_only	8354.0	0.0	3934.0	9286.0	7283.0	6990.0	5179.0	8042.0	8575.0	6816.0	6975.0	6958.0	6880.0	6916.0	7016.0	6924.0	6857.0	6993.0	6869.0	6905.0	7028.0	7047.0	5902.0	6896.0	6878.0	6934.0	7041.0	6992.0	6804.0	7022.0	7004.0	6924.0	6722.0	6884.0	7044.0	7470.0	6905.0
AEAL.longest_only	4803.0	3934.0	0.0	3799.0	3307.0	3154.0	2459.0	4106.0	4281.0	3077.0	3148.0	3167.0	3082.0	3214.0	3174.0	3276.0	3184.0	3156.0	3093.0	3244.0	3182.0	3196.0	2695.0	3110.0	3107.0	3133.0	3191.0	3164.0	3124.0	3179.0	3164.0	3144.0	3045.0	3100.0	3190.0	3347.0	3108.0
ASTE.longest_only	8084.0	9286.0	3799.0	0.0	7026.0	6750.0	4999.0	7798.0	8300.0	6571.0	6724.0	6706.0	6637.0	6678.0	6776.0	6676.0	6611.0	6742.0	6627.0	6660.0	6779.0	6791.0	5726.0	6659.0	6632.0	6688.0	6796.0	6739.0	6569.0	6772.0	6754.0	6683.0	6484.0	6638.0	6785.0	7220.0	6657.0
BCOP.longest_only	6935.0	7283.0	3307.0	7026.0	0.0	6959.0	5104.0	6678.0	7102.0	6807.0	6952.0	6962.0	6872.0	6912.0	7007.0	6926.0	6858.0	6970.0	6874.0	6914.0	7022.0	7030.0	5912.0	6888.0	6845.0	6911.0	7007.0	6982.0	6803.0	7002.0	6981.0	6922.0	6714.0	6893.0	7019.0	7446.0	6903.0
BTRY.longest_only	6656.0	6990.0	3154.0	6750.0	6959.0	0.0	7541.0	6390.0	6808.0	8470.0	8720.0	8699.0	8559.0	8647.0	8769.0	8635.0	8548.0	8736.0	8571.0	8611.0	8801.0	8818.0	7438.0	8634.0	8580.0	8657.0	8776.0	8736.0	8497.0	8787.0	8744.0	8628.0	8384.0	8597.0	8790.0	7669.0	8630.0
CCAP.longest_only	4904.0	5179.0	2459.0	4999.0	5104.0	7541.0	0.0	4747.0	5032.0	6316.0	6553.0	6527.0	6390.0	6500.0	6577.0	6519.0	6474.0	6593.0	6410.0	6530.0	6601.0	6623.0	5477.0	6504.0	6465.0	6504.0	6587.0	6579.0	6398.0	6592.0	6578.0	6466.0	6255.0	6462.0	6587.0	5646.0	6427.0
CPIP.longest_only	8481.0	8042.0	4106.0	7798.0	6678.0	6390.0	4747.0	0.0	10927.0	6221.0	6345.0	6347.0	6262.0	6302.0	6405.0	6314.0	6267.0	6361.0	6263.0	6293.0	6417.0	6434.0	5410.0	6277.0	6252.0	6306.0	6413.0	6374.0	6188.0	6409.0	6388.0	6315.0	6113.0	6258.0	6428.0	6829.0	6283.0
CQUI.longest_only	8988.0	8575.0	4281.0	8300.0	7102.0	6808.0	5032.0	10927.0	0.0	6636.0	6776.0	6767.0	6685.0	6725.0	6826.0	6729.0	6676.0	6780.0	6681.0	6718.0	6844.0	6860.0	5750.0	6697.0	6670.0	6731.0	6840.0	6799.0	6615.0	6829.0	6808.0	6733.0	6530.0	6675.0	6849.0	7270.0	6703.0
DALB.longest_only	6475.0	6816.0	3077.0	6571.0	6807.0	8470.0	6316.0	6221.0	6636.0	0.0	10346.0	10368.0	10366.0	10285.0	10426.0	10299.0	10141.0	10351.0	10588.0	10212.0	10433.0	10482.0	8803.0	10746.0	10175.0	10283.0	10448.0	10402.0	10044.0	10443.0	10386.0	10286.0	10020.0	10731.0	10472.0	7469.0	10015.0
