Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	389	286
OG0000001	596	540
OG0000002	290	243
OG0000003	195	171
OG0000004	487	455
OG0000005	383	151
OG0000006	316	47
OG0000007	158	136
OG0000008	115	105
OG0000009	144	131
OG0000010	297	11
OG0000011	126	91
OG0000012	69	62
OG0000013	137	133
OG0000014	263	211
OG0000015	145	106
OG0000016	49	31
OG0000017	84	71
OG0000018	119	97
OG0000019	116	110
OG0000020	58	50
OG0000021	29	25
OG0000022	131	116
OG0000023	36	33
OG0000024	113	99
OG0000025	168	19
OG0000026	114	109
OG0000027	132	125
OG0000028	144	115
OG0000029	114	104
OG0000030	79	74
OG0000031	88	78
OG0000032	68	44
OG0000033	60	48
OG0000034	75	66
OG0000035	180	150
OG0000036	57	50
OG0000037	135	125
OG0000038	109	105
OG0000039	76	74
OG0000040	36	30
OG0000041	82	72
OG0000042	71	70
OG0000043	38	33
OG0000044	55	52
OG0000045	73	67
OG0000046	45	40
OG0000047	51	48
OG0000048	64	48
OG0000049	26	24
OG0000050	25	23
OG0000051	61	54
OG0000052	44	39
OG0000053	28	25
OG0000054	49	46
OG0000055	100	89
OG0000056	35	34
OG0000057	134	114
OG0000058	51	44
OG0000059	39	34
OG0000060	11	9
OG0000061	47	41
OG0000062	58	34
OG0000063	20	19
OG0000064	120	106
OG0000065	44	42
OG0000066	11	11
OG0000067	18	15
OG0000068	35	31
OG0000069	120	109
OG0000070	56	55
OG0000071	37	30
OG0000072	67	64
OG0000073	27	13
OG0000074	72	70
OG0000075	36	31
OG0000076	21	19
OG0000077	15	13
OG0000078	17	16
OG0000079	51	40
OG0000080	61	53
OG0000081	82	73
OG0000082	54	50
OG0000083	21	20
OG0000084	48	44
OG0000085	34	26
OG0000086	121	117
OG0000087	41	38
OG0000088	13	11
OG0000089	24	20
OG0000090	16	12
OG0000091	15	12
OG0000092	28	26
OG0000093	26	17
OG0000094	58	51
OG0000095	98	83
OG0000096	29	28
OG0000097	52	36
OG0000098	67	64
OG0000099	38	35
OG0000100	11	7
OG0000101	13	6
OG0000102	37	34
OG0000103	19	19
OG0000104	31	29
OG0000105	26	22
OG0000106	23	20
OG0000107	33	24
OG0000108	86	69
OG0000109	28	25
OG0000110	16	16
OG0000111	36	35
OG0000112	41	39
OG0000113	40	34
OG0000114	21	15
OG0000115	104	100
OG0000116	16	15
OG0000117	11	11
OG0000118	41	36
OG0000119	32	30
OG0000120	18	8
OG0000121	31	21
OG0000122	13	11
OG0000123	17	15
OG0000124	32	28
OG0000125	6	5
OG0000126	65	59
OG0000127	15	15
OG0000128	38	36
OG0000129	8	6
OG0000130	13	12
OG0000131	53	49
OG0000132	29	27
OG0000133	87	73
OG0000134	7	3
OG0000135	57	56
OG0000136	79	68
OG0000137	14	12
OG0000138	7	7
OG0000139	22	17
OG0000140	50	46
OG0000141	13	12
OG0000142	7	4
OG0000143	30	28
OG0000144	11	9
OG0000145	10	8
OG0000146	70	65
OG0000147	9	7
OG0000148	33	29
OG0000149	46	46
OG0000150	22	21
OG0000151	9	7
OG0000152	22	18
OG0000153	25	23
OG0000154	29	26
OG0000155	21	20
OG0000156	73	65
OG0000157	46	41
OG0000158	21	21
OG0000159	10	9
OG0000160	32	30
OG0000161	27	23
OG0000162	14	13
OG0000163	31	30
OG0000164	59	55
OG0000165	55	54
OG0000166	19	17
OG0000167	13	10
OG0000168	19	15
OG0000169	14	11
OG0000170	22	21
OG0000171	5	4
OG0000172	27	24
OG0000173	24	19
OG0000174	14	13
OG0000175	18	14
OG0000176	8	8
OG0000177	10	7
OG0000178	52	43
OG0000179	10	8
OG0000180	23	16
OG0000181	13	13
OG0000182	10	10
OG0000183	11	10
OG0000184	31	30
OG0000185	17	11
OG0000186	52	45
OG0000187	43	38
OG0000188	18	8
OG0000189	4	3
OG0000190	7	4
OG0000191	22	20
OG0000192	11	10
OG0000193	25	25
OG0000194	39	28
OG0000195	24	19
OG0000196	9	7
OG0000197	5	4
OG0000198	34	29
OG0000199	11	10
OG0000200	18	9
OG0000201	26	24
OG0000202	9	7
OG0000203	17	16
OG0000204	25	22
OG0000205	22	22
OG0000206	5	4
OG0000207	22	21
OG0000208	17	16
OG0000209	34	30
OG0000210	33	32
OG0000211	15	10
OG0000212	18	16
OG0000213	23	20
OG0000214	12	11
OG0000215	16	16
OG0000216	16	14
OG0000217	11	8
OG0000218	16	13
OG0000219	12	11
OG0000220	7	7
OG0000221	8	8
OG0000222	19	16
OG0000223	19	16
OG0000224	27	27
OG0000225	10	10
OG0000226	15	15
OG0000227	20	16
OG0000228	6	5
OG0000229	5	3
OG0000230	28	26
OG0000231	25	21
OG0000232	12	12
OG0000233	5	4
OG0000234	14	12
OG0000235	11	10
OG0000236	7	5
OG0000237	13	7
OG0000238	13	12
OG0000239	19	16
OG0000240	4	4
OG0000241	45	42
OG0000242	77	68
OG0000243	26	24
OG0000244	17	17
OG0000245	71	66
OG0000246	37	35
OG0000247	24	22
OG0000248	6	6
OG0000249	6	5
OG0000250	5	4
OG0000251	8	6
OG0000252	9	8
OG0000253	22	22
OG0000254	23	13
OG0000255	29	26
OG0000256	17	15
OG0000257	55	53
OG0000258	3	3
OG0000259	14	13
OG0000260	11	11
OG0000261	21	20
OG0000262	8	8
OG0000263	7	5
OG0000264	7	4
OG0000265	35	27
OG0000266	12	10
OG0000267	18	17
OG0000268	16	13
OG0000269	11	6
OG0000270	28	27
OG0000271	7	5
OG0000272	12	5
OG0000273	7	6
OG0000274	31	31
OG0000275	69	57
OG0000276	33	29
OG0000277	14	10
OG0000278	51	39
OG0000279	27	27
OG0000280	4	4
OG0000281	4	4
OG0000282	10	9
OG0000283	7	5
OG0000284	14	13
OG0000285	21	20
OG0000286	13	13
OG0000287	8	8
OG0000288	13	12
OG0000289	7	5
OG0000290	13	11
OG0000291	23	15
OG0000292	13	13
OG0000293	5	5
OG0000294	12	9
OG0000295	8	7
OG0000296	3	3
OG0000297	37	34
OG0000298	7	7
OG0000299	7	7
OG0000300	8	8
OG0000301	8	7
OG0000302	15	14
OG0000303	8	7
OG0000304	6	4
OG0000305	5	2
OG0000306	7	5
OG0000307	12	11
OG0000308	5	5
OG0000309	18	14
OG0000310	26	23
OG0000311	8	8
OG0000312	10	9
OG0000313	14	13
OG0000314	11	8
OG0000315	14	11
OG0000316	30	30
OG0000317	18	10
OG0000318	36	25
OG0000319	37	31
OG0000320	8	8
OG0000321	12	8
OG0000322	8	8
OG0000323	4	3
OG0000324	50	49
OG0000325	15	13
OG0000326	63	58
OG0000327	6	6
OG0000328	14	13
OG0000329	31	28
OG0000330	30	25
OG0000331	14	12
OG0000332	11	10
OG0000333	13	9
OG0000334	6	3
OG0000335	15	10
OG0000336	4	3
OG0000337	5	4
OG0000338	6	5
OG0000339	16	12
OG0000340	47	42
OG0000341	9	7
OG0000342	5	5
OG0000343	15	14
OG0000344	9	9
OG0000345	11	7
OG0000346	19	15
OG0000347	3	2
OG0000348	16	12
OG0000349	41	40
OG0000350	4	2
OG0000351	7	5
OG0000352	63	58
OG0000353	7	6
OG0000354	12	9
OG0000355	9	6
OG0000356	18	16
OG0000357	48	38
OG0000358	11	10
OG0000359	7	5
OG0000360	8	8
OG0000361	7	7
OG0000362	5	1
OG0000363	7	4
OG0000364	11	5
OG0000365	8	7
OG0000366	5	3
OG0000367	7	6
OG0000368	12	11
OG0000369	72	71
OG0000370	12	11
OG0000371	9	7
OG0000372	16	15
OG0000373	19	15
OG0000374	50	48
OG0000375	26	24
OG0000376	21	10
OG0000377	14	14
OG0000378	9	9
OG0000379	4	4
OG0000380	11	8
OG0000381	13	11
OG0000382	33	31
OG0000383	10	10
OG0000384	5	4
OG0000385	9	9
OG0000386	6	6
OG0000387	36	28
OG0000388	13	9
OG0000389	6	4
OG0000390	24	23
OG0000391	6	4
OG0000392	10	10
OG0000393	3	2
OG0000394	15	14
OG0000395	4	3
OG0000396	28	25
OG0000397	19	13
OG0000398	17	15
OG0000399	10	10
OG0000400	11	11
OG0000401	22	18
OG0000402	27	25
OG0000403	8	6
OG0000404	11	8
OG0000405	10	9
OG0000406	8	6
OG0000407	7	6
OG0000408	8	8
OG0000409	8	5
OG0000410	11	9
OG0000411	6	5
OG0000412	7	5
OG0000413	12	10
OG0000414	22	17
OG0000415	14	12
OG0000416	8	7
OG0000417	7	7
OG0000418	11	9
OG0000419	10	9
OG0000420	35	34
OG0000421	5	4
OG0000422	27	24
OG0000423	7	7
OG0000424	7	6
OG0000425	8	7
OG0000426	37	32
OG0000427	50	42
OG0000428	4	4
OG0000429	8	6
OG0000430	10	9
OG0000431	42	39
OG0000432	76	76
OG0000433	6	5
OG0000434	12	10
OG0000435	21	20
OG0000436	49	47
OG0000437	5	2
OG0000438	25	25
OG0000439	4	3
OG0000440	8	7
OG0000441	10	9
OG0000442	13	3
OG0000443	11	10
OG0000444	7	4
OG0000445	56	46
OG0000446	6	4
OG0000447	47	40
OG0000448	9	8
OG0000449	6	6
OG0000450	5	4
OG0000451	5	5
OG0000452	64	59
OG0000453	8	8
OG0000454	18	18
OG0000455	12	3
OG0000456	3	2
OG0000457	3	3
OG0000458	22	19
OG0000459	44	42
OG0000460	39	39
OG0000461	55	43
OG0000462	3	2
OG0000463	7	6
OG0000464	6	4
OG0000465	6	6
OG0000466	3	3
OG0000467	9	6
OG0000468	4	4
OG0000469	6	4
OG0000470	5	5
OG0000471	9	7
OG0000472	56	53
OG0000473	4	3
OG0000474	7	6
OG0000475	5	3
OG0000476	5	4
OG0000477	9	9
OG0000478	13	9
OG0000479	16	13
OG0000480	6	4
OG0000481	52	45
OG0000482	7	7
OG0000483	10	9
OG0000484	8	8
OG0000485	9	8
OG0000486	13	12
OG0000487	11	8
OG0000488	10	10
OG0000489	5	5
OG0000490	3	3
OG0000491	9	7
OG0000492	3	3
OG0000493	24	17
OG0000494	8	7
OG0000495	5	5
OG0000496	6	5
OG0000497	5	4
OG0000498	8	7
OG0000499	5	5
OG0000500	3	1
OG0000501	7	6
OG0000502	46	43
OG0000503	13	11
OG0000504	17	17
OG0000505	5	4
OG0000506	8	7
OG0000507	1	1
OG0000508	10	8
OG0000509	4	3
OG0000510	11	10
OG0000511	5	5
OG0000512	9	6
OG0000513	7	7
OG0000514	5	4
OG0000515	8	8
OG0000516	7	6
OG0000517	8	7
OG0000518	18	14
OG0000519	19	12
OG0000520	50	45
OG0000521	4	2
OG0000522	5	4
OG0000523	1	1
OG0000524	4	3
OG0000525	8	8
OG0000526	8	6
OG0000527	4	3
OG0000528	23	22
OG0000529	11	7
OG0000530	8	7
OG0000531	12	5
OG0000532	10	9
OG0000533	3	2
OG0000534	6	4
OG0000535	8	8
OG0000536	14	9
OG0000537	33	21
OG0000538	6	6
OG0000539	5	5
OG0000540	17	9
OG0000541	26	19
OG0000542	4	4
OG0000543	3	3
OG0000544	5	5
OG0000545	2	1
OG0000546	8	7
OG0000547	13	8
OG0000548	4	2
OG0000549	23	23
OG0000550	5	4
OG0000551	12	4
OG0000552	8	8
OG0000553	22	21
OG0000554	7	6
OG0000555	5	5
OG0000556	8	8
OG0000557	5	4
OG0000558	8	8
OG0000559	4	4
OG0000560	7	6
OG0000561	5	5
OG0000562	5	5
OG0000563	18	14
OG0000564	7	7
OG0000565	33	27
OG0000566	4	4
OG0000567	1	1
OG0000568	6	5
OG0000569	5	3
OG0000570	4	4
OG0000571	4	2
OG0000572	4	4
OG0000573	5	5
OG0000574	6	6
OG0000575	4	3
OG0000576	16	13
OG0000577	5	3
OG0000578	3	3
OG0000579	3	3
OG0000580	6	5
OG0000581	4	2
OG0000582	4	2
OG0000583	6	4
OG0000584	10	9
OG0000585	13	5
OG0000586	7	6
OG0000587	15	9
OG0000588	60	51
