	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
AAEG.longest_only	10591	9037	10070	9129	8396	7990	6365	9538	9546	7808	7960	7959	7856	7970	7977	7970	7973	7944	7950	7982	7991	7996	7995	7895	7974	7989	7969	7967	7979	7980	7968	7967	7971	7962	7980	8327	7966
AALB.longest_only	9037	9659	8839	9380	8200	7872	6292	8793	8830	7707	7863	7861	7766	7857	7879	7863	7870	7854	7859	7877	7884	7892	7885	7800	7875	7877	7878	7870	7878	7876	7866	7863	7870	7871	7879	8193	7867
AEAL.longest_only	10070	8839	11302	8936	8242	7849	6319	9447	9398	7647	7798	7812	7691	7973	7810	7977	7924	7781	7783	7968	7828	7829	7842	7725	7802	7827	7812	7818	7873	7818	7803	7806	7825	7794	7826	8138	7799
ASTE.longest_only	9129	9380	8936	9810	8253	7904	6320	8883	8914	7720	7882	7874	7785	7877	7899	7883	7888	7868	7876	7893	7903	7904	7910	7827	7891	7900	7898	7889	7895	7890	7876	7886	7895	7890	7891	8237	7888
BCOP.longest_only	8396	8200	8242	8253	9957	8171	6489	8119	8154	7985	8164	8167	8046	8207	8172	8214	8202	8142	8145	8209	8185	8186	8189	8085	8166	8179	8170	8168	8190	8176	8155	8167	8171	8163	8177	8478	8145
BTRY.longest_only	7990	7872	7849	7904	8171	10384	7999	7755	7781	9246	9470	9457	9284	9454	9477	9431	9452	9438	9420	9477	9501	9498	9510	9380	9469	9501	9472	9474	9469	9496	9467	9482	9500	9460	9496	8558	9416
CCAP.longest_only	6365	6292	6319	6320	6489	7999	8718	6218	6221	7314	7523	7507	7354	7542	7516	7529	7546	7494	7469	7557	7532	7528	7566	7445	7528	7533	7516	7526	7530	7522	7502	7512	7536	7507	7517	6810	7461
CPIP.longest_only	9538	8793	9447	8883	8119	7755	6218	11134	10410	7557	7707	7696	7605	7702	7719	7707	7723	7690	7691	7719	7733	7735	7742	7637	7716	7729	7715	7711	7718	7726	7713	7712	7719	7704	7730	8080	7707
CQUI.longest_only	9546	8830	9398	8914	8154	7781	6221	10410	10987	7600	7753	7742	7644	7752	7766	7756	7765	7733	7733	7761	7780	7778	7785	7674	7757	7771	7759	7754	7764	7768	7756	7755	7761	7742	7771	8124	7751
DALB.longest_only	7808	7707	7647	7720	7985	9246	7314	7557	7600	10776	10356	10353	10137	10346	10380	10339	10337	10305	10404	10331	10405	10407	10371	10393	10328	10367	10382	10379	10322	10405	10336	10366	10369	10502	10401	8347	10175
DANA.longest_only	7960	7863	7798	7882	8164	9470	7523	7707	7753	10356	11583	11276	10413	11228	11299	11251	11240	10930	10648	11119	11333	11324	11019	10636	10962	11001	11310	11314	11119	11324	10965	11299	11296	10748	11328	8517	10626
DBIA.longest_only	7959	7861	7812	7874	8167	9457	7507	7696	7742	10353	11276	11894	10425	11517	11515	11534	11486	10937	10632	11247	11567	11554	11018	10634	10976	11008	11538	11553	11214	11549	10966	11660	11656	10745	11556	8518	10625
DBUS.longest_only	7856	7766	7691	7785	8046	9284	7354	7605	7644	10137	10413	10425	10755	10402	10437	10396	10414	10342	10454	10376	10459	10457	10397	10439	10374	10387	10436	10439	10381	10444	10362	10427	10421	10527	10442	8402	10260
DELE.longest_only	7970	7857	7973	7877	8207	9454	7542	7702	7752	10346	11228	11517	10402	12601	11454	12123	11865	10918	10612	11766	11506	11493	11007	10606	10957	10989	11476	11514	11401	11490	10947	11475	11476	10717	11494	8529	10590
DERE.longest_only	7977	7879	7810	7899	8172	9477	7516	7719	7766	10380	11299	11515	10437	11454	11821	11488	11451	10960	10659	11215	11731	11717	11051	10650	11004	11034	11683	11704	11213	11708	10992	11537	11532	10763	11701	8538	10643
DEUG.longest_only	7970	7863	7977	7883	8214	9431	7529	7707	7756	10339	11251	11534	10396	12123	11488	12582	11875	10919	10607	11674	11528	11517	11007	10606	10961	10997	11510	11533	11373	11528	10950	11500	11495	10713	11533	8524	10597
DFIC.longest_only	7973	7870	7924	7888	8202	9452	7546	7723	7765	10337	11240	11486	10414	11865	11451	11875	12266	10918	10620	11469	11492	11477	11005	10612	10953	10990	11486	11486	11314	11486	10946	11472	11455	10724	11494	8529	10612
