Species Tree Node	Duplications (all)	Duplications (50% support)
N2	289	60
HILL.longest_only	2891	2891
N4	933	304
N7	469	469
BTRY.longest_only	2094	2094
N14	99	67
DALB.longest_only	1146	1146
N25	153	17
N11	531	101
N13	485	135
N18	599	382
DMIR.longest_only	4564	4564
DSUB.longest_only	233	233
N20	406	49
DANA.longest_only	668	668
N22	97	97
DPSE.longest_only	413	413
DPER.longest_only	651	651
DEUG.longest_only	505	505
DSUZ.longest_only	1082	1082
DHYD.longest_only	587	587
CCAP.longest_only	1922	1922
N8	1081	396
SLEB.longest_only	966	966
DELE.longest_only	592	592
N24	535	122
DFIC.longest_only	725	725
DKIK.longest_only	554	554
N30	99	34
N16	390	132
DERE.longest_only	194	194
N23	239	239
DBIA.longest_only	187	187
DYAK.longest_only	213	213
N15	355	206
DSAN.longest_only	174	174
N34	83	57
DSEC.longest_only	331	331
DMAU.longest_only	242	242
N32	43	33
N29	131	131
N21	185	185
N33	80	80
DSER.longest_only	726	726
N27	130	98
DVIR.longest_only	471	471
DGUA.longest_only	209	209
N0	2198	227
BCOP.longest_only	3743	3743
DSIM.longest_only	203	203
DNOV.longest_only	237	237
DSUP.longest_only	621	621
N3	797	510
CQUI.longest_only	960	960
CPIP.longest_only	1895	1895
AEAL.longest_only	11718	11718
N10	1477	1477
ASTE.longest_only	1467	1467
N6	764	549
AALB.longest_only	667	667
N12	223	114
DBUS.longest_only	514	514
N17	96	83
AAEG.longest_only	1511	1511
N9	811	811
N19	103	103
N5	218	218
N1	184	52
DMEL.longest_only	192	192
N35	9	9
N28	14	3
N31	9	3
N26	28	28
