	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
Number of genes	14626	11565	26856	12692	16546	14221	18809	16438	15094	13590	14128	14230	12712	15407	13718	15375	15062	13307	13282	15096	14112	13969	19112	13260	14397	14343	14039	14182	14775	14143	13440	15028	15567	13685	14085	14004	13655
Number of genes in orthogroups	14223	11370	25864	12381	15006	13868	12275	16028	14771	13332	13890	14066	12515	15210	13645	15111	14844	13211	13141	14835	14015	13861	18849	13151	14305	14227	13916	14082	14520	14046	13341	14828	15389	13561	13997	13151	13308
Number of unassigned genes	403	195	992	311	1540	353	6534	410	323	258	238	164	197	197	73	264	218	96	141	261	97	108	263	109	92	116	123	100	255	97	99	200	178	124	88	853	347
Percentage of genes in orthogroups	97.2	98.3	96.3	97.5	90.7	97.5	65.3	97.5	97.9	98.1	98.3	98.8	98.5	98.7	99.5	98.3	98.6	99.3	98.9	98.3	99.3	99.2	98.6	99.2	99.4	99.2	99.1	99.3	98.3	99.3	99.3	98.7	98.9	99.1	99.4	93.9	97.5
Percentage of unassigned genes	2.8	1.7	3.7	2.5	9.3	2.5	34.7	2.5	2.1	1.9	1.7	1.2	1.5	1.3	0.5	1.7	1.4	0.7	1.1	1.7	0.7	0.8	1.4	0.8	0.6	0.8	0.9	0.7	1.7	0.7	0.7	1.3	1.1	0.9	0.6	6.1	2.5
Number of orthogroups containing species	10591	9659	11302	9810	9957	10384	8718	11134	10987	10776	11583	11894	10755	12601	11821	12582	12266	11477	11085	12225	11983	11926	11928	11233	11663	11778	11923	11973	11839	11996	11533	11975	12043	11363	11954	9552	11009
Percentage of orthogroups containing species	46.4	42.4	49.6	43.0	43.7	45.5	38.2	48.8	48.2	47.3	50.8	52.2	47.2	55.3	51.8	55.2	53.8	50.3	48.6	53.6	52.5	52.3	52.3	49.3	51.1	51.6	52.3	52.5	51.9	52.6	50.6	52.5	52.8	49.8	52.4	41.9	48.3
Number of species-specific orthogroups	53	35	468	69	788	111	281	121	75	56	37	11	16	16	5	26	21	10	8	24	3	4	109	6	7	10	2	10	35	4	10	19	38	9	3	248	62
Number of genes in species-specific orthogroups	176	160	2007	311	3215	495	1093	408	239	329	129	30	45	34	16	76	62	30	23	84	9	28	641	23	37	29	5	37	138	9	29	70	131	26	19	1282	223
Percentage of genes in species-specific orthogroups	1.2	1.4	7.5	2.5	19.4	3.5	5.8	2.5	1.6	2.4	0.9	0.2	0.4	0.2	0.1	0.5	0.4	0.2	0.2	0.6	0.1	0.2	3.4	0.2	0.3	0.2	0.0	0.3	0.9	0.1	0.2	0.5	0.8	0.2	0.1	9.2	1.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	12213	13145	11502	12994	12847	12420	14086	11670	11817	12028	11221	10910	12049	10203	10983	10222	10538	11327	11719	10579	10821	10878	10876	11571	11141	11026	10881	10831	10965	10808	11271	10829	10761	11441	10850	13252	11795
'1	8883	8838	4536	8602	7945	9124	6967	9056	9545	9625	10415	10728	9737	10966	10765	11226	10797	10443	9910	10823	10895	10874	9025	10155	10350	10498	10860	10862	10342	10908	10491	10658	10379	10107	10891	8450	9780
'2	1158	536	4076	832	1140	756	1151	1340	824	730	761	783	716	1193	719	913	1018	728	827	947	719	715	1941	749	889	869	716	727	1032	727	727	858	1140	890	705	611	848
'3	238	130	1535	159	358	202	285	304	255	196	211	185	163	254	192	224	251	171	193	255	192	181	452	177	216	219	177	194	267	189	172	224	245	203	179	163	213
'4	103	50	490	83	165	91	112	140	118	80	77	86	58	88	67	101	78	60	63	82	75	66	170	61	74	68	69	84	86	73	62	93	113	70	69	95	63
'5	58	42	173	38	102	44	60	84	74	45	33	44	26	35	27	32	38	29	37	36	29	26	93	36	36	33	27	34	36	29	31	45	42	28	40	42	27
'6	37	16	103	25	66	33	47	50	43	25	23	20	17	20	14	24	22	10	11	16	26	17	46	17	23	27	23	27	18	20	13	17	25	20	19	37	18
'7	34	8	72	14	49	27	19	43	26	20	20	16	6	16	14	13	22	5	7	15	12	15	39	8	20	17	15	12	15	15	9	15	26	12	17	28	15
'8	16	6	69	11	28	17	15	23	23	7	9	7	9	10	5	18	13	12	13	9	9	6	29	5	15	10	8	11	9	6	7	7	14	7	9	24	12
'9	12	9	35	8	22	9	13	18	17	7	6	3	8	3	3	7	8	7	5	7	7	6	17	4	3	5	8	5	8	7	6	16	11	3	3	11	5
