	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
AAEG.longest_only	0.0	222.0	5899.0	561.0	618.0	404.0	708.0	926.0	422.0	456.0	437.0	437.0	439.0	476.0	405.0	477.0	543.0	411.0	534.0	507.0	392.0	386.0	1472.0	444.0	548.0	502.0	385.0	417.0	615.0	401.0	415.0	486.0	688.0	538.0	383.0	333.0	496.0
AALB.longest_only	918.0	0.0	5115.0	611.0	653.0	464.0	776.0	961.0	475.0	492.0	479.0	489.0	483.0	532.0	450.0	527.0	597.0	444.0	585.0	563.0	435.0	436.0	1566.0	497.0	586.0	528.0	421.0	463.0	659.0	439.0	438.0	528.0	737.0	585.0	419.0	372.0	555.0
AEAL.longest_only	435.0	108.0	0.0	265.0	302.0	219.0	336.0	484.0	227.0	210.0	199.0	195.0	210.0	298.0	177.0	238.0	268.0	186.0	246.0	262.0	175.0	172.0	676.0	199.0	245.0	231.0	163.0	189.0	286.0	181.0	186.0	205.0	318.0	242.0	169.0	147.0	235.0
ASTE.longest_only	910.0	213.0	4992.0	0.0	628.0	445.0	748.0	945.0	460.0	456.0	449.0	460.0	456.0	494.0	417.0	498.0	567.0	425.0	554.0	525.0	410.0	408.0	1471.0	467.0	553.0	500.0	390.0	438.0	618.0	410.0	413.0	494.0	702.0	554.0	397.0	355.0	526.0
BCOP.longest_only	810.0	285.0	4274.0	580.0	0.0	446.0	761.0	796.0	415.0	445.0	463.0	456.0	437.0	522.0	419.0	517.0	576.0	420.0	538.0	537.0	405.0	410.0	1515.0	461.0	568.0	508.0	404.0	433.0	639.0	414.0	417.0	495.0	709.0	537.0	401.0	352.0	510.0
BTRY.longest_only	769.0	301.0	4125.0	567.0	661.0	0.0	757.0	794.0	403.0	486.0	454.0	460.0	435.0	497.0	415.0	501.0	597.0	400.0	559.0	544.0	399.0	392.0	1760.0	448.0	590.0	538.0	394.0	434.0	672.0	404.0	415.0	545.0	801.0	571.0	398.0	362.0	519.0
CCAP.longest_only	574.0	220.0	3014.0	435.0	520.0	407.0	0.0	596.0	318.0	370.0	347.0	350.0	315.0	416.0	311.0	389.0	458.0	276.0	428.0	406.0	289.0	285.0	1468.0	323.0	440.0	397.0	293.0	313.0	516.0	288.0	298.0	410.0	642.0	416.0	295.0	291.0	396.0
CPIP.longest_only	841.0	218.0	5120.0	553.0	579.0	403.0	706.0	0.0	479.0	424.0	420.0	420.0	414.0	466.0	380.0	460.0	518.0	388.0	498.0	495.0	373.0	367.0	1379.0	425.0	521.0	474.0	363.0	398.0	589.0	376.0	385.0	462.0	670.0	512.0	360.0	321.0	486.0
CQUI.longest_only	887.0	229.0	5407.0	576.0	621.0	419.0	729.0	1137.0	0.0	456.0	446.0	448.0	444.0	498.0	415.0	492.0	552.0	418.0	534.0	517.0	399.0	393.0	1500.0	455.0	556.0	504.0	389.0	423.0	621.0	406.0	415.0	489.0	698.0	545.0	385.0	346.0	518.0
DALB.longest_only	751.0	300.0	3992.0	564.0	643.0	501.0	774.0	771.0	394.0	0.0	306.0	284.0	203.0	333.0	245.0	332.0	475.0	233.0	370.0	399.0	257.0	225.0	1853.0	215.0	440.0	375.0	228.0	266.0	566.0	248.0	244.0	381.0	651.0	380.0	225.0	345.0	375.0
DANA.longest_only	781.0	312.0	4081.0	581.0	671.0	515.0	778.0	805.0	410.0	369.0	0.0	223.0	282.0	285.0	196.0	291.0	445.0	222.0	439.0	350.0	208.0	177.0	1942.0	304.0	455.0	377.0	168.0	215.0	538.0	204.0	243.0	371.0	669.0	448.0	168.0	372.0	375.0
DBIA.longest_only	781.0	306.0	4080.0	578.0	662.0	502.0	772.0	784.0	406.0	366.0	222.0	0.0	275.0	219.0	134.0	207.0	389.0	210.0	440.0	321.0	132.0	106.0	1933.0	303.0	444.0	376.0	98.0	141.0	514.0	119.0	231.0	266.0	581.0	450.0	102.0	369.0	377.0
DBUS.longest_only	773.0	309.0	4047.0	572.0	663.0	519.0	805.0	798.0	403.0	333.0	334.0	322.0	0.0	381.0	287.0	379.0	523.0	260.0	411.0	425.0	294.0	263.0	1882.0	271.0	496.0	408.0	270.0	307.0	617.0	290.0	272.0	422.0	711.0	416.0	268.0	371.0	386.0
DELE.longest_only	768.0	302.0	4048.0	575.0	677.0	501.0	770.0	791.0	408.0	363.0	237.0	164.0	264.0	0.0	151.0	269.0	427.0	213.0	424.0	337.0	140.0	112.0	1880.0	290.0	455.0	380.0	120.0	152.0	527.0	131.0	232.0	311.0	625.0	433.0	125.0	375.0	370.0
DERE.longest_only	786.0	312.0	4108.0	579.0	677.0	508.0	778.0	791.0	408.0	381.0	236.0	145.0	283.0	197.0	0.0	212.0	398.0	220.0	444.0	327.0	106.0	85.0	1941.0	304.0	453.0	384.0	85.0	124.0	529.0	100.0	242.0	284.0	605.0	460.0	73.0	365.0	380.0
DEUG.longest_only	773.0	299.0	4065.0	570.0	680.0	501.0	775.0	785.0	409.0	363.0	220.0	134.0	267.0	448.0	136.0	0.0	436.0	205.0	428.0	338.0	128.0	103.0	1926.0	296.0	433.0	373.0	103.0	139.0	537.0	123.0	224.0	285.0	586.0	440.0	102.0	376.0	369.0
DFIC.longest_only	764.0	290.0	4023.0	559.0	662.0	498.0	763.0	779.0	395.0	364.0	222.0	145.0	275.0	330.0	139.0	235.0	0.0	208.0	419.0	331.0	136.0	107.0	1914.0	298.0	415.0	355.0	112.0	151.0	488.0	139.0	226.0	302.0	606.0	446.0	113.0	358.0	362.0
DGUA.longest_only	791.0	313.0	4085.0	586.0	676.0	535.0	797.0	804.0	417.0	392.0	328.0	314.0	291.0	342.0	264.0	367.0	515.0	0.0	449.0	417.0	267.0	235.0	1966.0	300.0	437.0	358.0	254.0	270.0	599.0	257.0	132.0	444.0	753.0	461.0	243.0	383.0	412.0
DHYD.longest_only	773.0	309.0	4027.0	573.0	652.0	509.0	781.0	787.0	400.0	341.0	326.0	317.0	230.0	359.0	268.0	360.0	528.0	250.0	0.0	430.0	277.0	247.0	1851.0	199.0	480.0	389.0	257.0	287.0	599.0	269.0	268.0	423.0	716.0	370.0	249.0	382.0	370.0
DKIK.longest_only	772.0	305.0	4065.0	573.0	666.0	497.0	764.0	781.0	397.0	366.0	222.0	203.0	268.0	571.0	178.0	317.0	451.0	200.0	426.0	0.0	181.0	152.0	1885.0	289.0	428.0	359.0	155.0	189.0	468.0	172.0	219.0	343.0	649.0	434.0	153.0	370.0	371.0
DMAU.longest_only	784.0	315.0	4119.0	588.0	673.0	508.0	781.0	796.0	411.0	386.0	242.0	149.0	276.0	200.0	121.0	228.0	397.0	221.0	439.0	325.0	0.0	57.0	1942.0	304.0	457.0	387.0	89.0	96.0	519.0	51.0	236.0	283.0	590.0	445.0	84.0	375.0	375.0
