	AAEG.longest_only	AALB.longest_only	AEAL.longest_only	ASTE.longest_only	BCOP.longest_only	BTRY.longest_only	CCAP.longest_only	CPIP.longest_only	CQUI.longest_only	DALB.longest_only	DANA.longest_only	DBIA.longest_only	DBUS.longest_only	DELE.longest_only	DERE.longest_only	DEUG.longest_only	DFIC.longest_only	DGUA.longest_only	DHYD.longest_only	DKIK.longest_only	DMAU.longest_only	DMEL.longest_only	DMIR.longest_only	DNOV.longest_only	DPER.longest_only	DPSE.longest_only	DSAN.longest_only	DSEC.longest_only	DSER.longest_only	DSIM.longest_only	DSUB.longest_only	DSUP.longest_only	DSUZ.longest_only	DVIR.longest_only	DYAK.longest_only	HILL.longest_only	SLEB.longest_only
AAEG.longest_only	0.0	415.0	1280.0	568.0	842.0	749.0	614.0	656.0	619.0	539.0	543.0	561.0	536.0	565.0	542.0	582.0	589.0	529.0	566.0	605.0	558.0	543.0	820.0	546.0	572.0	559.0	537.0	544.0	592.0	533.0	530.0	686.0	637.0	568.0	526.0	601.0	558.0
AALB.longest_only	307.0	0.0	569.0	264.0	506.0	413.0	336.0	324.0	312.0	349.0	346.0	356.0	338.0	348.0	343.0	370.0	383.0	338.0	345.0	359.0	349.0	331.0	461.0	339.0	353.0	352.0	342.0	340.0	372.0	341.0	347.0	401.0	409.0	356.0	332.0	377.0	309.0
AEAL.longest_only	1692.0	1006.0	0.0	1708.0	2156.0	1854.0	1884.0	2364.0	1648.0	1457.0	1416.0	1453.0	1414.0	1528.0	1399.0	1546.0	1625.0	1377.0	1574.0	1613.0	1389.0	1364.0	3089.0	1469.0	1629.0	1554.0	1404.0	1382.0	1740.0	1362.0	1391.0	1671.0	1905.0	1585.0	1383.0	1477.0	1505.0
ASTE.longest_only	393.0	282.0	1132.0	0.0	586.0	571.0	458.0	488.0	466.0	439.0	430.0	431.0	416.0	442.0	422.0	440.0	453.0	398.0	424.0	460.0	417.0	405.0	721.0	400.0	455.0	445.0	428.0	413.0	465.0	417.0	431.0	485.0	534.0	423.0	397.0	520.0	413.0
BCOP.longest_only	799.0	576.0	1656.0	655.0	0.0	768.0	651.0	974.0	802.0	640.0	606.0	619.0	599.0	639.0	599.0	629.0	683.0	579.0	645.0	645.0	590.0	584.0	911.0	611.0	621.0	634.0	575.0	582.0	655.0	576.0	596.0	681.0	734.0	646.0	567.0	746.0	667.0
BTRY.longest_only	713.0	540.0	1345.0	563.0	673.0	0.0	338.0	775.0	714.0	571.0	480.0	492.0	438.0	483.0	469.0	498.0	592.0	422.0	499.0	586.0	446.0	430.0	792.0	475.0	539.0	540.0	467.0	429.0	548.0	463.0	401.0	582.0	659.0	495.0	495.0	802.0	517.0
CCAP.longest_only	575.0	392.0	1479.0	435.0	522.0	260.0	0.0	604.0	468.0	354.0	344.0	360.0	311.0	353.0	320.0	348.0	395.0	282.0	385.0	402.0	319.0	303.0	643.0	335.0	353.0	357.0	325.0	314.0	385.0	319.0	283.0	396.0	457.0	380.0	329.0	562.0	373.0
CPIP.longest_only	711.0	522.0	1964.0	582.0	1083.0	964.0	729.0	0.0	263.0	670.0	635.0	672.0	641.0	649.0	649.0	670.0	685.0	629.0	681.0	697.0	642.0	647.0	989.0	639.0	687.0	695.0	629.0	651.0	700.0	646.0	637.0	712.0	764.0	663.0	623.0	806.0	664.0
CQUI.longest_only	532.0	456.0	1197.0	507.0	894.0	802.0	587.0	239.0	0.0	578.0	566.0	568.0	567.0	556.0	556.0	565.0	599.0	554.0	579.0	593.0	561.0	564.0	761.0	554.0	590.0	607.0	540.0	565.0	595.0	553.0	556.0	613.0	641.0	565.0	539.0	728.0	583.0
DALB.longest_only	549.0	435.0	1207.0	481.0	640.0	611.0	449.0	631.0	562.0	0.0	428.0	352.0	251.0	395.0	317.0	437.0	436.0	316.0	262.0	472.0	291.0	304.0	509.0	200.0	373.0	373.0	327.0	309.0	485.0	311.0	351.0	434.0	438.0	239.0	351.0	680.0	307.0
DANA.longest_only	523.0	418.0	1098.0	447.0	517.0	507.0	394.0	547.0	500.0	324.0	0.0	219.0	220.0	169.0	131.0	196.0	200.0	149.0	234.0	237.0	159.0	150.0	314.0	224.0	239.0	243.0	176.0	138.0	197.0	168.0	182.0	224.0	242.0	282.0	165.0	577.0	287.0
DBIA.longest_only	539.0	394.0	1087.0	432.0	536.0	502.0	389.0	569.0	519.0	321.0	220.0	0.0	224.0	106.0	76.0	112.0	148.0	164.0	245.0	191.0	83.0	88.0	340.0	242.0	262.0	264.0	88.0	80.0	200.0	98.0	205.0	104.0	112.0	269.0	103.0	550.0	286.0
DBUS.longest_only	474.0	367.0	1001.0	414.0	512.0	376.0	271.0	488.0	442.0	221.0	208.0	213.0	0.0	220.0	193.0	229.0	216.0	176.0	173.0	256.0	206.0	187.0	313.0	159.0	200.0	195.0	205.0	206.0	242.0	209.0	199.0	236.0	257.0	188.0	207.0	452.0	219.0
DELE.longest_only	526.0	375.0	1162.0	435.0	538.0	469.0	353.0	530.0	484.0	296.0	147.0	91.0	219.0	0.0	67.0	124.0	136.0	139.0	245.0	185.0	78.0	71.0	375.0	223.0	221.0	219.0	71.0	62.0	210.0	89.0	160.0	124.0	118.0	264.0	77.0	489.0	245.0
DERE.longest_only	477.0	354.0	982.0	393.0	477.0	432.0	344.0	506.0	450.0	230.0	135.0	73.0	182.0	71.0	0.0	69.0	104.0	114.0	198.0	142.0	57.0	60.0	243.0	198.0	189.0	194.0	75.0	54.0	176.0	75.0	152.0	94.0	83.0	211.0	95.0	514.0	230.0
DEUG.longest_only	565.0	418.0	1192.0	458.0	558.0	558.0	421.0	586.0	525.0	379.0	262.0	128.0	246.0	141.0	101.0	0.0	197.0	162.0	289.0	252.0	80.0	64.0	317.0	276.0	255.0	258.0	95.0	81.0	253.0	101.0	205.0	149.0	188.0	312.0	119.0	606.0	297.0
DFIC.longest_only	570.0	433.0	1260.0	472.0	563.0	531.0	443.0	599.0	550.0	349.0	239.0	160.0	244.0	162.0	123.0	197.0	0.0	156.0	290.0	225.0	129.0	121.0	364.0	286.0	325.0	320.0	131.0	107.0	280.0	132.0	206.0	169.0	189.0	303.0	132.0	577.0	311.0
DGUA.longest_only	446.0	355.0	983.0	363.0	464.0	360.0	277.0	475.0	429.0	230.0	135.0	147.0	169.0	147.0	118.0	155.0	139.0	0.0	201.0	182.0	131.0	131.0	173.0	216.0	133.0	139.0	132.0	119.0	197.0	131.0	80.0	154.0	180.0	226.0	136.0	445.0	203.0
DHYD.longest_only	502.0	359.0	1160.0	402.0	582.0	469.0	395.0	527.0	461.0	215.0	230.0	226.0	158.0	257.0	220.0	250.0	268.0	243.0	0.0	266.0	214.0	204.0	485.0	175.0	308.0	296.0	202.0	215.0	296.0	217.0	251.0	249.0	278.0	198.0	232.0	519.0	288.0
DKIK.longest_only	568.0	401.0	1196.0	467.0	569.0	560.0	441.0	602.0	537.0	380.0	217.0	202.0	284.0	229.0	166.0	250.0	247.0	196.0	308.0	0.0	161.0	154.0	425.0	307.0	304.0	301.0	173.0	140.0	128.0	179.0	239.0	245.0	242.0	321.0	177.0	590.0	288.0
DMAU.longest_only	491.0	368.0	996.0	404.0	479.0	437.0	339.0	535.0	484.0	250.0	158.0	75.0	227.0	93.0	60.0	85.0	112.0	122.0	214.0	156.0	0.0	98.0	294.0	215.0	201.0	200.0	76.0	107.0	172.0	142.0	157.0	106.0	136.0	263.0	72.0	515.0	266.0
DMEL.longest_only	492.0	356.0	978.0	391.0	491.0	433.0	348.0	523.0	480.0	261.0	145.0	85.0	198.0	83.0	76.0	62.0	98.0	124.0	206.0	138.0	102.0	0.0	256.0	206.0	194.0	193.0	90.0	77.0	166.0	115.0	149.0	109.0	85.0	236.0	90.0	517.0	258.0
DMIR.longest_only	889.0	634.0	3028.0	874.0	1163.0	840.0	819.0	1019.0	769.0	608.0	428.0	484.0	475.0	615.0	380.0	439.0	522.0	238.0	549.0	648.0	443.0	414.0	0.0	514.0	438.0	433.0	450.0	451.0	695.0	476.0	276.0	676.0	654.0	659.0	426.0	825.0	592.0
DNOV.longest_only	475.0	340.0	1054.0	380.0	502.0	415.0	334.0	490.0	440.0	174.0	214.0	227.0	163.0	235.0	217.0	255.0	256.0	235.0	155.0	264.0	222.0	212.0	389.0	0.0	273.0	269.0	203.0	204.0	261.0	214.0	239.0	240.0	267.0	120.0	219.0	471.0	238.0
DPER.longest_only	533.0	402.0	1327.0	464.0	545.0	519.0	423.0	561.0	509.0	317.0	233.0	239.0	195.0	251.0	190.0	250.0	307.0	120.0	287.0	286.0	219.0	219.0	334.0	293.0	0.0	262.0	225.0	212.0	329.0	226.0	174.0	319.0	347.0	328.0	226.0	567.0	296.0
DPSE.longest_only	516.0	389.0	1213.0	439.0	563.0	543.0	385.0	573.0	505.0	322.0	242.0	241.0	208.0	245.0	189.0	245.0	279.0	123.0	292.0	293.0	212.0	207.0	299.0	291.0	264.0	0.0	255.0	198.0	292.0	227.0	185.0	327.0	348.0	329.0	242.0	585.0	297.0
DSAN.longest_only	486.0	361.0	997.0	404.0	488.0	447.0	356.0	534.0	467.0	274.0	176.0	76.0	218.0	76.0	79.0	101.0	105.0	150.0	197.0	152.0	76.0	71.0	283.0	193.0	210.0	243.0	0.0	62.0	176.0	99.0	161.0	136.0	132.0	223.0	108.0	513.0	263.0
DSEC.longest_only	492.0	362.0	1037.0	439.0	477.0	414.0	341.0	576.0	504.0	251.0	162.0	90.0	241.0	97.0	61.0	109.0	94.0	112.0	220.0	129.0	125.0	85.0	321.0	198.0	219.0	217.0	71.0	0.0	149.0	151.0	163.0	151.0	154.0	231.0	80.0	515.0	254.0
DSER.longest_only	568.0	410.0	1340.0	463.0	568.0	545.0	442.0	592.0	529.0	361.0	202.0	182.0	287.0	221.0	171.0	213.0	258.0	189.0	323.0	106.0	158.0	149.0	430.0	301.0	287.0	264.0	174.0	140.0	0.0	183.0	217.0	217.0	241.0	305.0	179.0	600.0	287.0
DSIM.longest_only	479.0	357.0	997.0	405.0	479.0	488.0	384.0	537.0	479.0	265.0	160.0	85.0	219.0	101.0	84.0	105.0	110.0	129.0	220.0	158.0	138.0	118.0	315.0	218.0	216.0	249.0	97.0	91.0	197.0	0.0	172.0	142.0	117.0	243.0	114.0	533.0	276.0
DSUB.longest_only	457.0	369.0	985.0	393.0	484.0	393.0	301.0	483.0	433.0	251.0	158.0	171.0	199.0	162.0	137.0	179.0	172.0	69.0	225.0	204.0	152.0	149.0	188.0	225.0	160.0	166.0	152.0	136.0	211.0	157.0	0.0	173.0	203.0	246.0	153.0	493.0	205.0
DSUP.longest_only	580.0	441.0	1256.0	502.0	617.0	610.0	489.0	654.0	599.0	377.0	252.0	133.0	264.0	157.0	147.0	153.0	162.0	210.0	274.0	241.0	100.0	145.0	474.0	273.0	335.0	325.0	118.0	111.0	288.0	173.0	213.0	0.0	267.0	307.0	140.0	652.0	425.0
DSUZ.longest_only	640.0	506.0	1512.0	527.0	656.0	636.0	493.0	718.0	643.0	398.0	261.0	147.0	276.0	142.0	93.0	174.0	181.0	208.0	310.0	256.0	121.0	97.0	446.0	306.0	324.0	330.0	114.0	109.0	260.0	121.0	219.0	271.0	0.0	355.0	149.0	664.0	380.0
DVIR.longest_only	504.0	392.0	1202.0	411.0	552.0	461.0	407.0	531.0	465.0	202.0	268.0	262.0	198.0	284.0	235.0	283.0	280.0	260.0	192.0	298.0	275.0	244.0	551.0	141.0	318.0	314.0	237.0	242.0	303.0	252.0	277.0	280.0	334.0	0.0	256.0	523.0	292.0
DYAK.longest_only	472.0	359.0	997.0	384.0	486.0	449.0	358.0	511.0	458.0	277.0	173.0	96.0	213.0	91.0	109.0	117.0	108.0	150.0	209.0	158.0	84.0	78.0	278.0	207.0	213.0	225.0	125.0	75.0	189.0	125.0	161.0	138.0	134.0	243.0	0.0	534.0	277.0
HILL.longest_only	901.0	698.0	1473.0	775.0	901.0	1007.0	713.0	1001.0	973.0	780.0	726.0	679.0	682.0	686.0	721.0	690.0	733.0	657.0	700.0	765.0	705.0	720.0	889.0	704.0	691.0	715.0	705.0	686.0	756.0	693.0	652.0	753.0	830.0	740.0	737.0	0.0	816.0
SLEB.longest_only	506.0	373.0	1116.0	418.0	555.0	470.0	398.0	526.0	468.0	225.0	269.0	248.0	208.0	260.0	222.0	262.0	269.0	190.0	249.0	278.0	241.0	224.0	433.0	241.0	269.0	275.0	244.0	243.0	296.0	231.0	210.0	311.0	332.0	275.0	252.0	532.0	0.0
