Orthogroup	CCAP.longest_only	DYAK.longest_only
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC6532541|XP_002093287.2|DYAK
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC120321802|XP_039231662.1|DYAK, LOC26536205|XP_015052957.2|DYAK, LOC6529038|XP_002090069.2|DYAK, LOC6536475|XP_002097056.2|DYAK, LOC6530087|XP_002091033.1|DYAK
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC6535099|XP_039229818.1|DYAK, LOC6535097|XP_039229817.1|DYAK, LOC6535098|XP_002095761.2|DYAK, LOC6532122|XP_002092898.3|DYAK, LOC6536389|XP_002096971.3|DYAK, LOC26534826|XP_015049134.2|DYAK, LOC6538960|XP_002099463.2|DYAK, LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK, LOC6527857|XP_002088929.1|DYAK, LOC26536234|XP_015048941.1|DYAK, LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK, LOC6531513|XP_002092312.3|DYAK, LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK, LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK, LOC6526414|XP_002087533.2|DYAK, LOC6532990|XP_039229806.1|DYAK, LOC26535595|XP_015049129.2|DYAK, LOC6538949|XP_002099452.1|DYAK, LOC6537714|XP_002098259.2|DYAK, LOC6529465|XP_002090467.1|DYAK
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK, LOC6530976|XP_002091814.2|DYAK, LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK, LOC6538114|XP_002098649.1|DYAK, LOC6535316|XP_002095972.1|DYAK, LOC6539519|XP_002086405.1|DYAK, LOC6539518|XP_039230304.1|DYAK, LOC6533890|XP_002094590.1|DYAK
OG0000001	CCAP1982_LOCUS14762|CAD7006443.1|CCAP	LOC120320619|XP_039226769.1|DYAK
OG0000001	CCAP1982_LOCUS10232|CAD7001742.1|CCAP, CCAP1982_LOCUS9443|CAD7000970.1|CCAP	LOC120322239|XP_039233225.1|DYAK, LOC120321759|XP_039231466.1|DYAK, LOC120320570|XP_039226492.1|DYAK, LOC120322268|XP_039233251.1|DYAK, LOC120321436|XP_039229790.1|DYAK
OG0000001	CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP	LOC120320711|XP_039227061.1|DYAK, LOC120320699|XP_039227017.1|DYAK
OG0000002	CCAP1982_LOCUS4991|CAD6996312.1|CCAP	LOC26535670|XP_015050876.2|DYAK
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC6526775|XP_002087878.2|DYAK
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC6527104|XP_002088197.3|DYAK
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC6538264|XP_002098791.1|DYAK, LOC6530463|XP_002091379.1|DYAK, LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC6530456|XP_002091372.1|DYAK
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC6528128|XP_002089195.3|DYAK
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC120322179|XP_039233170.1|DYAK, LOC6529212|XP_002090219.3|DYAK, LOC120322177|XP_039233168.1|DYAK, LOC120322178|XP_039233169.1|DYAK, LOC6539223|XP_002086123.3|DYAK, LOC120322176|XP_039233166.1|DYAK, LOC6540446|XP_002087254.1|DYAK, LOC120322186|XP_039233176.1|DYAK, LOC6539221|XP_002086122.2|DYAK, LOC120322184|XP_039233174.1|DYAK, LOC120322182|XP_039233172.1|DYAK, LOC120322183|XP_039233173.1|DYAK, LOC26535476|XP_015044590.2|DYAK, LOC120322181|XP_039233171.1|DYAK, LOC120321237|XP_039229333.1|DYAK, LOC120322185|XP_039233175.1|DYAK
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC120322195|XP_039233186.1|DYAK
OG0000006	CCAP1982_LOCUS6242|CAD6997606.1|CCAP	LOC120322198|XP_039233189.1|DYAK
OG0000006	CCAP1982_LOCUS9859|CAD7001361.1|CCAP, CCAP1982_LOCUS9861|CAD7001363.1|CCAP	LOC120321198|XP_039229117.1|DYAK
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC120321239|XP_039229335.1|DYAK, LOC120322189|XP_039233180.1|DYAK, LOC26535831|XP_015045247.2|DYAK
OG0000006	CCAP1982_LOCUS6249|CAD6997613.1|CCAP	LOC6540447|XP_002087253.2|DYAK
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC6533142|XP_002093868.1|DYAK
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC6527619|XP_002088707.1|DYAK, LOC6528628|XP_002089670.1|DYAK, LOC6538895|XP_002099399.1|DYAK, LOC6538894|XP_002099398.2|DYAK, LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK, LOC6527618|XP_002088706.1|DYAK, LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK, LOC6533144|XP_002093870.1|DYAK, LOC6533145|XP_002093871.1|DYAK
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC26536044|XP_039231154.1|DYAK
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC6532927|XP_002093663.1|DYAK
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC6532930|XP_002093666.1|DYAK
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC6532928|XP_002093664.1|DYAK
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC6536141|XP_039231654.1|DYAK
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC6536143|XP_002096744.1|DYAK
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC6536140|XP_002096741.1|DYAK
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC6536142|XP_002096743.1|DYAK
