Orthogroup	CCAP.longest_only	DMAU.longest_only
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU, LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU, LOC117138309|XP_033156204.1|DMAU
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC117139148|XP_033157197.1|DMAU, LOC117139149|XP_033157198.1|DMAU, LOC117140540|XP_033159421.1|DMAU, LOC117138648|XP_033156758.1|DMAU, LOC117144786|XP_033166045.1|DMAU, LOC117142323|XP_033162125.1|DMAU, LOC117142325|XP_033162128.1|DMAU, LOC117142327|XP_033162129.1|DMAU, LOC117136304|XP_033153082.1|DMAU, LOC117145451|XP_033167010.1|DMAU, LOC117137412|XP_033154732.1|DMAU, LOC117138341|XP_033156269.1|DMAU, LOC117140233|XP_033158923.1|DMAU, LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU, LOC117136161|XP_033152774.1|DMAU, LOC117139178|XP_033157238.1|DMAU, LOC117150663|XP_033173544.1|DMAU, LOC117139179|XP_033157239.1|DMAU, LOC117145744|XP_033167397.1|DMAU, LOC117145225|XP_033166688.1|DMAU, LOC117145856|XP_033167567.1|DMAU, LOC117150929|XP_033173982.1|DMAU
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU, LOC117146038|XP_033167862.1|DMAU, LOC117145160|XP_033166598.1|DMAU, LOC117140539|XP_033159419.1|DMAU, LOC117140538|XP_033159418.1|DMAU
OG0000001	CCAP1982_LOCUS10232|CAD7001742.1|CCAP, CCAP1982_LOCUS9443|CAD7000970.1|CCAP	LOC117140024|XP_033158645.1|DMAU
OG0000002	CCAP1982_LOCUS4991|CAD6996312.1|CCAP	LOC117140283|XP_033159002.1|DMAU
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC117136934|XP_033153971.1|DMAU
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC117145313|XP_033166799.1|DMAU, LOC117137897|XP_033155527.1|DMAU, LOC117136364|XP_033153130.1|DMAU
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC117136851|XP_033153841.1|DMAU
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC117138777|XP_033156858.1|DMAU
OG0000007	CCAP1982_LOCUS12646|CAD7004227.1|CCAP	LOC117141087|XP_033160294.1|DMAU
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC117150742|XP_033173667.1|DMAU, LOC117136894|XP_033153899.1|DMAU, LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU, LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU, LOC117139714|XP_033158125.1|DMAU, LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU, LOC117142071|XP_033161842.1|DMAU, LOC117142072|XP_033161843.1|DMAU
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC117142833|XP_033162955.1|DMAU
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC117140615|XP_033159521.1|DMAU
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC117140614|XP_033159520.1|DMAU
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC117140617|XP_033159524.1|DMAU
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC117144387|XP_033165412.1|DMAU
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC117143719|XP_033164408.1|DMAU
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC117144386|XP_033165411.1|DMAU
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC117143928|XP_033164736.1|DMAU
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC117145423|XP_033166959.1|DMAU
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC117136735|XP_033153656.1|DMAU, LOC117143616|XP_033164265.1|DMAU, LOC117135792|XP_033152175.1|DMAU, LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	CCAP1982_LOCUS6251|CAD6997615.1|CCAP, CCAP1982_LOCUS6239|CAD6997603.1|CCAP, CCAP1982_LOCUS6253|CAD6997617.1|CCAP, CCAP1982_LOCUS6246|CAD6997610.1|CCAP, CCAP1982_LOCUS6235|CAD6997599.1|CCAP, CCAP1982_LOCUS6248|CAD6997612.1|CCAP	LOC117142722|XP_033162774.1|DMAU
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC117136761|XP_033153688.1|DMAU
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC117136760|XP_033153687.1|DMAU
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC117136898|XP_033153902.1|DMAU
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC117137864|XP_033155471.1|DMAU
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU, LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU, LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC117136473|XP_033153295.1|DMAU
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC117142434|XP_033162286.1|DMAU
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC117141743|XP_033161255.1|DMAU
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC117143333|XP_033163884.1|DMAU
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC117142344|XP_033162152.1|DMAU
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU
OG0000014	CCAP1982_LOCUS11944|CAD7003494.1|CCAP	LOC117141766|XP_033161286.1|DMAU, LOC117139678|XP_033158048.1|DMAU, LOC117136459|XP_033153277.1|DMAU, LOC117150445|XP_033173222.1|DMAU, LOC117149978|XP_033172760.1|DMAU, LOC117150378|XP_033173130.1|DMAU
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC117143253|XP_033163704.1|DMAU, LOC117136077|XP_033152622.1|DMAU
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC117144517|XP_033165627.1|DMAU
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC117137377|XP_033154680.1|DMAU
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC117145868|XP_033167581.1|DMAU
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC117140134|XP_033158791.1|DMAU
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC117138274|XP_033156132.1|DMAU, LOC117136736|XP_033153658.1|DMAU
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC117141482|XP_033160851.1|DMAU
OG0000018	CCAP1982_LOCUS12550|CAD7004129.1|CCAP	LOC117141483|XP_033160852.1|DMAU
OG0000019	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP	LOC117143233|XP_033163675.1|DMAU, LOC117143237|XP_033163678.1|DMAU, LOC117143236|XP_033163677.1|DMAU, LOC117143229|XP_033163670.1|DMAU, LOC117143234|XP_033163676.1|DMAU, LOC117143231|XP_033163673.1|DMAU, LOC117143232|XP_033163674.1|DMAU
OG0000020	CCAP1982_LOCUS1146|CAD6992278.1|CCAP	LOC117143636|XP_033164304.1|DMAU
