Orthogroup	CCAP.longest_only	DEUG.longest_only
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC108114097|XP_017080345.1|DEUG
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC108105829|XP_017068062.1|DEUG, LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG, LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG, LOC108112762|XP_017078510.1|DEUG
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC108113889|XP_017080083.1|DEUG, LOC108114143|XP_017080414.1|DEUG, LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG, LOC108107246|XP_017070153.1|DEUG, LOC108104209|XP_017065641.1|DEUG, LOC108104204|XP_017065637.1|DEUG, LOC108104205|XP_017065638.1|DEUG, LOC108104206|XP_017065639.1|DEUG, LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG, LOC108113894|XP_017080088.1|DEUG, LOC108104212|XP_017065644.1|DEUG, LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG, LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG, LOC108117463|XP_017085374.1|DEUG, LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG, LOC108112677|XP_017078310.1|DEUG, LOC108108192|XP_017071633.1|DEUG, LOC108113914|XP_017080109.1|DEUG, LOC108113484|XP_017079558.1|DEUG, LOC108113483|XP_017079557.1|DEUG, LOC108113485|XP_017079560.1|DEUG, LOC108115565|XP_017082560.1|DEUG, LOC108103054|XP_017063857.1|DEUG
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG, LOC108115960|XP_017083085.1|DEUG, LOC108114927|XP_017081602.1|DEUG, LOC108114139|XP_017080411.1|DEUG, LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG, LOC108113890|XP_017080084.1|DEUG, LOC108113892|XP_017080086.1|DEUG, LOC108108505|XP_017072063.1|DEUG, LOC108104271|XP_017065711.1|DEUG, LOC108104244|XP_017065683.1|DEUG, LOC108104247|XP_017065685.1|DEUG, LOC108104242|XP_017065681.1|DEUG, LOC108104250|XP_017065688.1|DEUG, LOC108116803|XP_017084340.1|DEUG, LOC108104248|XP_017065686.1|DEUG, LOC108104270|XP_017065710.1|DEUG, LOC108104269|XP_017065708.1|DEUG, LOC108104243|XP_017065682.1|DEUG, LOC108104241|XP_017065680.1|DEUG, LOC108104245|XP_017065684.1|DEUG
OG0000001	CCAP1982_LOCUS10232|CAD7001742.1|CCAP, CCAP1982_LOCUS9443|CAD7000970.1|CCAP	LOC108111625|XP_017076648.1|DEUG
OG0000002	CCAP1982_LOCUS4991|CAD6996312.1|CCAP	LOC108110911|XP_017075671.1|DEUG, LOC108102651|XP_017063276.1|DEUG, LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC108113287|XP_017079326.1|DEUG, LOC108110800|XP_017075517.1|DEUG
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC108115764|XP_017082821.1|DEUG, LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG, LOC108106562|XP_017069219.1|DEUG
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC108106224|XP_017068639.1|DEUG
