Orthogroup	CCAP.longest_only	DFIC.longest_only
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC108096481|XP_017053581.1|DFIC, LOC108101733|XP_017061674.1|DFIC, LOC108098759|XP_017057380.1|DFIC
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC108089295|XP_017042962.1|DFIC, LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC, LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC, LOC108098764|XP_017057385.1|DFIC, LOC108086784|XP_017039313.1|DFIC, LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC, LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC, LOC108100131|XP_017059373.1|DFIC, LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC, LOC108086787|XP_017039316.1|DFIC, LOC108087064|XP_017039728.1|DFIC, LOC108087061|XP_017039726.1|DFIC, LOC108087063|XP_017039727.1|DFIC, LOC108099241|XP_017058101.1|DFIC, LOC108090590|XP_017044830.1|DFIC
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC, LOC108097696|XP_017055657.1|DFIC, LOC108089293|XP_017042959.1|DFIC, LOC108089294|XP_017042961.1|DFIC, LOC108091368|XP_017046009.1|DFIC, LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC
OG0000001	CCAP1982_LOCUS9694|CAD7001196.1|CCAP, CCAP1982_LOCUS9894|CAD7001397.1|CCAP	LOC108094352|XP_017050381.1|DFIC
OG0000001	CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP	LOC108098394|XP_017056755.1|DFIC
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC108092580|XP_017047713.1|DFIC, LOC108092286|XP_017047310.1|DFIC
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC108087705|XP_017040710.1|DFIC, LOC108094289|XP_017050276.1|DFIC
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC108087605|XP_017040533.1|DFIC
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC
