Orthogroup	CCAP.longest_only	DBIA.longest_only
OG0000000	CCAP1982_LOCUS12926|CAD7004529.1|CCAP	LOC108029860|XP_016957839.1|DBIA
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA, LOC108029053|XP_016956604.1|DBIA, LOC108031338|XP_016960091.1|DBIA, LOC108029341|XP_016957023.1|DBIA
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC108034429|XP_016964803.1|DBIA, LOC108034424|XP_016964798.1|DBIA, LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA, LOC108022107|XP_016946439.1|DBIA, LOC108025270|XP_016951121.1|DBIA, LOC108024280|XP_016949667.1|DBIA, LOC108024997|XP_016950742.1|DBIA, LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA, LOC108024999|XP_016950744.1|DBIA, LOC108031001|XP_016959690.1|DBIA, LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA, LOC108031000|XP_016959689.1|DBIA, LOC108030080|XP_016958186.1|DBIA, LOC108033578|XP_016963412.1|DBIA, LOC108025172|XP_016950938.1|DBIA, LOC108025165|XP_016950931.1|DBIA, LOC108025419|XP_016951390.1|DBIA, LOC108032345|XP_016961644.1|DBIA, LOC108023058|XP_016947798.1|DBIA, LOC108028940|XP_016956448.1|DBIA, LOC108033274|XP_016963030.1|DBIA, LOC108033239|XP_016962994.1|DBIA
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA, LOC108024473|XP_016949882.1|DBIA, LOC108032904|XP_016962446.1|DBIA, LOC108034432|XP_016964806.1|DBIA, LOC108034431|XP_016964805.1|DBIA, LOC108034430|XP_016964804.1|DBIA, LOC108035120|XP_016966040.1|DBIA, LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA
OG0000001	CCAP1982_LOCUS14762|CAD7006443.1|CCAP	LOC108035859|XP_016967093.1|DBIA
OG0000001	CCAP1982_LOCUS10053|CAD7001559.1|CCAP, CCAP1982_LOCUS9335|CAD7000861.1|CCAP, CCAP1982_LOCUS10394|CAD7001907.1|CCAP	LOC108036881|XP_016968745.1|DBIA
OG0000002	CCAP1982_LOCUS4991|CAD6996312.1|CCAP	LOC108029608|XP_016957477.1|DBIA, LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC108027710|XP_016954748.1|DBIA, LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA
