Orthogroup	CCAP.longest_only	DGUA.longest_only
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC117592188|XP_034141680.1|DGUA, LOC117583189|XP_034127284.1|DGUA, LOC117583148|XP_034127229.1|DGUA, LOC117588815|XP_034136215.1|DGUA
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC117589025|XP_034136545.1|DGUA, LOC117588940|XP_034136409.1|DGUA, LOC117592532|XP_034142283.1|DGUA, LOC117583198|XP_034127292.1|DGUA, LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA, LOC117578480|XP_034119907.1|DGUA, LOC117583194|XP_034127289.1|DGUA, LOC117583318|XP_034127468.1|DGUA, LOC117582218|XP_034125717.1|DGUA, LOC117592522|XP_034142264.1|DGUA
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA, LOC117589701|XP_034137755.1|DGUA, LOC117585206|XP_034130474.1|DGUA, LOC117585204|XP_034130472.1|DGUA, LOC117585432|XP_034130797.1|DGUA, LOC117585250|XP_034130554.1|DGUA, LOC117585205|XP_034130473.1|DGUA, LOC117585431|XP_034130796.1|DGUA, LOC117592344|XP_034141927.1|DGUA, LOC117583154|XP_034127239.1|DGUA, LOC117585429|XP_034130795.1|DGUA, LOC117586464|XP_034132421.1|DGUA
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC117584002|XP_034128622.1|DGUA
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC117581706|XP_034124975.1|DGUA, LOC117582230|XP_034125732.1|DGUA, LOC117584049|XP_034128680.1|DGUA, LOC117587987|XP_034134884.1|DGUA
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC117592331|XP_034141917.1|DGUA
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC117592350|XP_034141940.1|DGUA, LOC117578447|XP_034119862.1|DGUA
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC117583309|XP_034127448.1|DGUA
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC117583987|XP_034128590.1|DGUA
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC117587981|XP_034134880.1|DGUA
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC117591774|XP_034140974.1|DGUA, LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC117591658|XP_034140872.1|DGUA
OG0000006	CCAP1982_LOCUS6237|CAD6997601.1|CCAP, CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC117591645|XP_034140861.1|DGUA
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC117587429|XP_034133994.1|DGUA
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC117584024|XP_034128652.1|DGUA, LOC117592308|XP_034141873.1|DGUA, LOC117583354|XP_034127515.1|DGUA, LOC117583632|XP_034127972.1|DGUA, LOC117583285|XP_034127411.1|DGUA, LOC117583201|XP_034127296.1|DGUA, LOC117584026|XP_034128654.1|DGUA, LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA, LOC117587430|XP_034133997.1|DGUA, LOC117587431|XP_034133998.1|DGUA
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC117586140|XP_034131924.1|DGUA
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC117579398|XP_034121168.1|DGUA
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC117579397|XP_034121167.1|DGUA
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC117579400|XP_034121171.1|DGUA
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC117586165|XP_034131957.1|DGUA
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC117586221|XP_034132048.1|DGUA
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC117586120|XP_034131875.1|DGUA
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC117586582|XP_034132641.1|DGUA
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC117586341|XP_034132234.1|DGUA
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC117587230|XP_034133688.1|DGUA, LOC117586357|XP_034132268.1|DGUA, LOC117588654|XP_034135988.1|DGUA, LOC117588663|XP_034136000.1|DGUA
OG0000010	CCAP1982_LOCUS6246|CAD6997610.1|CCAP	LOC117583778|XP_034128224.1|DGUA
OG0000010	CCAP1982_LOCUS6235|CAD6997599.1|CCAP	LOC117591688|XP_034140902.1|DGUA
OG0000010	CCAP1982_LOCUS2041|CAD6993222.1|CCAP	LOC117591679|XP_034140894.1|DGUA
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC117578829|XP_034120480.1|DGUA
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC117578830|XP_034120484.1|DGUA
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC117578828|XP_034120477.1|DGUA
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC117578831|XP_034120485.1|DGUA
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA, LOC117585406|XP_034130769.1|DGUA, LOC117592596|XP_034142370.1|DGUA, LOC117592593|XP_034142368.1|DGUA, LOC117592595|XP_034142369.1|DGUA, LOC117592597|XP_034142371.1|DGUA, LOC117592598|XP_034142372.1|DGUA
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC117592555|XP_034142321.1|DGUA
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC117585977|XP_034131683.1|DGUA
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC117580093|XP_034122238.1|DGUA
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC117589807|XP_034137915.1|DGUA
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA
