Orthogroup	CCAP.longest_only	DSAN.longest_only
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC120450014|XP_039488671.1|DSAN
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN, LOC120454013|XP_039494937.1|DSAN, LOC120444836|XP_039480727.1|DSAN
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC120447883|XP_039485428.1|DSAN, LOC120447886|XP_039485431.1|DSAN, LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN, LOC120444952|XP_039480891.1|DSAN, LOC120453403|XP_039494026.1|DSAN, LOC120453829|XP_039494657.1|DSAN, LOC120453329|XP_039493924.1|DSAN, LOC120443793|XP_039479056.1|DSAN, LOC120454315|XP_039495452.1|DSAN, LOC120446300|XP_039483141.1|DSAN, LOC120444898|XP_039480821.1|DSAN, LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN, LOC120458417|XP_039501988.1|DSAN, LOC120455242|XP_039497157.1|DSAN, LOC120443964|XP_039479362.1|DSAN, LOC120458841|XP_039502600.1|DSAN, LOC120447669|XP_039485129.1|DSAN, LOC120454324|XP_039495461.1|DSAN, LOC120453354|XP_039493961.1|DSAN, LOC120453013|XP_039493463.1|DSAN, LOC120444807|XP_039480688.1|DSAN
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN, LOC120454169|XP_039495171.1|DSAN, LOC120453562|XP_039494248.1|DSAN, LOC120447885|XP_039485430.1|DSAN, LOC120447884|XP_039485429.1|DSAN, LOC120448603|XP_039486639.1|DSAN
OG0000001	CCAP1982_LOCUS10232|CAD7001742.1|CCAP, CCAP1982_LOCUS9443|CAD7000970.1|CCAP	LOC120457515|XP_039500997.1|DSAN, LOC120444320|XP_039479805.1|DSAN
OG0000001	CCAP1982_LOCUS10053|CAD7001559.1|CCAP, CCAP1982_LOCUS9335|CAD7000861.1|CCAP, CCAP1982_LOCUS10394|CAD7001907.1|CCAP, CCAP1982_LOCUS19569|CAD7011469.1|CCAP	LOC120449510|XP_039487947.1|DSAN
OG0000002	CCAP1982_LOCUS4991|CAD6996312.1|CCAP	LOC120449620|XP_039488138.1|DSAN
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC120448038|XP_039485719.1|DSAN
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC120443706|XP_039478879.1|DSAN
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN
