Orthogroup	CCAP.longest_only	AEAL.longest_only
OG0000001	CCAP1982_LOCUS13102|CAD7004709.1|CCAP	LOC115258813|XP_029715105.1|AEAL
OG0000001	CCAP1982_LOCUS9920|CAD7001423.1|CCAP	LOC115261991|XP_029719785.1|AEAL
OG0000001	CCAP1982_LOCUS10362|CAD7001875.1|CCAP	LOC109413281|XP_029733375.1|AEAL, LOC115256684|XP_029711456.1|AEAL, LOC109623019|XP_029710293.1|AEAL, LOC115269400|XP_029733938.1|AEAL, LOC109422104|XP_029710301.1|AEAL, LOC115268913|XP_029732984.1|AEAL, LOC115266749|XP_029729152.1|AEAL, LOC115264723|XP_029724605.1|AEAL, LOC115257858|XP_029713675.1|AEAL, LOC115254420|XP_029707769.1|AEAL, LOC109399038|XP_029725309.1|AEAL, LOC115269388|XP_029733924.1|AEAL, LOC109622039|XP_029729050.1|AEAL, LOC115261584|XP_029719346.1|AEAL, LOC109405551|XP_019534182.2|AEAL, LOC115256176|XP_029710296.1|AEAL, LOC109426131|XP_029734345.1|AEAL, LOC115262999|XP_029721807.1|AEAL, LOC115256498|XP_029711026.1|AEAL
OG0000001	CCAP1982_LOCUS10266|CAD7001775.1|CCAP	LOC115255489|XP_029709475.1|AEAL, LOC115261988|XP_029719780.1|AEAL
OG0000001	CCAP1982_LOCUS9894|CAD7001397.1|CCAP	LOC109398597|XP_029729814.1|AEAL, LOC115262790|XP_029721536.1|AEAL, LOC115263536|XP_029722631.1|AEAL, LOC115260919|XP_029718140.1|AEAL, LOC115268204|XP_029732116.1|AEAL, LOC115270912|XP_029736109.1|AEAL, LOC115255462|XP_029709446.1|AEAL, LOC115261307|XP_029718578.1|AEAL, LOC115259747|XP_029716391.1|AEAL, LOC115260526|XP_029717300.1|AEAL, LOC115269607|XP_029734288.1|AEAL
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC109621653|XP_019931303.1|AEAL
OG0000006	CCAP1982_LOCUS6252|CAD6997616.1|CCAP	LOC109420133|XP_019549991.1|AEAL, LOC109431220|XP_019562977.1|AEAL, LOC115261264|XP_029718499.1|AEAL, LOC115261271|XP_029718506.1|AEAL, LOC115261261|XP_029718496.1|AEAL, LOC115261224|XP_029718458.1|AEAL, LOC115261225|XP_029718459.1|AEAL, LOC115261263|XP_029718498.1|AEAL, LOC115261262|XP_029718497.1|AEAL, LOC115261290|XP_029718531.1|AEAL, LOC115263330|XP_029722488.1|AEAL, LOC109418596|XP_019548347.2|AEAL, LOC115261265|XP_029718500.1|AEAL, LOC115261270|XP_029718504.1|AEAL
OG0000007	CCAP1982_LOCUS12644|CAD7004225.1|CCAP, CCAP1982_LOCUS12645|CAD7004226.1|CCAP, CCAP1982_LOCUS12646|CAD7004227.1|CCAP, CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP, CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL
