Orthogroup	CCAP.longest_only	DPER.longest_only
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER, LOC6603458|XP_002028438.2|DPER, LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER, LOC6598745|XP_026840088.1|DPER, LOC6603462|XP_002028442.1|DPER
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC6599796|XP_002024966.2|DPER, LOC6592293|XP_002018412.1|DPER, LOC6594745|XP_002020397.2|DPER, LOC6594746|XP_026843423.1|DPER, LOC6594749|XP_026851250.1|DPER, LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER, LOC6589576|XP_026844127.1|DPER, LOC6591308|XP_026842081.1|DPER, LOC6595216|XP_026851124.1|DPER, LOC6593032|XP_002017709.2|DPER, LOC6593087|XP_026841436.1|DPER, LOC6593031|XP_026841437.1|DPER, LOC113564899|XP_026839990.1|DPER, LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER, LOC6588283|XP_026842223.1|DPER, LOC113565649|XP_026844091.1|DPER, LOC6592855|XP_026840797.1|DPER
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER, LOC6595014|XP_026839995.1|DPER, LOC6587480|XP_002013644.2|DPER, LOC113564894|XP_026839940.1|DPER, LOC113564893|XP_026839937.1|DPER, LOC113564896|XP_026839945.1|DPER, LOC113564892|XP_026839936.1|DPER, LOC113564891|XP_026839935.1|DPER, LOC6595239|XP_026839947.1|DPER, LOC6591953|XP_026851182.1|DPER, LOC6592013|XP_002017508.2|DPER, LOC6591788|XP_002017388.2|DPER, LOC6588090|XP_026840194.1|DPER, LOC113564923|XP_026840189.1|DPER, LOC113567447|XP_026851145.1|DPER, LOC113564924|XP_026840190.1|DPER, LOC6587947|XP_026840188.1|DPER, LOC6588042|XP_002012846.2|DPER, LOC6592618|XP_002018494.2|DPER, LOC113564925|XP_026840193.1|DPER, LOC6587712|XP_002012839.2|DPER, LOC6588022|XP_026840192.1|DPER, LOC113566937|XP_026849986.1|DPER, LOC113567058|XP_026850069.1|DPER, LOC6591954|XP_002017498.2|DPER, LOC6591955|XP_026851194.1|DPER, LOC6598646|XP_026840107.1|DPER
OG0000002	CCAP1982_LOCUS4991|CAD6996312.1|CCAP	LOC6595741|XP_026845259.1|DPER
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC6596381|XP_002021534.2|DPER
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC6591231|XP_002016677.1|DPER
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC6590819|XP_026841177.1|DPER, LOC6590049|XP_002015522.1|DPER
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC6591235|XP_002016681.1|DPER
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
