Orthogroup	CCAP.longest_only	DSUB.longest_only
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB, LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB, LOC117898485|XP_034663813.1|DSUB, LOC117890871|XP_034651851.1|DSUB, LOC117889909|XP_034650326.1|DSUB
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC117893407|XP_034655897.1|DSUB, LOC117893701|XP_034656280.1|DSUB, LOC117893403|XP_034655894.1|DSUB, LOC117892287|XP_034654298.1|DSUB, LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB, LOC117892705|XP_034655010.1|DSUB, LOC117897477|XP_034662229.1|DSUB, LOC117899325|XP_034665150.1|DSUB, LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB, LOC117890046|XP_034650557.1|DSUB, LOC117892618|XP_034654860.1|DSUB, LOC117892700|XP_034655002.1|DSUB, LOC117899298|XP_034665106.1|DSUB, LOC117898533|XP_034663894.1|DSUB, LOC117892569|XP_034654782.1|DSUB, LOC117899299|XP_034665108.1|DSUB, LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB, LOC117896020|XP_034659918.1|DSUB, LOC117901385|XP_034668002.1|DSUB, LOC117892680|XP_034654976.1|DSUB
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB, LOC117897324|XP_034661985.1|DSUB, LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB, LOC117896263|XP_034660345.1|DSUB, LOC117897179|XP_034661768.1|DSUB, LOC117898832|XP_034664390.1|DSUB, LOC117898840|XP_034664406.1|DSUB, LOC117889741|XP_034650055.1|DSUB, LOC117889744|XP_034650074.1|DSUB, LOC117889734|XP_034650048.1|DSUB, LOC117889737|XP_034650052.1|DSUB, LOC117890530|XP_034651341.1|DSUB, LOC117890531|XP_034651342.1|DSUB, LOC117892566|XP_034654779.1|DSUB, LOC117898833|XP_034664391.1|DSUB, LOC117898839|XP_034664405.1|DSUB, LOC117898838|XP_034664404.1|DSUB, LOC117899182|XP_034664933.1|DSUB, LOC117898297|XP_034663459.1|DSUB
OG0000001	CCAP1982_LOCUS9694|CAD7001196.1|CCAP, CCAP1982_LOCUS9894|CAD7001397.1|CCAP, CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP	LOC117902179|XP_034669231.1|DSUB
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC117900215|XP_034666390.1|DSUB
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC117890983|XP_034652023.1|DSUB
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC117890985|XP_034652025.1|DSUB, LOC117890142|XP_034650721.1|DSUB
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC117890988|XP_034652030.1|DSUB
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC117890982|XP_034652022.1|DSUB
