Orthogroup	CCAP.longest_only	BTRY.longest_only
OG0000000	CCAP1982_LOCUS12926|CAD7004529.1|CCAP	LOC120778574|XP_039966372.1|BTRY
OG0000000	CCAP1982_LOCUS21492|CAD7013428.1|CCAP	LOC120770615|XP_039954151.1|BTRY, LOC120770616|XP_039954152.1|BTRY
OG0000000	CCAP1982_LOCUS21491|CAD7013427.1|CCAP	LOC120770614|XP_039954150.1|BTRY, LOC120770613|XP_039954149.1|BTRY
OG0000000	CCAP1982_LOCUS22897|CAD7014934.1|CCAP	LOC120768872|XP_039951561.1|BTRY
OG0000000	CCAP1982_LOCUS22474|CAD7014476.1|CCAP	LOC120769979|XP_039952989.1|BTRY, LOC120772730|XP_039957425.1|BTRY
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP	LOC120778381|XP_039966101.1|BTRY
OG0000000	CCAP1982_LOCUS14781|CAD7006463.1|CCAP	LOC120768794|XP_039951483.1|BTRY, LOC120777014|XP_039964052.1|BTRY, LOC120777646|XP_039965032.1|BTRY
OG0000000	CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC120777544|XP_039964867.1|BTRY
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP	LOC120778869|XP_039966846.1|BTRY, LOC120776483|XP_039963094.1|BTRY, LOC120776612|XP_039963336.1|BTRY, LOC120778368|XP_039966089.1|BTRY
OG0000000	CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC120779297|XP_039967444.1|BTRY, LOC120776451|XP_039963042.1|BTRY, LOC120778377|XP_039966098.1|BTRY
OG0000000	CCAP1982_LOCUS6846|CAD6998236.1|CCAP	LOC120769210|XP_039952036.1|BTRY
OG0000000	CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC120776945|XP_039963962.1|BTRY
OG0000000	CCAP1982_LOCUS21509|CAD7013444.1|CCAP, CCAP1982_LOCUS21510|CAD7013445.1|CCAP	LOC120770621|XP_039954156.1|BTRY
OG0000000	CCAP1982_LOCUS20915|CAD7012815.1|CCAP	LOC120770804|XP_039954316.1|BTRY
