Orthogroup	CCAP.longest_only	DSEC.longest_only
OG0000000	CCAP1982_LOCUS12926|CAD7004529.1|CCAP	LOC116801307|XP_032576000.1|DSEC
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC6605054|XP_032575159.1|DSEC
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC6612593|XP_002037098.2|DSEC, LOC116800509|XP_032571804.1|DSEC, LOC6611330|XP_002035877.1|DSEC, LOC6606995|XP_002031784.1|DSEC, LOC6608865|XP_002033579.1|DSEC
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC6605884|XP_032575999.1|DSEC, LOC6605885|XP_032575997.1|DSEC, LOC116800964|XP_032573791.1|DSEC, LOC116801306|XP_032575998.1|DSEC, LOC6618886|XP_002043134.2|DSEC, LOC6607083|XP_032579519.1|DSEC, LOC6612938|XP_032579196.1|DSEC, LOC6613111|XP_032569894.1|DSEC, LOC6612936|XP_002037428.1|DSEC, LOC6611813|XP_002036335.1|DSEC, LOC6607813|XP_032578052.1|DSEC, LOC6608931|XP_002033645.2|DSEC, LOC6609340|XP_032572102.1|DSEC, LOC116801138|XP_032574830.1|DSEC, LOC116801137|XP_032574827.1|DSEC, LOC6610755|XP_032574828.1|DSEC, LOC6616347|XP_002040707.1|DSEC, LOC116800542|XP_032571951.1|DSEC, LOC116803586|XP_032583371.1|DSEC, LOC116801073|XP_032574487.1|DSEC, LOC6612926|XP_032578042.1|DSEC, LOC6612925|XP_002037417.1|DSEC, LOC6611281|XP_032582965.1|DSEC, LOC116801718|XP_032578762.1|DSEC, LOC6614481|XP_002038914.1|DSEC
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC6609904|XP_032570140.1|DSEC, LOC6609905|XP_032572518.1|DSEC, LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC, LOC6612634|XP_002037138.2|DSEC, LOC6613854|XP_002038323.1|DSEC, LOC6605446|XP_002030279.1|DSEC
OG0000002	CCAP1982_LOCUS4991|CAD6996312.1|CCAP	LOC6619439|XP_032575015.1|DSEC
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC6613615|XP_032570344.1|DSEC
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC6609226|XP_032570279.1|DSEC, LOC6609227|XP_002033918.2|DSEC
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC6617182|XP_002041509.2|DSEC, LOC6609229|XP_032570278.1|DSEC, LOC6607893|XP_002032647.1|DSEC
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC6609221|XP_002033912.1|DSEC
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC6608194|XP_002032939.1|DSEC
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC6613508|XP_002037976.1|DSEC
OG0000007	CCAP1982_LOCUS12642|CAD7004223.1|CCAP, CCAP1982_LOCUS12643|CAD7004224.1|CCAP, CCAP1982_LOCUS12640|CAD7004221.1|CCAP, CCAP1982_LOCUS12641|CAD7004222.1|CCAP	LOC116800972|XP_032573823.1|DSEC
OG0000007	CCAP1982_LOCUS12636|CAD7004217.1|CCAP, CCAP1982_LOCUS12632|CAD7004213.1|CCAP, CCAP1982_LOCUS12633|CAD7004214.1|CCAP, CCAP1982_LOCUS12635|CAD7004216.1|CCAP, CCAP1982_LOCUS12634|CAD7004215.1|CCAP	LOC6613406|XP_032583270.1|DSEC, LOC6608215|XP_032572281.1|DSEC, LOC6612871|XP_002037363.1|DSEC, LOC6612775|XP_032579057.1|DSEC, LOC6613407|XP_032570241.1|DSEC, LOC6604871|XP_002029716.1|DSEC, LOC6604870|XP_002029715.1|DSEC, LOC6613405|XP_032574637.1|DSEC, LOC6610955|XP_032575304.1|DSEC, LOC6610956|XP_002035513.1|DSEC
OG0000008	CCAP1982_LOCUS4930|CAD6996247.1|CCAP	LOC6619063|XP_002043304.1|DSEC
OG0000008	CCAP1982_LOCUS12720|CAD7004300.1|CCAP	LOC6610740|XP_002035306.1|DSEC
OG0000008	CCAP1982_LOCUS12715|CAD7004295.1|CCAP	LOC6610743|XP_002035309.1|DSEC
OG0000008	CCAP1982_LOCUS12718|CAD7004298.1|CCAP	LOC6610741|XP_002035307.2|DSEC
OG0000008	CCAP1982_LOCUS3589|CAD6994854.1|CCAP, CCAP1982_LOCUS3594|CAD6994859.1|CCAP, CCAP1982_LOCUS3591|CAD6994856.1|CCAP, CCAP1982_LOCUS3592|CAD6994857.1|CCAP, CCAP1982_LOCUS3593|CAD6994858.1|CCAP, CCAP1982_LOCUS3590|CAD6994855.1|CCAP	LOC6614150|XP_002038603.2|DSEC, LOC6614151|XP_002038604.1|DSEC, LOC116802445|XP_032582815.1|DSEC
OG0000008	CCAP1982_LOCUS3596|CAD6994861.1|CCAP	LOC6614148|XP_002038601.1|DSEC, LOC116801716|XP_032578753.1|DSEC
OG0000008	CCAP1982_LOCUS3598|CAD6994863.1|CCAP	LOC116801478|XP_032577234.1|DSEC
OG0000008	CCAP1982_LOCUS3595|CAD6994860.1|CCAP	LOC6614149|XP_002038602.2|DSEC
OG0000008	CCAP1982_LOCUS3597|CAD6994862.1|CCAP	LOC116801482|XP_032577264.1|DSEC
OG0000008	CCAP1982_LOCUS3600|CAD6994865.1|CCAP, CCAP1982_LOCUS3599|CAD6994864.1|CCAP	LOC116801721|XP_032578777.1|DSEC
OG0000009	CCAP1982_LOCUS973|CAD6992095.1|CCAP	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC
OG0000009	CCAP1982_LOCUS21179|CAD7013106.1|CCAP	LOC6619043|XP_032582932.1|DSEC, LOC6619041|XP_032576486.1|DSEC
OG0000009	CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP	LOC6618810|XP_002043059.1|DSEC, LOC6606719|XP_002031518.1|DSEC, LOC6608841|XP_002033555.1|DSEC, LOC6608840|XP_002033554.1|DSEC
OG0000010	CCAP1982_LOCUS2041|CAD6993222.1|CCAP	LOC6606375|XP_032579311.1|DSEC
OG0000012	CCAP1982_LOCUS22583|CAD7014589.1|CCAP	LOC6609925|XP_002034575.2|DSEC
OG0000012	CCAP1982_LOCUS22582|CAD7014587.1|CCAP	LOC6609924|XP_002034574.2|DSEC
OG0000012	CCAP1982_LOCUS22581|CAD7014586.1|CCAP	LOC6609923|XP_032571611.1|DSEC
OG0000012	CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP	LOC6609926|XP_002034576.1|DSEC
OG0000012	CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP	LOC6609929|XP_032571342.1|DSEC, LOC6609927|XP_002034577.1|DSEC, LOC6608817|XP_032571423.1|DSEC, LOC6608818|XP_032571424.1|DSEC, LOC6608819|XP_002033533.2|DSEC, LOC6608820|XP_032571616.1|DSEC, LOC6608821|XP_032571618.1|DSEC, LOC6608822|XP_032571615.1|DSEC
OG0000013	CCAP1982_LOCUS7142|CAD6998559.1|CCAP	LOC6609116|XP_002033818.1|DSEC
OG0000013	CCAP1982_LOCUS4900|CAD6996212.1|CCAP	LOC6606301|XP_002031106.1|DSEC
OG0000013	CCAP1982_LOCUS14162|CAD7005816.1|CCAP	LOC6605619|XP_032575697.1|DSEC
OG0000013	CCAP1982_LOCUS3120|CAD6994367.1|CCAP	LOC6606578|XP_002031379.1|DSEC
OG0000013	CCAP1982_LOCUS2756|CAD6993971.1|CCAP	LOC6607674|XP_002032439.2|DSEC
OG0000013	CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC
OG0000014	CCAP1982_LOCUS11944|CAD7003494.1|CCAP	LOC116802439|XP_032582809.1|DSEC, LOC116801620|XP_032578204.1|DSEC, LOC116802440|XP_032582810.1|DSEC, LOC116802438|XP_032582808.1|DSEC, LOC116800565|XP_032572118.1|DSEC, LOC116802202|XP_032581775.1|DSEC
OG0000016	CCAP1982_LOCUS2337|CAD6993525.1|CCAP	LOC6606525|XP_002031326.2|DSEC, LOC6615268|XP_002039673.2|DSEC
OG0000016	CCAP1982_LOCUS4238|CAD6995526.1|CCAP	LOC6606623|XP_002031424.1|DSEC
OG0000016	CCAP1982_LOCUS8417|CAD6999907.1|CCAP	LOC6609492|XP_032572820.1|DSEC
OG0000016	CCAP1982_LOCUS4923|CAD6996239.1|CCAP	LOC6606248|XP_002031056.2|DSEC
OG0000016	CCAP1982_LOCUS22100|CAD7014094.1|CCAP	LOC6616531|XP_002040890.1|DSEC
OG0000017	CCAP1982_LOCUS887|CAD6992001.1|CCAP, CCAP1982_LOCUS5151|CAD6996482.1|CCAP, CCAP1982_LOCUS5152|CAD6996483.1|CCAP, CCAP1982_LOCUS1600|CAD6992760.1|CCAP, CCAP1982_LOCUS1623|CAD6992784.1|CCAP, CCAP1982_LOCUS2262|CAD6993449.1|CCAP	LOC6608076|XP_002032824.1|DSEC, LOC6619131|XP_002043371.1|DSEC
OG0000018	CCAP1982_LOCUS12552|CAD7004131.1|CCAP	LOC6610980|XP_002035537.1|DSEC
OG0000018	CCAP1982_LOCUS12546|CAD7004125.1|CCAP	LOC6610983|XP_002035540.1|DSEC
