Orthogroup	AALB.longest_only	DALB.longest_only
OG0000002	LOC118468694|XP_035795703.1|AALB, LOC118459237|XP_035778328.1|AALB, LOC118458182|XP_035776303.1|AALB, LOC118459508|XP_035778839.1|AALB, LOC118456268|XP_035772761.1|AALB, LOC118457654|XP_035775290.1|AALB, LOC118459238|XP_035778329.1|AALB, LOC118464692|XP_035788106.1|AALB, LOC118456323|XP_035772865.1|AALB, LOC118458617|XP_035777193.1|AALB, LOC118458644|XP_035777227.1|AALB, LOC118461733|XP_035783317.1|AALB, LOC118458183|XP_035776304.1|AALB, LOC118456824|XP_035773811.1|AALB, LOC118457023|XP_035774151.1|AALB, LOC118468355|XP_035795007.1|AALB, LOC118468356|XP_035795008.1|AALB, LOC118468357|XP_035795009.1|AALB, LOC118460283|XP_035780363.1|AALB, LOC118460284|XP_035780364.1|AALB, LOC118468351|XP_035795004.1|AALB, LOC118469072|XP_035796446.1|AALB, LOC118468749|XP_035795803.1|AALB, LOC118458922|XP_035777780.1|AALB, LOC118458008|XP_035775997.1|AALB, LOC118468353|XP_035795006.1|AALB, LOC118456235|XP_035772713.1|AALB, LOC118465266|XP_035789187.1|AALB, LOC118457044|XP_035774185.1|AALB, LOC118458856|XP_035777671.1|AALB, LOC118456430|XP_035773079.1|AALB, LOC118468507|XP_035795235.1|AALB, LOC118458857|XP_035777672.1|AALB, LOC118469029|XP_035796369.1|AALB, LOC118468365|XP_035795017.1|AALB, LOC118461873|XP_035783598.1|AALB, LOC118457751|XP_035775460.1|AALB, LOC118468382|XP_035795035.1|AALB, LOC118456529|XP_035773265.1|AALB, LOC118456164|XP_035772583.1|AALB, LOC118456192|XP_035772645.1|AALB, LOC118458235|XP_035776397.1|AALB, LOC118459223|XP_035778298.1|AALB, LOC118456846|XP_035773835.1|AALB, LOC118458234|XP_035776396.1|AALB, LOC118457157|XP_035774376.1|AALB, LOC118457285|XP_035774639.1|AALB, LOC118457478|XP_035774995.1|AALB, LOC118457030|XP_035774156.1|AALB, LOC118459170|XP_035778205.1|AALB, LOC118461972|XP_035783782.1|AALB, LOC118456933|XP_035773971.1|AALB, LOC118460861|XP_035781470.1|AALB, LOC118469051|XP_035796410.1|AALB	LOC117565641|XP_034100743.1|DALB
OG0000002	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC117564287|XP_034098877.1|DALB, LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC117574613|XP_034114391.1|DALB
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC117570995|XP_034108835.1|DALB
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC117565304|XP_034100233.1|DALB
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC117571003|XP_034108844.1|DALB
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC117574725|XP_034114546.1|DALB, LOC117576401|XP_034117006.1|DALB, LOC117573612|XP_034112801.1|DALB, LOC117574363|XP_034114087.1|DALB, LOC117576404|XP_034117010.1|DALB, LOC117576402|XP_034117007.1|DALB, LOC117576403|XP_034117008.1|DALB, LOC117573339|XP_034112340.1|DALB, LOC117563434|XP_034097659.1|DALB, LOC117563435|XP_034097660.1|DALB, LOC117565287|XP_034100206.1|DALB, LOC117568811|XP_034105563.1|DALB, LOC117569480|XP_034106540.1|DALB, LOC117568587|XP_034105214.1|DALB, LOC117566724|XP_034102158.1|DALB, LOC117566719|XP_034102155.1|DALB, LOC117568670|XP_034105365.1|DALB, LOC117570560|XP_034108181.1|DALB, LOC117571597|XP_034109704.1|DALB, LOC117571595|XP_034109702.1|DALB, LOC117572671|XP_034111579.1|DALB, LOC117565994|XP_034101304.1|DALB
OG0000010	LOC118465135|XP_035788966.1|AALB	LOC117564301|XP_034098889.1|DALB
OG0000010	LOC118464059|XP_035786999.1|AALB	LOC117564299|XP_034098888.1|DALB
OG0000012	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB	LOC117568055|XP_034104297.1|DALB, LOC117571286|XP_034109243.1|DALB, LOC117571761|XP_034110009.1|DALB, LOC117569585|XP_034106704.1|DALB, LOC117568054|XP_034104292.1|DALB, LOC117566746|XP_034102180.1|DALB, LOC117569531|XP_034106625.1|DALB, LOC117571233|XP_034109174.1|DALB, LOC117571638|XP_034109755.1|DALB, LOC117571567|XP_034109667.1|DALB, LOC117566482|XP_034101905.1|DALB, LOC117572244|XP_034110821.1|DALB, LOC117572245|XP_034110822.1|DALB, LOC117568980|XP_034105834.1|DALB, LOC117569102|XP_034106011.1|DALB, LOC117566483|XP_034101906.1|DALB, LOC117572246|XP_034110823.1|DALB, LOC117572247|XP_034110824.1|DALB, LOC117571464|XP_034109506.1|DALB, LOC117571184|XP_034109105.1|DALB, LOC117568519|XP_034105112.1|DALB
OG0000013	LOC118467742|XP_035794443.1|AALB	LOC117571859|XP_034110145.1|DALB
OG0000013	LOC118460642|XP_035780995.1|AALB	LOC117563213|XP_034097295.1|DALB
OG0000013	LOC118461072|XP_035781858.1|AALB	LOC117576138|XP_034116595.1|DALB
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC117568434|XP_034104988.1|DALB
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC117574170|XP_034113754.1|DALB, LOC117574174|XP_034113755.1|DALB
OG0000014	LOC118456248|XP_035772743.1|AALB, LOC118458874|XP_035777754.1|AALB	LOC117571584|XP_034109691.1|DALB
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC117573987|XP_034113425.1|DALB, LOC117567642|XP_034103639.1|DALB
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC117574647|XP_034114439.1|DALB
OG0000016	LOC118460360|XP_035780540.1|AALB	LOC117576743|XP_034117709.1|DALB
OG0000016	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB	LOC117568261|XP_034104638.1|DALB
OG0000020	LOC118461362|XP_035782490.1|AALB	LOC117576477|XP_034117138.1|DALB, LOC117568572|XP_034105192.1|DALB
OG0000020	LOC118467629|XP_035794243.1|AALB	LOC117565600|XP_034100691.1|DALB, LOC117576162|XP_034116628.1|DALB, LOC117576471|XP_034117133.1|DALB, LOC117576474|XP_034117135.1|DALB, LOC117576472|XP_034117134.1|DALB, LOC117565601|XP_034100693.1|DALB
OG0000021	LOC118468558|XP_035795352.1|AALB	LOC117573953|XP_034113413.1|DALB
OG0000021	LOC118467519|XP_035793970.1|AALB	LOC117574572|XP_034114338.1|DALB, LOC117576017|XP_034116416.1|DALB, LOC117575314|XP_034115363.1|DALB
OG0000022	LOC118466446|XP_035791660.1|AALB	LOC117569951|XP_034107204.1|DALB, LOC117567521|XP_034103458.1|DALB, LOC117567527|XP_034103463.1|DALB, LOC117567523|XP_034103460.1|DALB, LOC117567528|XP_034103465.1|DALB, LOC117567522|XP_034103459.1|DALB, LOC117567526|XP_034103462.1|DALB, LOC117567530|XP_034103467.1|DALB, LOC117567529|XP_034103466.1|DALB, LOC117567525|XP_034103461.1|DALB, LOC117569847|XP_034107067.1|DALB
OG0000023	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB	LOC117576456|XP_034117119.1|DALB, LOC117565137|XP_034099998.1|DALB, LOC117568013|XP_034104228.1|DALB, LOC117576452|XP_034117114.1|DALB, LOC117576453|XP_034117115.1|DALB, LOC117576454|XP_034117117.1|DALB, LOC117576455|XP_034117118.1|DALB, LOC117576451|XP_034117113.1|DALB, LOC117576915|XP_034117947.1|DALB
OG0000024	LOC118462632|XP_035784369.1|AALB	LOC117569379|XP_034106401.1|DALB, LOC117569378|XP_034106400.1|DALB, LOC117569377|XP_034106399.1|DALB, LOC117569381|XP_034106402.1|DALB, LOC117566757|XP_034102189.1|DALB, LOC117569374|XP_034106395.1|DALB, LOC117575969|XP_034116339.1|DALB, LOC117569376|XP_034106397.1|DALB, LOC117566756|XP_034102188.1|DALB, LOC117571483|XP_034109539.1|DALB
OG0000025	LOC118461108|XP_035781919.1|AALB	LOC117563274|XP_034097393.1|DALB, LOC117563275|XP_034097395.1|DALB, LOC117570342|XP_034107792.1|DALB
OG0000025	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB	LOC117566085|XP_034101455.1|DALB
OG0000026	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB	LOC117577677|XP_034118462.1|DALB, LOC117575842|XP_034116143.1|DALB, LOC117574329|XP_034114029.1|DALB, LOC117575260|XP_034115286.1|DALB, LOC117577711|XP_034118506.1|DALB, LOC117573365|XP_034112385.1|DALB
OG0000027	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB	LOC117566241|XP_034101678.1|DALB, LOC117564244|XP_034098829.1|DALB, LOC117565445|XP_034100427.1|DALB
OG0000028	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB	LOC117568836|XP_034105602.1|DALB, LOC117568837|XP_034105603.1|DALB, LOC117568843|XP_034105610.1|DALB, LOC117566512|XP_034101943.1|DALB, LOC117568838|XP_034105604.1|DALB, LOC117568840|XP_034105607.1|DALB, LOC117568839|XP_034105606.1|DALB, LOC117568844|XP_034105611.1|DALB, LOC117568834|XP_034105601.1|DALB, LOC117568841|XP_034105608.1|DALB, LOC117568833|XP_034105600.1|DALB, LOC117568842|XP_034105609.1|DALB, LOC117568831|XP_034105597.1|DALB, LOC117568832|XP_034105599.1|DALB, LOC117566511|XP_034101942.1|DALB
OG0000029	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB	LOC117566595|XP_034102028.1|DALB, LOC117564897|XP_034099738.1|DALB, LOC117569056|XP_034105958.1|DALB
OG0000031	LOC118467279|XP_035793475.1|AALB	LOC117565254|XP_034100159.1|DALB, LOC117563835|XP_034098255.1|DALB
OG0000032	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB	LOC117574198|XP_034113792.1|DALB, LOC117574485|XP_034114214.1|DALB, LOC117574732|XP_034114553.1|DALB, LOC117576186|XP_034116667.1|DALB, LOC117574232|XP_034113833.1|DALB, LOC117576103|XP_034116551.1|DALB, LOC117573408|XP_034112501.1|DALB, LOC117576000|XP_034116394.1|DALB, LOC117574625|XP_034114406.1|DALB, LOC117574492|XP_034114220.1|DALB, LOC117576044|XP_034116461.1|DALB, LOC117576045|XP_034116462.1|DALB, LOC117575800|XP_034116069.1|DALB, LOC117563890|XP_034098342.1|DALB, LOC117574252|XP_034113872.1|DALB, LOC117575999|XP_034116393.1|DALB, LOC117575892|XP_034116224.1|DALB
OG0000034	LOC118466655|XP_035792144.1|AALB, LOC118463234|XP_035785585.1|AALB	LOC117565378|XP_034100343.1|DALB, LOC117563634|XP_034097932.1|DALB, LOC117563633|XP_034097931.1|DALB, LOC117563636|XP_034097933.1|DALB, LOC117563632|XP_034097930.1|DALB, LOC117563748|XP_034098120.1|DALB, LOC117563746|XP_034098117.1|DALB, LOC117563747|XP_034098119.1|DALB, LOC117563744|XP_034098115.1|DALB, LOC117563749|XP_034098121.1|DALB, LOC117564745|XP_034099525.1|DALB, LOC117564746|XP_034099526.1|DALB, LOC117564743|XP_034099524.1|DALB
OG0000036	LOC118456800|XP_035773779.1|AALB, LOC118456801|XP_035773781.1|AALB, LOC118456802|XP_035773782.1|AALB	LOC117575319|XP_034115366.1|DALB
OG0000036	LOC118457097|XP_035774277.1|AALB	LOC117574531|XP_034114284.1|DALB
OG0000036	LOC118460050|XP_035779920.1|AALB, LOC118459729|XP_035779295.1|AALB, LOC118468930|XP_035796146.1|AALB, LOC118465413|XP_035789528.1|AALB	LOC117565385|XP_034100358.1|DALB
OG0000037	LOC118457559|XP_035775124.1|AALB, LOC118457562|XP_035775128.1|AALB, LOC118457561|XP_035775127.1|AALB, LOC118457560|XP_035775126.1|AALB	LOC117568663|XP_034105356.1|DALB, LOC117575741|XP_034115985.1|DALB, LOC117573867|XP_034113235.1|DALB, LOC117575410|XP_034115481.1|DALB, LOC117574878|XP_034114799.1|DALB, LOC117569403|XP_034106430.1|DALB
OG0000038	LOC118464582|XP_035787918.1|AALB	LOC117570082|XP_034107414.1|DALB
OG0000038	LOC118467862|XP_035794660.1|AALB	LOC117570080|XP_034107411.1|DALB
