Orthogroup	AALB.longest_only	DSIM.longest_only
OG0000001	LOC118468339|XP_035794991.1|AALB	LOC120284706|XP_039149044.1|DSIM
OG0000002	LOC118458183|XP_035776304.1|AALB	LOC6738777|XP_016032596.1|DSIM
OG0000002	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB	LOC6731201|XP_002078360.1|DSIM
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC120285260|XP_039152620.1|DSIM, LOC120285545|XP_039154135.1|DSIM, LOC120285803|XP_039154353.1|DSIM
OG0000006	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC27208095|XP_016025859.1|DSIM
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC6736742|XP_002083598.1|DSIM
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC6727419|XP_002102801.1|DSIM, LOC6727422|XP_002102804.2|DSIM, LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM, LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM, LOC6736062|XP_002082963.1|DSIM, LOC6728414|XP_016035007.1|DSIM, LOC6734157|XP_002081186.1|DSIM, LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
OG0000010	LOC118465138|XP_035788969.1|AALB	LOC6740547|XP_039154362.1|DSIM
OG0000010	LOC118464061|XP_035787001.1|AALB	LOC120285280|XP_039152696.1|DSIM
OG0000010	LOC118465135|XP_035788966.1|AALB	LOC120285282|XP_039152699.1|DSIM
OG0000010	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB	LOC6728075|XP_016034694.1|DSIM
OG0000012	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB	LOC6735247|XP_016028572.1|DSIM, LOC6735246|XP_016028570.1|DSIM, LOC6735245|XP_016028569.1|DSIM, LOC6735248|XP_016028574.1|DSIM, LOC6735250|XP_002082223.1|DSIM, LOC6735249|XP_016028575.1|DSIM, LOC6734131|XP_002081160.1|DSIM, LOC6734132|XP_016027145.1|DSIM, LOC6734133|XP_002081162.3|DSIM, LOC6734134|XP_016027146.1|DSIM, LOC6734135|XP_002081164.1|DSIM, LOC6734136|XP_016027147.1|DSIM
OG0000013	LOC118467742|XP_035794443.1|AALB	LOC6734455|XP_002081474.1|DSIM
OG0000013	LOC118460642|XP_035780995.1|AALB	LOC6725717|XP_016038992.1|DSIM
OG0000013	LOC118461072|XP_035781858.1|AALB	LOC6728006|XP_016034604.1|DSIM
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC6737992|XP_016031791.1|DSIM
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC6729335|XP_016035977.1|DSIM, LOC120284969|XP_039150774.1|DSIM, LOC6728340|XP_016022730.2|DSIM, LOC6728451|XP_039151887.1|DSIM, LOC27206470|XP_016035065.1|DSIM
OG0000014	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB	LOC120285345|XP_039153408.1|DSIM, LOC120285375|XP_039153883.1|DSIM
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC6728214|XP_016034853.1|DSIM, LOC6735456|XP_002082396.1|DSIM
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC6728317|XP_002103666.1|DSIM
OG0000016	LOC118460360|XP_035780540.1|AALB	LOC6725225|XP_016038239.1|DSIM
