Orthogroup	AALB.longest_only	DSER.longest_only
OG0000002	LOC118458183|XP_035776304.1|AALB	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC110182161|XP_020805824.1|DSER, LOC110185948|XP_020810624.1|DSER
OG0000006	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC110181334|XP_020804711.1|DSER
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC110183613|XP_020807591.1|DSER
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC110188739|XP_020814232.1|DSER, LOC110188430|XP_020813815.1|DSER, LOC110186309|XP_020811090.1|DSER, LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER, LOC110181065|XP_020804398.1|DSER, LOC110176644|XP_020798730.1|DSER, LOC110178269|XP_020800994.1|DSER, LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER
OG0000010	LOC118465132|XP_035788964.1|AALB, LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB	LOC110182164|XP_020805826.1|DSER
OG0000010	LOC118465135|XP_035788966.1|AALB	LOC110183810|XP_020807821.1|DSER
OG0000010	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB	LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER
