Orthogroup	AALB.longest_only	DHYD.longest_only
OG0000001	LOC118468339|XP_035794991.1|AALB	LOC111593537|XP_030080394.1|DHYD
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC115483274|XP_030080477.1|DHYD, LOC115483251|XP_030080456.1|DHYD, LOC115483279|XP_030080482.1|DHYD
OG0000006	LOC118467848|XP_035794647.1|AALB, LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC115483281|XP_030080484.1|DHYD
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC111598804|XP_023169992.1|DHYD
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC111603756|XP_023177254.2|DHYD
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC111604985|XP_023179049.1|DHYD, LOC111604987|XP_023179051.2|DHYD, LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD, LOC111603540|XP_030079215.1|DHYD, LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD, LOC111593562|XP_023162191.2|DHYD, LOC111593549|XP_023162171.2|DHYD, LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD
OG0000010	LOC118464061|XP_035787001.1|AALB	LOC115483264|XP_030080469.1|DHYD
OG0000010	LOC118465135|XP_035788966.1|AALB	LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD
OG0000010	LOC118464059|XP_035786999.1|AALB	LOC115482881|XP_030078991.1|DHYD
