Orthogroup	AALB.longest_only	DPER.longest_only
OG0000002	LOC118458183|XP_035776304.1|AALB	LOC6595741|XP_026845259.1|DPER
OG0000002	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER, LOC6604168|XP_002029102.2|DPER, LOC113567418|XP_026850957.1|DPER
OG0000006	LOC118465118|XP_035788957.1|AALB	LOC6587306|XP_002013133.1|DPER
OG0000006	LOC118467848|XP_035794647.1|AALB, LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC113567402|XP_026850930.1|DPER
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC6601897|XP_026849381.1|DPER
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC6601898|XP_002026947.1|DPER
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC113566715|XP_026849382.1|DPER
