Orthogroup	AALB.longest_only	DSUP.longest_only
OG0000001	LOC118468339|XP_035794991.1|AALB	LOC119561984|XP_037731306.1|DSUP, LOC119562263|XP_037731367.1|DSUP, LOC119562262|XP_037731366.1|DSUP, LOC119559638|XP_037728615.1|DSUP, LOC119559616|XP_037728581.1|DSUP, LOC119559159|XP_037728155.1|DSUP, LOC119561856|XP_037731264.1|DSUP, LOC119562326|XP_037731412.1|DSUP, LOC119562410|XP_037731533.1|DSUP, LOC119559150|XP_037728149.1|DSUP, LOC119562357|XP_037731447.1|DSUP
OG0000002	LOC118458183|XP_035776304.1|AALB	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000004	LOC118463610|XP_035786183.1|AALB, LOC118465226|XP_035789114.1|AALB, LOC118463579|XP_035786113.1|AALB, LOC118463558|XP_035786086.1|AALB, LOC118463591|XP_035786144.1|AALB, LOC118463589|XP_035786142.1|AALB, LOC118463472|XP_035785954.1|AALB, LOC118463583|XP_035786116.1|AALB, LOC118463474|XP_035785956.1|AALB, LOC118465227|XP_035789115.1|AALB, LOC118462788|XP_035784672.1|AALB, LOC118463093|XP_035785266.1|AALB, LOC118465695|XP_035790016.1|AALB, LOC118467952|XP_035794816.1|AALB, LOC118465367|XP_035789455.1|AALB, LOC118465368|XP_035789456.1|AALB, LOC118463339|XP_035785747.1|AALB, LOC118463355|XP_035785764.1|AALB, LOC118467023|XP_035792868.1|AALB, LOC118463407|XP_035785852.1|AALB, LOC118467022|XP_035792867.1|AALB	LOC119561503|XP_037731081.1|DSUP, LOC119561533|XP_037731112.1|DSUP, LOC119561508|XP_037731087.1|DSUP
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC119559183|XP_037728172.1|DSUP, LOC119559188|XP_037728177.1|DSUP, LOC119559189|XP_037728178.1|DSUP, LOC119559257|XP_037728256.1|DSUP
OG0000006	LOC118467848|XP_035794647.1|AALB, LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC119547943|XP_037710919.1|DSUP
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC119554296|XP_037721084.1|DSUP
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC119560146|XP_037729428.1|DSUP, LOC119560480|XP_037729870.1|DSUP, LOC119545681|XP_037707348.1|DSUP, LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP, LOC119550480|XP_037715097.1|DSUP, LOC119560195|XP_037729489.1|DSUP, LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP, LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP
OG0000010	LOC118464061|XP_035787001.1|AALB	LOC119559220|XP_037728219.1|DSUP
OG0000010	LOC118465135|XP_035788966.1|AALB	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP
