Orthogroup	AALB.longest_only	HILL.longest_only
OG0000001	LOC118468339|XP_035794991.1|AALB	LOC119661654|XP_037927016.1|HILL, LOC119660048|XP_037924354.1|HILL, LOC119647693|XP_037904704.1|HILL
OG0000001	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL
OG0000003	LOC118460891|XP_035781527.1|AALB, LOC118460889|XP_035781525.1|AALB	LOC119652775|XP_037913011.1|HILL
OG0000003	LOC118460890|XP_035781526.1|AALB, LOC118460888|XP_035781524.1|AALB, LOC118464960|XP_035788648.1|AALB	LOC119659352|XP_037923328.1|HILL
OG0000003	LOC118468410|XP_035795067.1|AALB	LOC119650643|XP_037909500.1|HILL
OG0000003	LOC118457008|XP_035774126.1|AALB, LOC118457116|XP_035774311.1|AALB, LOC118457004|XP_035774122.1|AALB, LOC118457009|XP_035774130.1|AALB	LOC119646885|XP_037903446.1|HILL, LOC119646723|XP_037903233.1|HILL, LOC119660833|XP_037925635.1|HILL, LOC119646759|XP_037903266.1|HILL, LOC119646698|XP_037903192.1|HILL, LOC119646557|XP_037902962.1|HILL, LOC119661111|XP_037926234.1|HILL, LOC119646760|XP_037903267.1|HILL, LOC119646334|XP_037902688.1|HILL, LOC119661489|XP_037926782.1|HILL, LOC119661229|XP_037926382.1|HILL, LOC119646530|XP_037902923.1|HILL, LOC119646755|XP_037903262.1|HILL, LOC119646754|XP_037903261.1|HILL, LOC119651369|XP_037910874.1|HILL, LOC119647078|XP_037903763.1|HILL, LOC119646756|XP_037903263.1|HILL, LOC119646752|XP_037903258.1|HILL, LOC119646529|XP_037902921.1|HILL, LOC119646751|XP_037903257.1|HILL, LOC119647124|XP_037903838.1|HILL, LOC119646420|XP_037902794.1|HILL, LOC119646733|XP_037903242.1|HILL, LOC119646750|XP_037903256.1|HILL, LOC119661403|XP_037926660.1|HILL, LOC119646757|XP_037903265.1|HILL, LOC119646850|XP_037903399.1|HILL, LOC119646628|XP_037903064.1|HILL, LOC119661009|XP_037926085.1|HILL, LOC119661683|XP_037927054.1|HILL, LOC119646442|XP_037902820.1|HILL, LOC119646753|XP_037903264.1|HILL
OG0000004	LOC118463610|XP_035786183.1|AALB, LOC118465226|XP_035789114.1|AALB, LOC118463579|XP_035786113.1|AALB, LOC118463558|XP_035786086.1|AALB, LOC118463591|XP_035786144.1|AALB, LOC118463589|XP_035786142.1|AALB, LOC118463472|XP_035785954.1|AALB, LOC118463583|XP_035786116.1|AALB, LOC118463474|XP_035785956.1|AALB, LOC118465227|XP_035789115.1|AALB, LOC118462788|XP_035784672.1|AALB, LOC118463093|XP_035785266.1|AALB, LOC118465695|XP_035790016.1|AALB, LOC118467952|XP_035794816.1|AALB, LOC118465367|XP_035789455.1|AALB, LOC118465368|XP_035789456.1|AALB, LOC118463339|XP_035785747.1|AALB, LOC118463355|XP_035785764.1|AALB, LOC118467023|XP_035792868.1|AALB, LOC118463407|XP_035785852.1|AALB, LOC118467022|XP_035792867.1|AALB	LOC119648056|XP_037905449.1|HILL
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC119655070|XP_037916694.1|HILL, LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC119660223|XP_037924589.1|HILL
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC119649590|XP_037907727.1|HILL
