Orthogroup	AALB.longest_only	DANA.longest_only
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC6498692|XP_001967675.1|DANA, LOC116655429|XP_032309218.1|DANA, LOC116656005|XP_032310965.1|DANA, LOC6504886|XP_001964818.1|DANA
OG0000006	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC6506066|XP_032309425.1|DANA
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC6506512|XP_001957740.2|DANA
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC6500401|XP_001953140.1|DANA, LOC6500399|XP_001953138.1|DANA, LOC6500144|XP_001953137.1|DANA, LOC6500400|XP_001953139.2|DANA, LOC6506633|XP_001957500.1|DANA, LOC6494113|XP_001960938.1|DANA, LOC6500524|XP_001953390.1|DANA, LOC6494922|XP_001959416.1|DANA, LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA, LOC6494924|XP_001959414.1|DANA
OG0000010	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB	LOC6500231|XP_001952977.1|DANA
OG0000010	LOC118465135|XP_035788966.1|AALB	LOC116656007|XP_032310968.1|DANA
