Orthogroup	AALB.longest_only	DMEL.longest_only
OG0000002	LOC118458183|XP_035776304.1|AALB	CG7668|NP_649170.1|DMEL
OG0000002	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB	CG9500|NP_609018.3|DMEL
OG0000006	LOC118465125|XP_035788959.1|AALB	His2A_CG33850|NP_001027361.1|DMEL, His2A_CG31618|NP_724343.1|DMEL, His2A_CG33847|NP_001027356.1|DMEL
OG0000006	LOC118465118|XP_035788957.1|AALB	His2A_CG33814|NP_001027301.1|DMEL
OG0000006	LOC118465084|XP_035788881.1|AALB	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000008	LOC118461568|XP_035782948.1|AALB	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC118460618|XP_035780957.1|AALB	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC118459424|XP_035778662.1|AALB	Crys|NP_476906.1|DMEL
OG0000008	LOC118460626|XP_035780968.1|AALB	Cpr64Ab|NP_647873.2|DMEL
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	CG11453|NP_650832.1|DMEL, CG11391|NP_650830.1|DMEL, CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL, CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL, CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL
OG0000010	LOC118464061|XP_035787001.1|AALB	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL
OG0000010	LOC118467569|XP_035794089.1|AALB	His4_CG33887|NP_001027337.1|DMEL
OG0000010	LOC118465135|XP_035788966.1|AALB	His4_CG33885|NP_001027342.1|DMEL
OG0000010	LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB	His4_CG33883|NP_001027347.1|DMEL
