Orthogroup	AALB.longest_only	CCAP.longest_only
OG0000001	LOC118468339|XP_035794991.1|AALB	CCAP1982_LOCUS10053|CAD7001559.1|CCAP, CCAP1982_LOCUS9335|CAD7000861.1|CCAP, CCAP1982_LOCUS10394|CAD7001907.1|CCAP, CCAP1982_LOCUS19569|CAD7011469.1|CCAP, CCAP1982_LOCUS10233|CAD7001743.1|CCAP, CCAP1982_LOCUS10606|CAD7002118.1|CCAP, CCAP1982_LOCUS9920|CAD7001423.1|CCAP, CCAP1982_LOCUS10362|CAD7001875.1|CCAP
OG0000001	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB	CCAP1982_LOCUS9694|CAD7001196.1|CCAP, CCAP1982_LOCUS9894|CAD7001397.1|CCAP, CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP
OG0000002	LOC118458183|XP_035776304.1|AALB	CCAP1982_LOCUS4991|CAD6996312.1|CCAP
OG0000002	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB	CCAP1982_LOCUS1975|CAD6993149.1|CCAP
OG0000006	LOC118465125|XP_035788959.1|AALB	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP
OG0000006	LOC118467848|XP_035794647.1|AALB, LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	CCAP1982_LOCUS6252|CAD6997616.1|CCAP
OG0000008	LOC118461568|XP_035782948.1|AALB	CCAP1982_LOCUS4930|CAD6996247.1|CCAP
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	CCAP1982_LOCUS12720|CAD7004300.1|CCAP
OG0000008	LOC118460618|XP_035780957.1|AALB	CCAP1982_LOCUS12715|CAD7004295.1|CCAP
OG0000008	LOC118460626|XP_035780968.1|AALB	CCAP1982_LOCUS12718|CAD7004298.1|CCAP
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	CCAP1982_LOCUS973|CAD6992095.1|CCAP, CCAP1982_LOCUS21179|CAD7013106.1|CCAP, CCAP1982_LOCUS21178|CAD7013105.1|CCAP, CCAP1982_LOCUS21180|CAD7013107.1|CCAP, CCAP1982_LOCUS21184|CAD7013111.1|CCAP
OG0000010	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB	CCAP1982_LOCUS6246|CAD6997610.1|CCAP
OG0000010	LOC118465135|XP_035788966.1|AALB	CCAP1982_LOCUS6235|CAD6997599.1|CCAP
OG0000010	LOC118464059|XP_035786999.1|AALB	CCAP1982_LOCUS2041|CAD6993222.1|CCAP
OG0000012	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB	CCAP1982_LOCUS22583|CAD7014589.1|CCAP, CCAP1982_LOCUS22582|CAD7014587.1|CCAP, CCAP1982_LOCUS22581|CAD7014586.1|CCAP, CCAP1982_LOCUS22585|CAD7014591.1|CCAP, CCAP1982_LOCUS22590|CAD7014596.1|CCAP, CCAP1982_LOCUS22584|CAD7014590.1|CCAP, CCAP1982_LOCUS22586|CAD7014592.1|CCAP, CCAP1982_LOCUS22591|CAD7014597.1|CCAP
OG0000013	LOC118467742|XP_035794443.1|AALB	CCAP1982_LOCUS7142|CAD6998559.1|CCAP
OG0000013	LOC118461072|XP_035781858.1|AALB	CCAP1982_LOCUS4900|CAD6996212.1|CCAP
OG0000013	LOC118467364|XP_035793659.1|AALB	CCAP1982_LOCUS14162|CAD7005816.1|CCAP
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	CCAP1982_LOCUS2756|CAD6993971.1|CCAP, CCAP1982_LOCUS8036|CAD6999511.1|CCAP, CCAP1982_LOCUS8037|CAD6999512.1|CCAP, CCAP1982_LOCUS8038|CAD6999513.1|CCAP, CCAP1982_LOCUS8039|CAD6999514.1|CCAP
OG0000014	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB	CCAP1982_LOCUS11944|CAD7003494.1|CCAP
OG0000014	LOC118462714|XP_035784546.1|AALB	CCAP1982_LOCUS10503|CAD7002015.1|CCAP, CCAP1982_LOCUS6284|CAD6997653.1|CCAP, CCAP1982_LOCUS10032|CAD7001536.1|CCAP, CCAP1982_LOCUS8024|CAD6999500.1|CCAP, CCAP1982_LOCUS9769|CAD7001271.1|CCAP, CCAP1982_LOCUS9400|CAD7000925.1|CCAP, CCAP1982_LOCUS10108|CAD7001614.1|CCAP
OG0000016	LOC118468980|XP_035796264.1|AALB	CCAP1982_LOCUS2337|CAD6993525.1|CCAP
OG0000016	LOC118460590|XP_035780903.1|AALB	CCAP1982_LOCUS4238|CAD6995526.1|CCAP
OG0000016	LOC118464140|XP_035787136.1|AALB	CCAP1982_LOCUS22100|CAD7014094.1|CCAP
OG0000018	LOC118463128|XP_035785378.1|AALB	CCAP1982_LOCUS12552|CAD7004131.1|CCAP
OG0000019	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB	CCAP1982_LOCUS3032|CAD6994271.1|CCAP, CCAP1982_LOCUS3435|CAD6994700.1|CCAP, CCAP1982_LOCUS3434|CAD6994699.1|CCAP, CCAP1982_LOCUS6466|CAD6997842.1|CCAP, CCAP1982_LOCUS6464|CAD6997840.1|CCAP, CCAP1982_LOCUS6465|CAD6997841.1|CCAP
OG0000020	LOC118461362|XP_035782490.1|AALB	CCAP1982_LOCUS1146|CAD6992278.1|CCAP
OG0000020	LOC118467629|XP_035794243.1|AALB	CCAP1982_LOCUS1002|CAD6992120.1|CCAP, CCAP1982_LOCUS998|CAD6992114.1|CCAP, CCAP1982_LOCUS1001|CAD6992117.1|CCAP, CCAP1982_LOCUS999|CAD6992115.1|CCAP
