Orthogroup	AALB.longest_only	ASTE.longest_only
OG0000001	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB	LOC118508413|XP_035904112.1|ASTE, LOC118510932|XP_035909246.1|ASTE
OG0000002	LOC118468694|XP_035795703.1|AALB, LOC118459237|XP_035778328.1|AALB, LOC118458182|XP_035776303.1|AALB, LOC118459508|XP_035778839.1|AALB, LOC118456268|XP_035772761.1|AALB, LOC118457654|XP_035775290.1|AALB, LOC118459238|XP_035778329.1|AALB, LOC118464692|XP_035788106.1|AALB, LOC118456323|XP_035772865.1|AALB, LOC118458617|XP_035777193.1|AALB, LOC118458644|XP_035777227.1|AALB, LOC118461733|XP_035783317.1|AALB	LOC118514602|XP_035917491.1|ASTE, LOC118514191|XP_035916773.1|ASTE, LOC118506037|XP_035898561.1|ASTE, LOC118503868|XP_035893499.1|ASTE
OG0000002	LOC118465266|XP_035789187.1|AALB	LOC118508220|XP_035903701.1|ASTE
OG0000002	LOC118457044|XP_035774185.1|AALB, LOC118458856|XP_035777671.1|AALB, LOC118456430|XP_035773079.1|AALB, LOC118468507|XP_035795235.1|AALB, LOC118458857|XP_035777672.1|AALB	LOC118508185|XP_035903637.1|ASTE
OG0000002	LOC118464239|XP_035787322.1|AALB	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE
OG0000002	LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB	LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE
OG0000002	LOC118464651|XP_035788010.1|AALB	LOC118511460|XP_035910455.1|ASTE
OG0000002	LOC118464903|XP_035788558.1|AALB	LOC118509013|XP_035904926.1|ASTE
OG0000002	LOC118462019|XP_035783868.1|AALB	LOC118509867|XP_035906983.1|ASTE
OG0000003	LOC118460889|XP_035781525.1|AALB	LOC118510054|XP_035907336.1|ASTE, LOC118517143|XP_035918894.1|ASTE
OG0000003	LOC118460897|XP_035781532.1|AALB	LOC118513635|XP_035915594.1|ASTE, LOC118517142|XP_035918893.1|ASTE
OG0000003	LOC118460890|XP_035781526.1|AALB	LOC118513634|XP_035915592.1|ASTE
OG0000003	LOC118464960|XP_035788648.1|AALB	LOC118503800|XP_035893388.1|ASTE
OG0000003	LOC118460892|XP_035781528.1|AALB	LOC118513637|XP_035915596.1|ASTE, LOC118517132|XP_035918884.1|ASTE
OG0000003	LOC118460896|XP_035781530.1|AALB	LOC118513636|XP_035915595.1|ASTE, LOC118517131|XP_035918883.1|ASTE
OG0000003	LOC118460894|XP_035781529.1|AALB	LOC118513639|XP_035915598.1|ASTE, LOC118517134|XP_035918886.1|ASTE
OG0000003	LOC118460887|XP_035781523.1|AALB	LOC118517135|XP_035918887.1|ASTE, LOC118513640|XP_035915599.1|ASTE, LOC118517138|XP_035918888.1|ASTE, LOC118513642|XP_035915602.1|ASTE, LOC118513641|XP_035915600.1|ASTE
OG0000003	LOC118468410|XP_035795067.1|AALB	LOC118517145|XP_035918898.1|ASTE, LOC118513633|XP_035915591.1|ASTE, LOC118513638|XP_035915597.1|ASTE, LOC118517133|XP_035918885.1|ASTE
OG0000003	LOC118457008|XP_035774126.1|AALB	LOC118504406|XP_035894732.1|ASTE, LOC118504410|XP_035894735.1|ASTE, LOC118504409|XP_035894734.1|ASTE
