Orthogroup	AALB.longest_only	DSUB.longest_only
OG0000001	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB	LOC117902179|XP_034669231.1|DSUB
OG0000002	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC117901441|XP_034668075.1|DSUB
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC117895169|XP_034658523.1|DSUB
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC117895171|XP_034658525.1|DSUB
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC117896628|XP_034660961.1|DSUB, LOC117898287|XP_034663434.1|DSUB, LOC117899151|XP_034664850.1|DSUB, LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB, LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB, LOC117890282|XP_034650935.1|DSUB, LOC117896426|XP_034660636.1|DSUB, LOC117892376|XP_034654476.1|DSUB, LOC117892374|XP_034654475.1|DSUB
OG0000010	LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB	LOC117899454|XP_034665355.1|DSUB
OG0000011	LOC118459877|XP_035779560.1|AALB	LOC117900245|XP_034666432.1|DSUB
OG0000012	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB	LOC117892204|XP_034654190.1|DSUB, LOC117892205|XP_034654193.1|DSUB, LOC117892198|XP_034654182.1|DSUB, LOC117892199|XP_034654185.1|DSUB, LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB, LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB, LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB
OG0000013	LOC118467742|XP_035794443.1|AALB	LOC117890717|XP_034651649.1|DSUB
OG0000013	LOC118460642|XP_035780995.1|AALB	LOC117896187|XP_034660170.1|DSUB
OG0000013	LOC118461072|XP_035781858.1|AALB	LOC117896516|XP_034660775.1|DSUB
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC117895334|XP_034658799.1|DSUB
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB, LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC117899529|XP_034665488.1|DSUB, LOC117889984|XP_034650458.1|DSUB
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC117898309|XP_034663475.1|DSUB
OG0000016	LOC118460360|XP_035780540.1|AALB	LOC117903845|XP_034672195.1|DSUB
