Orthogroup	DBUS.longest_only	DSUB.longest_only
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC108604182|XP_017849014.1|DBUS	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC108601273|XP_017844662.1|DBUS	LOC117897324|XP_034661985.1|DSUB
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC117900215|XP_034666390.1|DSUB
OG0000002	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS	LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC117900241|XP_034666421.1|DSUB
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC108601547|XP_017844934.2|DBUS, LOC108602371|XP_017845962.1|DBUS	LOC117898635|XP_034664088.1|DSUB
OG0000008	LOC108604418|XP_033150077.1|DBUS	LOC117898631|XP_034664083.1|DSUB
OG0000008	LOC108602531|XP_017846153.1|DBUS	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC117898636|XP_034664090.1|DSUB
