Orthogroup	DBUS.longest_only	DVIR.longest_only
OG0000000	LOC117134726|XP_033149242.1|DBUS	LOC6636425|XP_032292006.1|DVIR
OG0000000	LOC108598118|XP_017840224.1|DBUS	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC108604182|XP_017849014.1|DBUS, LOC108601273|XP_017844662.1|DBUS	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC108594727|XP_017835355.1|DBUS	LOC6630220|XP_002054794.2|DVIR
OG0000001	LOC108603731|XP_033150745.1|DBUS	LOC116650112|XP_032289334.1|DVIR
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC108594750|XP_017835378.1|DBUS	LOC6625606|XP_002049101.2|DVIR, LOC26531234|XP_015030301.1|DVIR, LOC26531370|XP_015030317.1|DVIR, LOC26530966|XP_015030266.1|DVIR, LOC26531544|XP_015030345.1|DVIR, LOC116651265|XP_032293187.1|DVIR
OG0000002	LOC108601753|XP_017845169.2|DBUS	LOC26531429|XP_015025398.1|DVIR, LOC116649881|XP_032289027.1|DVIR, LOC6634067|XP_002057869.2|DVIR
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC6626597|XP_002049033.2|DVIR
OG0000002	LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS	LOC6628707|XP_002051325.3|DVIR
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC108595075|XP_017835712.2|DBUS	LOC6625082|XP_002050483.2|DVIR
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC6625465|XP_032292893.1|DVIR
OG0000003	LOC108595008|XP_017835631.1|DBUS	LOC6624735|XP_002049738.1|DVIR
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC6627946|XP_002051419.1|DVIR
OG0000004	LOC117134690|XP_033149085.1|DBUS	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR
OG0000007	LOC108598463|XP_017840596.2|DBUS	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC108595911|XP_017836691.1|DBUS	LOC6625661|XP_002050782.1|DVIR
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC6629514|XP_002054585.2|DVIR
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC6622211|XP_002046327.1|DVIR
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC6627554|XP_002052288.1|DVIR
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC6631289|XP_002053528.2|DVIR
OG0000008	LOC108604418|XP_033150077.1|DBUS	LOC6631285|XP_002053524.1|DVIR
OG0000008	LOC108602531|XP_017846153.1|DBUS	LOC6631288|XP_002053527.1|DVIR
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC6631290|XP_002053529.1|DVIR
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC6632445|XP_002056511.1|DVIR
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC6632323|XP_002056506.1|DVIR
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR
OG0000009	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS	LOC6635767|XP_032294717.1|DVIR
OG0000009	LOC108595579|XP_017836330.1|DBUS	LOC6626762|XP_032292470.1|DVIR
OG0000009	LOC108595290|XP_017835992.1|DBUS, LOC108595467|XP_017836201.1|DBUS	LOC6626544|XP_002050754.1|DVIR, LOC6626543|XP_032292517.1|DVIR
OG0000009	LOC108595103|XP_017835752.1|DBUS	LOC6626542|XP_002050752.1|DVIR
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC116649833|XP_032288875.1|DVIR, LOC6630085|XP_002053095.1|DVIR, LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR
