Orthogroup	DBUS.longest_only	DBIA.longest_only
OG0000000	LOC108598118|XP_017840224.1|DBUS	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA, LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC108604182|XP_017849014.1|DBUS	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA, LOC108022120|XP_016946450.1|DBIA
OG0000000	LOC108601273|XP_017844662.1|DBUS	LOC108024473|XP_016949882.1|DBIA
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC108599003|XP_033149617.1|DBUS	LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC108027710|XP_016954748.1|DBIA, LOC108033431|XP_016963245.1|DBIA, LOC108027704|XP_016954743.1|DBIA, LOC108029019|XP_016956553.1|DBIA, LOC108029040|XP_016956580.1|DBIA
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC108030370|XP_016958727.1|DBIA, LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC108031495|XP_016960477.1|DBIA, LOC108029347|XP_016957028.1|DBIA, LOC108029367|XP_016957083.1|DBIA
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC108034204|XP_016964524.1|DBIA
OG0000007	LOC108598463|XP_017840596.2|DBUS	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	LOC108028547|XP_016955936.1|DBIA, LOC108028548|XP_016955937.1|DBIA, LOC108028068|XP_016955198.1|DBIA, LOC108028546|XP_016955935.1|DBIA, LOC108027995|XP_016955111.1|DBIA
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA, LOC108034518|XP_016964930.1|DBIA, LOC108027854|XP_016954941.1|DBIA
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC108032245|XP_016961597.1|DBIA
