Orthogroup	DBUS.longest_only	DSER.longest_only
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC108604182|XP_017849014.1|DBUS	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC108601273|XP_017844662.1|DBUS	LOC110177452|XP_020799845.1|DSER
OG0000001	LOC108603731|XP_033150745.1|DBUS	LOC110187736|XP_020812852.1|DSER
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS	LOC110191937|XP_020818616.1|DSER, LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC108599003|XP_033149617.1|DBUS	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER
OG0000002	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC108595075|XP_017835712.2|DBUS	LOC110177811|XP_020800360.1|DSER
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC117134690|XP_033149085.1|DBUS	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER
OG0000007	LOC108598463|XP_017840596.2|DBUS	LOC110184727|XP_020809014.1|DSER
