Orthogroup	DBUS.longest_only	AAEG.longest_only
OG0000002	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG
OG0000007	LOC108598463|XP_017840596.2|DBUS, LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS, LOC108595911|XP_017836691.1|DBUS, LOC117134784|XP_033149441.1|DBUS	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC5578716|XP_001664018.2|AAEG
OG0000009	LOC108604020|XP_017848755.1|DBUS, LOC108601959|XP_017845435.1|DBUS, LOC108601305|XP_017844694.1|DBUS, LOC108599992|XP_033150731.1|DBUS, LOC108601444|XP_017844830.1|DBUS, LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS, LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS, LOC108595579|XP_017836330.1|DBUS, LOC108595290|XP_017835992.1|DBUS, LOC108595467|XP_017836201.1|DBUS, LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC110679799|XP_021711222.1|AAEG, LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC110679800|XP_021711223.1|AAEG, LOC110679815|XP_021711240.1|AAEG, LOC110676735|XP_021701442.1|AAEG, LOC110679807|XP_021711231.1|AAEG, LOC110678205|XP_021706523.1|AAEG, LOC5579072|XP_021707705.1|AAEG, LOC110678837|XP_021708007.1|AAEG, LOC110679751|XP_021711173.1|AAEG, LOC5578499|XP_001663888.1|AAEG
OG0000012	LOC108595899|XP_017836677.1|DBUS, LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS, LOC108595898|XP_017836676.1|DBUS, LOC108595900|XP_017836679.1|DBUS, LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS, LOC108597255|XP_017839199.1|DBUS, LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC110679353|XP_021709456.1|AAEG
