Orthogroup	DBUS.longest_only	SLEB.longest_only
OG0000000	LOC108598118|XP_017840224.1|DBUS	LOC115634489|XP_030388106.1|SLEB
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC108604182|XP_017849014.1|DBUS	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC108601273|XP_017844662.1|DBUS	LOC115632651|XP_030385741.1|SLEB
OG0000000	LOC108594727|XP_017835355.1|DBUS	LOC115623741|XP_030374114.1|SLEB
OG0000002	LOC108594750|XP_017835378.1|DBUS	LOC115631932|XP_030384643.1|SLEB
OG0000002	LOC108598887|XP_017841137.1|DBUS	LOC115626572|XP_030377811.1|SLEB
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC115633967|XP_030387348.1|SLEB
OG0000002	LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS	LOC115624495|XP_030375058.1|SLEB
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC108595075|XP_017835712.2|DBUS	LOC115634502|XP_030388126.1|SLEB
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC115634507|XP_030388133.1|SLEB
OG0000003	LOC108595008|XP_017835631.1|DBUS	LOC115625548|XP_030376490.1|SLEB, LOC115625503|XP_030376424.1|SLEB
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC115628616|XP_030380660.1|SLEB
OG0000004	LOC117134690|XP_033149085.1|DBUS	LOC115630273|XP_030382667.1|SLEB, LOC115630322|XP_030382721.1|SLEB, LOC115633522|XP_030386841.1|SLEB, LOC115633597|XP_030386900.1|SLEB, LOC115633488|XP_030386812.1|SLEB, LOC115633502|XP_030386824.1|SLEB, LOC115633531|XP_030386849.1|SLEB, LOC115633478|XP_030386800.1|SLEB, LOC115633483|XP_030386806.1|SLEB, LOC115633585|XP_030386889.1|SLEB, LOC115633596|XP_030386899.1|SLEB, LOC115633484|XP_030386807.1|SLEB, LOC115633506|XP_030386827.1|SLEB, LOC115633477|XP_030386799.1|SLEB, LOC115633503|XP_030386825.1|SLEB, LOC115633505|XP_030386826.1|SLEB, LOC115630271|XP_030382665.1|SLEB, LOC115630300|XP_030382698.1|SLEB, LOC115630309|XP_030382707.1|SLEB, LOC115630301|XP_030382699.1|SLEB, LOC115633532|XP_030386850.1|SLEB, LOC115630286|XP_030382682.1|SLEB, LOC115630272|XP_030382666.1|SLEB, LOC115633521|XP_030386840.1|SLEB, LOC115630310|XP_030382708.1|SLEB, LOC115630117|XP_030382589.1|SLEB, LOC115630132|XP_030382600.1|SLEB, LOC115630122|XP_030382594.1|SLEB
OG0000007	LOC108598463|XP_017840596.2|DBUS	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC115623581|XP_030373840.1|SLEB, LOC115624342|XP_030374854.1|SLEB
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC115623587|XP_030373847.1|SLEB
OG0000008	LOC108604418|XP_033150077.1|DBUS	LOC115624340|XP_030374852.1|SLEB
OG0000008	LOC108602531|XP_017846153.1|DBUS	LOC115624344|XP_030374855.1|SLEB
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC115623612|XP_030373889.1|SLEB
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC115624173|XP_030374629.1|SLEB
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC115624028|XP_030374465.1|SLEB
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB
OG0000009	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC115630347|XP_030382740.1|SLEB, LOC115633455|XP_030386770.1|SLEB, LOC115630140|XP_030382609.1|SLEB, LOC115630331|XP_030382729.1|SLEB, LOC115630332|XP_030382730.1|SLEB
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC115626791|XP_030378121.1|SLEB
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC115634820|XP_030388598.1|SLEB
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC115624523|XP_030375106.1|SLEB
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC115632632|XP_030385725.1|SLEB
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC115630730|XP_030383248.1|SLEB
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC115621092|XP_030370486.1|SLEB
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000016	LOC108603000|XP_017846884.1|DBUS	LOC115621740|XP_030371332.1|SLEB
OG0000016	LOC108596111|XP_017837026.1|DBUS	LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC108596316|XP_017837414.1|DBUS	LOC115634552|XP_030388227.1|SLEB, LOC115620165|XP_030369154.1|SLEB
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC108596191|XP_017837194.1|DBUS	LOC115634608|XP_030388318.1|SLEB
OG0000016	LOC108601639|XP_017845028.2|DBUS	LOC115621272|XP_030370732.1|SLEB
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC115634447|XP_030388017.1|SLEB
OG0000017	LOC108594623|XP_017835255.1|DBUS	LOC115619942|XP_030368829.1|SLEB, LOC115634221|XP_030387672.1|SLEB, LOC115619943|XP_030368830.1|SLEB, LOC115619949|XP_030368838.1|SLEB
OG0000017	LOC108594615|XP_017835248.1|DBUS, LOC117134873|XP_033150152.1|DBUS, LOC108601314|XP_017844702.1|DBUS, LOC117134851|XP_033149937.1|DBUS, LOC108601332|XP_033149826.1|DBUS, LOC108602535|XP_017846156.1|DBUS	LOC115630526|XP_030382993.1|SLEB
OG0000017	LOC108595879|XP_017836658.1|DBUS	LOC115619940|XP_030368827.1|SLEB, LOC115619939|XP_030368826.1|SLEB
OG0000017	LOC108607612|XP_017854053.1|DBUS	LOC115620280|XP_030369314.1|SLEB
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC115633159|XP_030386430.1|SLEB
OG0000018	LOC108597971|XP_017840076.1|DBUS	LOC115633160|XP_030386431.1|SLEB
OG0000018	LOC108599156|XP_017841431.1|DBUS	LOC115633162|XP_030386433.1|SLEB
OG0000019	LOC108602938|XP_017846769.1|DBUS	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB
OG0000019	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS	LOC115621701|XP_030371268.1|SLEB
OG0000019	LOC108602931|XP_017846763.1|DBUS	LOC115621698|XP_030371264.1|SLEB
