Orthogroup	DBUS.longest_only	DMEL.longest_only
OG0000000	LOC108598118|XP_017840224.1|DBUS	CG33700|NP_001027121.3|DMEL
OG0000000	LOC108601266|XP_017844655.2|DBUS	CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL
OG0000000	LOC108594849|XP_017835476.1|DBUS	CG12849|NP_611969.2|DMEL
OG0000000	LOC108604182|XP_017849014.1|DBUS	CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL
OG0000000	LOC108601273|XP_017844662.1|DBUS	CG14518|NP_651653.2|DMEL
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS	CG5550|NP_001246376.1|DMEL
OG0000002	LOC108596934|XP_017839382.1|DBUS	CG30281|NP_726164.1|DMEL
OG0000002	LOC108596935|XP_017838603.1|DBUS	CG30280|NP_611641.6|DMEL
OG0000002	LOC108599003|XP_033149617.1|DBUS	CG7668|NP_649170.1|DMEL
OG0000002	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS	CG9500|NP_609018.3|DMEL
OG0000003	LOC108597513|XP_017838772.1|DBUS	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC117134628|XP_033150902.1|DBUS	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC108594852|XP_033148959.1|DBUS	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC108608148|XP_017854884.1|DBUS	Cyp6a16|NP_001285631.1|DMEL
OG0000007	LOC108598463|XP_017840596.2|DBUS	Jon65Aiv|NP_648012.1|DMEL
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL
OG0000007	LOC117134784|XP_033149441.1|DBUS	Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL
OG0000008	LOC108602201|XP_017845739.1|DBUS	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC108599783|XP_017842330.1|DBUS	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC108597994|XP_017840102.1|DBUS	Crys|NP_476906.1|DMEL
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC108601548|XP_017844935.1|DBUS	Ccp84Af|NP_649678.1|DMEL
OG0000008	LOC108604418|XP_033150077.1|DBUS	Ccp84Ac|NP_649681.1|DMEL
OG0000008	LOC108602531|XP_017846153.1|DBUS	Ccp84Ae|NP_649679.1|DMEL
OG0000008	LOC108602012|XP_017845504.1|DBUS	Ccp84Ag|NP_649677.1|DMEL
OG0000009	LOC108604020|XP_017848755.1|DBUS	CG11453|NP_650832.1|DMEL
OG0000009	LOC108601959|XP_017845435.1|DBUS	CG11391|NP_650830.1|DMEL
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL
OG0000009	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL
OG0000009	LOC108595579|XP_017836330.1|DBUS	CG4563|NP_611913.1|DMEL
OG0000009	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	CG8834|NP_610779.1|DMEL
OG0000010	LOC108603408|XP_017847686.1|DBUS	His4_CG33903|NP_001027297.1|DMEL, His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL, His4_CG33871|NP_001027377.1|DMEL, His4_CG33887|NP_001027337.1|DMEL
OG0000010	LOC117134729|XP_033149263.1|DBUS	His4_CG33875|NP_001027367.1|DMEL, His4_CG33901|NP_001027302.1|DMEL, His4_CG33889|NP_001027332.1|DMEL, His4_CG33873|NP_001027372.1|DMEL, His4_CG33885|NP_001027342.1|DMEL, His4_CG33909|NP_001027284.1|DMEL, His4_CG33891|NP_001027327.1|DMEL, His4_CG31611|NP_724344.1|DMEL, His4_CG33899|NP_001027307.1|DMEL
OG0000011	LOC108599014|XP_017841282.1|DBUS	CG8319|NP_649920.2|DMEL
OG0000012	LOC108595899|XP_017836677.1|DBUS	CG9416|NP_611415.2|DMEL
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	CG10051|NP_611414.1|DMEL
OG0000012	LOC108595898|XP_017836676.1|DBUS	CG11961|NP_725876.1|DMEL
OG0000012	LOC108595900|XP_017836679.1|DBUS	CG10062|NP_001261089.1|DMEL
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS	CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL
OG0000012	LOC108597255|XP_017839199.1|DBUS	CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL
OG0000013	LOC108596692|XP_017838201.1|DBUS	Hsc70-5|NP_523741.2|DMEL
OG0000013	LOC108606235|XP_017851657.1|DBUS	Hsc70-3|NP_727563.1|DMEL
OG0000013	LOC108603181|XP_017847228.1|DBUS	Hsc70-4|NP_524356.1|DMEL
OG0000013	LOC108599948|XP_017842685.1|DBUS	Hsc70-1|NP_524063.1|DMEL
OG0000013	LOC108603387|XP_017847647.1|DBUS	Hsc70-2|NP_524339.1|DMEL
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL
OG0000016	LOC108603000|XP_017846884.1|DBUS	Act87E|NP_477091.1|DMEL
OG0000016	LOC108596111|XP_017837026.1|DBUS	Act57B|NP_523800.1|DMEL
OG0000016	LOC108603521|XP_017847904.1|DBUS	Arp1|NP_524331.2|DMEL
OG0000016	LOC108596316|XP_017837414.1|DBUS	Arp53D|NP_477037.2|DMEL
OG0000016	LOC108606266|XP_017851714.1|DBUS	Act5C|NP_511052.1|DMEL
OG0000016	LOC108596191|XP_017837194.1|DBUS	Act42A|NP_523625.1|DMEL
OG0000016	LOC108601639|XP_017845028.2|DBUS	Act88F|NP_524367.1|DMEL
OG0000016	LOC108599665|XP_017842156.1|DBUS	Act79B|NP_524210.1|DMEL
OG0000017	LOC108594623|XP_017835255.1|DBUS	Or42a|NP_523622.2|DMEL
OG0000017	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS	Or98a|NP_524536.2|DMEL
OG0000017	LOC108594615|XP_017835248.1|DBUS	Or59b|NP_523822.1|DMEL
OG0000017	LOC108595879|XP_017836658.1|DBUS	Or42b|NP_523624.2|DMEL
OG0000017	LOC108607612|XP_017854053.1|DBUS	Or22b|NP_477425.1|DMEL, Or22a|NP_523453.1|DMEL
OG0000018	LOC108599199|XP_017841484.1|DBUS	Cpr65Av|NP_729146.1|DMEL
OG0000018	LOC108597971|XP_017840076.1|DBUS	Lcp65Ac|NP_477279.1|DMEL
OG0000018	LOC108599156|XP_017841431.1|DBUS	Lcp65Ad|NP_477278.1|DMEL
OG0000019	LOC108602932|XP_017846764.1|DBUS, LOC108602934|XP_017846766.1|DBUS	CG6283|NP_651524.1|DMEL
OG0000019	LOC108602931|XP_017846763.1|DBUS	CG6296|NP_651520.1|DMEL
OG0000019	LOC108602936|XP_017846767.1|DBUS	CG6295|NP_651521.1|DMEL
OG0000019	LOC108602933|XP_017846765.1|DBUS	CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL
OG0000020	LOC108604342|XP_017849258.1|DBUS	rdog|NP_651678.1|DMEL
OG0000020	LOC108594958|XP_017835581.1|DBUS	CG10505|NP_611571.2|DMEL
