Orthogroup	DBUS.longest_only	DEUG.longest_only
OG0000000	LOC108598118|XP_017840224.1|DBUS	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC108604182|XP_017849014.1|DBUS	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG, LOC108107194|XP_017070099.1|DEUG, LOC108107195|XP_017070100.1|DEUG, LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC108601273|XP_017844662.1|DBUS	LOC108115960|XP_017083085.1|DEUG
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC108599003|XP_033149617.1|DBUS	LOC108102651|XP_017063276.1|DEUG, LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC108113287|XP_017079326.1|DEUG, LOC108110800|XP_017075517.1|DEUG
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC108106604|XP_017069284.1|DEUG, LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC108104523|XP_017066143.1|DEUG, LOC108115149|XP_017081948.1|DEUG, LOC108104524|XP_017066145.1|DEUG
OG0000004	LOC117134690|XP_033149085.1|DBUS	LOC108113823|XP_017080058.1|DEUG
OG0000007	LOC108598463|XP_017840596.2|DBUS	LOC108107881|XP_017071156.1|DEUG
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	LOC108107527|XP_017070556.1|DEUG, LOC108107526|XP_017070555.1|DEUG, LOC108107882|XP_017071157.1|DEUG, LOC108107883|XP_017071158.1|DEUG
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG, LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC108116557|XP_017083985.1|DEUG, LOC108116552|XP_017083978.1|DEUG
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC108604418|XP_033150077.1|DBUS	LOC108116123|XP_017083335.1|DEUG
OG0000008	LOC108602531|XP_017846153.1|DBUS	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC108117290|XP_017085135.1|DEUG
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG, LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
OG0000009	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS	LOC108107590|XP_017070640.1|DEUG, LOC108107618|XP_017070676.1|DEUG
OG0000009	LOC108595579|XP_017836330.1|DBUS	LOC108107216|XP_017070122.1|DEUG
OG0000009	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC108106283|XP_017068739.1|DEUG
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC108105230|XP_017067186.1|DEUG
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC108103372|XP_017064308.1|DEUG
OG0000011	LOC108599014|XP_017841282.1|DBUS	LOC108109998|XP_017074326.1|DEUG
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC108113192|XP_017079208.1|DEUG
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC108113191|XP_017079207.1|DEUG
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC108113343|XP_017079393.1|DEUG
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC108113377|XP_017079435.1|DEUG
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS	LOC108112229|XP_017077538.1|DEUG, LOC108112131|XP_017077370.1|DEUG, LOC108112132|XP_017077371.1|DEUG, LOC108112267|XP_017077578.1|DEUG
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC108106282|XP_017068738.1|DEUG, LOC108106301|XP_017068761.1|DEUG, LOC108106279|XP_017068735.1|DEUG, LOC108106300|XP_017068760.1|DEUG
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC108106742|XP_017069468.1|DEUG, LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC108105962|XP_017068250.1|DEUG
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC108116899|XP_017084498.1|DEUG
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000014	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS	LOC108112994|XP_017078897.1|DEUG
OG0000014	LOC117134671|XP_033148998.1|DBUS	LOC108117406|XP_017085302.1|DEUG
OG0000016	LOC108603000|XP_017846884.1|DBUS	LOC108116882|XP_017084468.1|DEUG
OG0000016	LOC108596111|XP_017837026.1|DBUS	LOC108109063|XP_017072885.1|DEUG
OG0000016	LOC108603521|XP_017847904.1|DBUS	LOC108117273|XP_017085115.1|DEUG
OG0000016	LOC108596316|XP_017837414.1|DBUS	LOC108113063|XP_017078988.1|DEUG
OG0000016	LOC108606266|XP_017851714.1|DBUS	LOC108103209|XP_017064088.1|DEUG
OG0000016	LOC108596191|XP_017837194.1|DBUS	LOC108110347|XP_017074869.1|DEUG
OG0000016	LOC108601639|XP_017845028.2|DBUS	LOC108105551|XP_017067677.1|DEUG
OG0000016	LOC108599665|XP_017842156.1|DBUS	LOC108108726|XP_017072348.1|DEUG
OG0000017	LOC108594623|XP_017835255.1|DBUS	LOC108104154|XP_017065544.1|DEUG
OG0000017	LOC108601423|XP_017844811.1|DBUS, LOC108601498|XP_033150126.1|DBUS, LOC108601497|XP_017844884.1|DBUS	LOC108115927|XP_017083050.1|DEUG, LOC108116012|XP_017083185.1|DEUG
OG0000017	LOC108594615|XP_017835248.1|DBUS	LOC108109233|XP_017073194.1|DEUG
OG0000017	LOC108595879|XP_017836658.1|DBUS	LOC108110339|XP_017074859.1|DEUG
OG0000017	LOC108607612|XP_017854053.1|DBUS	LOC108111034|XP_017075854.1|DEUG, LOC108110885|XP_017075635.1|DEUG
OG0000018	LOC108599199|XP_017841484.1|DBUS	LOC108107641|XP_017070716.1|DEUG
OG0000018	LOC108597971|XP_017840076.1|DBUS	LOC108107531|XP_017070561.1|DEUG
OG0000018	LOC108599156|XP_017841431.1|DBUS	LOC108108164|XP_017071591.1|DEUG
