Orthogroup	DBUS.longest_only	DMAU.longest_only
OG0000000	LOC108598118|XP_017840224.1|DBUS	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC108604182|XP_017849014.1|DBUS	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC108601273|XP_017844662.1|DBUS	LOC117146038|XP_033167862.1|DMAU
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC108599003|XP_033149617.1|DBUS	LOC117140283|XP_033159002.1|DMAU
OG0000002	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC108595075|XP_017835712.2|DBUS	LOC117138513|XP_033156538.1|DMAU
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC117137104|XP_033154281.1|DMAU
