Orthogroup	DBUS.longest_only	DNOV.longest_only
OG0000000	LOC117134726|XP_033149242.1|DBUS	LOC115762358|XP_030560387.1|DNOV, LOC115762357|XP_030560386.1|DNOV
OG0000000	LOC108598118|XP_017840224.1|DBUS	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC108604182|XP_017849014.1|DBUS, LOC108601273|XP_017844662.1|DBUS	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC108594727|XP_017835355.1|DBUS	LOC115764637|XP_030563666.1|DNOV, LOC115764832|XP_030563940.1|DNOV
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC108594750|XP_017835378.1|DBUS	LOC115766569|XP_030566411.1|DNOV, LOC115766589|XP_030566435.1|DNOV, LOC115766551|XP_030566386.1|DNOV, LOC115766590|XP_030566436.1|DNOV
OG0000002	LOC108601753|XP_017845169.2|DBUS	LOC115763088|XP_030561386.1|DNOV
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC115766526|XP_030566353.1|DNOV
OG0000002	LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC108595075|XP_017835712.2|DBUS	LOC115762126|XP_030560095.1|DNOV
OG0000003	LOC108595008|XP_017835631.1|DBUS	LOC115763094|XP_030561396.1|DNOV
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC115758743|XP_030555359.1|DNOV
OG0000004	LOC117134690|XP_033149085.1|DBUS	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV
OG0000007	LOC108598463|XP_017840596.2|DBUS	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC108595911|XP_017836691.1|DBUS	LOC115760652|XP_030557979.1|DNOV
