Orthogroup	DBUS.longest_only	DHYD.longest_only
OG0000000	LOC117134726|XP_033149242.1|DBUS	LOC111593965|XP_023162824.1|DHYD
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC108604182|XP_017849014.1|DBUS, LOC108601273|XP_017844662.1|DBUS	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC108594727|XP_017835355.1|DBUS	LOC115483355|XP_030080829.1|DHYD
OG0000002	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS	LOC111601236|XP_023173500.2|DHYD
OG0000002	LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS	LOC111601234|XP_023173498.1|DHYD
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC108594750|XP_017835378.1|DBUS	LOC111603957|XP_023177560.2|DHYD, LOC111593705|XP_023162430.2|DHYD, LOC111593796|XP_023162589.2|DHYD
OG0000002	LOC108598887|XP_017841137.1|DBUS	LOC111599235|XP_023170600.2|DHYD
OG0000002	LOC108601753|XP_017845169.2|DBUS	LOC111605420|XP_023179700.2|DHYD, LOC111592634|XP_023160745.2|DHYD, LOC111603993|XP_030079085.1|DHYD, LOC115482929|XP_030079105.1|DHYD, LOC111603858|XP_030079043.1|DHYD, LOC111600559|XP_030079098.1|DHYD, LOC111600451|XP_023172322.2|DHYD, LOC111594787|XP_023164011.2|DHYD, LOC111602329|XP_030079126.1|DHYD, LOC111602302|XP_023175071.2|DHYD, LOC115483393|XP_030081030.1|DHYD, LOC111600330|XP_030081031.1|DHYD, LOC111600435|XP_023172296.1|DHYD
OG0000002	LOC108595831|XP_017836611.1|DBUS	LOC111600423|XP_023172273.1|DHYD
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC111594107|XP_023163033.2|DHYD
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC108595075|XP_017835712.2|DBUS	LOC111602573|XP_030082008.1|DHYD
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC111602546|XP_030082007.1|DHYD, LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC108595008|XP_017835631.1|DBUS	LOC111601269|XP_023173548.2|DHYD
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC111602383|XP_023175172.2|DHYD
OG0000004	LOC117134690|XP_033149085.1|DBUS	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD
OG0000007	LOC108598463|XP_017840596.2|DBUS	LOC111592429|XP_023160382.1|DHYD
OG0000007	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS	LOC111592441|XP_023160393.1|DHYD
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC111604267|XP_023178033.1|DHYD
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC111599437|XP_023170859.2|DHYD
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC111603756|XP_023177254.2|DHYD
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC111600832|XP_023172904.2|DHYD
OG0000008	LOC108604418|XP_033150077.1|DBUS	LOC111600831|XP_023172902.2|DHYD
OG0000008	LOC108602531|XP_017846153.1|DBUS	LOC111600808|XP_023172870.1|DHYD
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC111600811|XP_023172873.1|DHYD
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC111604985|XP_023179049.1|DHYD
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC111604987|XP_023179051.2|DHYD
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD
OG0000009	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS	LOC111603540|XP_030079215.1|DHYD
OG0000009	LOC108595579|XP_017836330.1|DBUS	LOC111592528|XP_023160554.2|DHYD
OG0000009	LOC108595290|XP_017835992.1|DBUS, LOC108595467|XP_017836201.1|DBUS	LOC111593562|XP_023162191.2|DHYD
OG0000009	LOC108595103|XP_017835752.1|DBUS	LOC111593549|XP_023162171.2|DHYD
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD, LOC115482883|XP_030078993.1|DHYD, LOC115483261|XP_030080466.1|DHYD, LOC115483263|XP_030080468.1|DHYD
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC115482891|XP_030079000.1|DHYD, LOC115483272|XP_030080475.1|DHYD, LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD
OG0000011	LOC108599014|XP_017841282.1|DBUS	LOC111599147|XP_023170484.2|DHYD
OG0000011	LOC108606030|XP_017851346.1|DBUS, LOC108600675|XP_017843868.1|DBUS	LOC111605669|XP_023180101.2|DHYD, LOC111603319|XP_023176609.2|DHYD
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC111603849|XP_023177406.2|DHYD
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC111603850|XP_023177409.2|DHYD
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC111603802|XP_023177320.1|DHYD
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC111603848|XP_023177404.2|DHYD
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS	LOC111603807|XP_023177327.2|DHYD
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC111597898|XP_023168600.2|DHYD
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC111597903|XP_023168607.2|DHYD
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC111593737|XP_023162498.2|DHYD
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC111605302|XP_030080103.1|DHYD
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC111603010|XP_023176183.1|DHYD
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC111604413|XP_023178237.2|DHYD
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC111594553|XP_023163674.1|DHYD
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD
OG0000015	LOC108602396|XP_017845996.1|DBUS, LOC108602619|XP_017846247.1|DBUS, LOC108602576|XP_017846203.1|DBUS	LOC111601485|XP_023173841.2|DHYD
OG0000015	LOC108605744|XP_017851034.1|DBUS	LOC111603761|XP_023177261.1|DHYD
OG0000015	LOC108594831|XP_017835461.1|DBUS, LOC108603867|XP_017848527.1|DBUS, LOC108606193|XP_017851541.2|DBUS, LOC108604954|XP_017850016.1|DBUS, LOC108605941|XP_017851254.2|DBUS	LOC111603774|XP_023177277.2|DHYD
