Orthogroup	DBUS.longest_only	HILL.longest_only
OG0000000	LOC117134726|XP_033149242.1|DBUS, LOC108598118|XP_017840224.1|DBUS, LOC108601266|XP_017844655.2|DBUS, LOC108594849|XP_017835476.1|DBUS, LOC108601225|XP_033150109.1|DBUS, LOC117134725|XP_033149241.1|DBUS, LOC108604182|XP_017849014.1|DBUS, LOC108601273|XP_017844662.1|DBUS, LOC108594727|XP_017835355.1|DBUS	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL
OG0000001	LOC108603731|XP_033150745.1|DBUS	LOC119650838|XP_037909906.1|HILL, LOC119661228|XP_037926386.1|HILL, LOC119652186|XP_037912058.1|HILL, LOC119650920|XP_037910072.1|HILL, LOC119654001|XP_037915090.1|HILL, LOC119659082|XP_037922922.1|HILL, LOC119653957|XP_037915045.1|HILL
OG0000003	LOC108595075|XP_017835712.2|DBUS	LOC119661461|XP_037926750.1|HILL, LOC119646713|XP_037903223.1|HILL, LOC119646744|XP_037903253.1|HILL, LOC119647132|XP_037903851.1|HILL, LOC119661103|XP_037926221.1|HILL, LOC119646790|XP_037903307.1|HILL, LOC119652800|XP_037913050.1|HILL, LOC119651378|XP_037910883.1|HILL, LOC119651386|XP_037910896.1|HILL, LOC119657588|XP_037920499.1|HILL, LOC119646872|XP_037903427.1|HILL, LOC119648928|XP_037906770.1|HILL, LOC119655716|XP_037917677.1|HILL, LOC119648936|XP_037906781.1|HILL, LOC119661782|XP_037927186.1|HILL, LOC119646773|XP_037903287.1|HILL, LOC119646764|XP_037903275.1|HILL
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL
OG0000004	LOC117134690|XP_033149085.1|DBUS	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL
OG0000007	LOC108598463|XP_017840596.2|DBUS, LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS, LOC108595911|XP_017836691.1|DBUS, LOC117134784|XP_033149441.1|DBUS	LOC119653460|XP_037913999.1|HILL
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC119660223|XP_037924589.1|HILL
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC119649590|XP_037907727.1|HILL
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC119652756|XP_037912988.1|HILL
