Orthogroup	DBUS.longest_only	AALB.longest_only
OG0000002	LOC108599003|XP_033149617.1|DBUS	LOC118458183|XP_035776304.1|AALB
OG0000002	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC118459424|XP_035778662.1|AALB
OG0000009	LOC108604020|XP_017848755.1|DBUS, LOC108601959|XP_017845435.1|DBUS, LOC108601305|XP_017844694.1|DBUS, LOC108599992|XP_033150731.1|DBUS, LOC108601444|XP_017844830.1|DBUS, LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS, LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS, LOC108595579|XP_017836330.1|DBUS, LOC108595290|XP_017835992.1|DBUS, LOC108595467|XP_017836201.1|DBUS, LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC118464057|XP_035786996.1|AALB, LOC118464063|XP_035787003.1|AALB, LOC118465132|XP_035788964.1|AALB, LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB, LOC118467569|XP_035794089.1|AALB
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC118464062|XP_035787002.1|AALB, LOC118467568|XP_035794088.1|AALB, LOC118465135|XP_035788966.1|AALB
OG0000012	LOC108595899|XP_017836677.1|DBUS, LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS, LOC108595898|XP_017836676.1|DBUS, LOC108595900|XP_017836679.1|DBUS, LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS, LOC108597255|XP_017839199.1|DBUS, LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC118467742|XP_035794443.1|AALB
