Orthogroup	DSUZ.longest_only	DSAN.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC120450014|XP_039488671.1|DSAN
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC120458328|XP_039501883.1|DSAN
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC120444836|XP_039480727.1|DSAN
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC120447883|XP_039485428.1|DSAN
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC120447886|XP_039485431.1|DSAN
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ	LOC120447820|XP_039485331.1|DSAN
OG0000000	LOC108007475|XP_016926645.1|DSUZ	LOC120447882|XP_039485427.1|DSAN
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC120444952|XP_039480891.1|DSAN
OG0000000	LOC108021133|XP_036668720.1|DSUZ	LOC120453403|XP_039494026.1|DSAN
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC120453329|XP_039493924.1|DSAN
OG0000000	LOC108016521|XP_036671132.1|DSUZ	LOC120443793|XP_039479056.1|DSAN
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC120444898|XP_039480821.1|DSAN
OG0000000	LOC108020024|XP_036672415.1|DSUZ	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN, LOC120458417|XP_039501988.1|DSAN, LOC120455242|XP_039497157.1|DSAN, LOC120443964|XP_039479362.1|DSAN
OG0000000	LOC108011960|XP_036678587.1|DSUZ	LOC120458841|XP_039502600.1|DSAN
OG0000000	LOC108012139|XP_036675579.1|DSUZ	LOC120454324|XP_039495461.1|DSAN
OG0000000	LOC108012154|XP_036675464.1|DSUZ	LOC120453354|XP_039493961.1|DSAN
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC120444807|XP_039480688.1|DSAN
OG0000000	LOC108017737|XP_016940334.1|DSUZ	LOC120446643|XP_039483646.1|DSAN
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC120454169|XP_039495171.1|DSAN
OG0000000	LOC118878061|XP_036675143.1|DSUZ	LOC120453562|XP_039494248.1|DSAN
OG0000000	LOC108007479|XP_036670397.1|DSUZ	LOC120447885|XP_039485430.1|DSAN
OG0000000	LOC108007497|XP_016926669.2|DSUZ	LOC120447884|XP_039485429.1|DSAN
OG0000000	LOC108021799|XP_036676928.1|DSUZ	LOC120448603|XP_039486639.1|DSAN
OG0000001	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ	LOC120457515|XP_039500997.1|DSAN, LOC120444320|XP_039479805.1|DSAN
OG0000001	LOC108020087|XP_016943677.1|DSUZ	LOC120445604|XP_039482044.1|DSAN
OG0000001	LOC118878822|XP_036677740.1|DSUZ	LOC120450630|XP_039489712.1|DSAN, LOC120453894|XP_039494745.1|DSAN, LOC120448972|XP_039487206.1|DSAN, LOC120452701|XP_039492991.1|DSAN
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC120446478|XP_039483414.1|DSAN
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC120444309|XP_039479784.1|DSAN
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC120444310|XP_039479789.1|DSAN
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC120449620|XP_039488138.1|DSAN
OG0000002	LOC108021294|XP_016945474.2|DSUZ	LOC120448038|XP_039485719.1|DSAN
OG0000003	LOC108008945|XP_016928345.1|DSUZ	LOC120446974|XP_039484179.1|DSAN
OG0000003	LOC108008944|XP_016928343.1|DSUZ	LOC120446687|XP_039483714.1|DSAN
OG0000003	LOC118877697|XP_036673424.1|DSUZ	LOC120452715|XP_039493011.1|DSAN
OG0000003	LOC108008943|XP_016928342.1|DSUZ	LOC120446686|XP_039483713.1|DSAN
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC120451297|XP_039490798.1|DSAN, LOC120458649|XP_039502315.1|DSAN
OG0000003	LOC108008949|XP_016928349.1|DSUZ	LOC120446973|XP_039484178.1|DSAN
OG0000003	LOC108008948|XP_016928348.1|DSUZ	LOC120446976|XP_039484181.1|DSAN
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC120446688|XP_039483715.1|DSAN
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC120446977|XP_039484182.1|DSAN
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC120458379|XP_039501933.1|DSAN
OG0000003	LOC108019592|XP_016942921.1|DSUZ	LOC120458377|XP_039501931.1|DSAN
OG0000003	LOC108019594|XP_016942924.1|DSUZ	LOC120458378|XP_039501932.1|DSAN
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC120458775|XP_039502488.1|DSAN
OG0000005	LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ	LOC120457950|XP_039501390.1|DSAN
OG0000005	LOC118879512|XP_036678269.1|DSUZ	LOC120457946|XP_039501386.1|DSAN
OG0000005	LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ	LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC120457931|XP_039501371.1|DSAN
