Orthogroup	DSUZ.longest_only	DSER.longest_only
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC108014040|XP_016935546.2|DSUZ	LOC110186265|XP_020811031.1|DSER
OG0000000	LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC108016521|XP_036671132.1|DSUZ	LOC110184021|XP_020808046.1|DSER
OG0000000	LOC108012138|XP_036675463.1|DSUZ	LOC110186869|XP_020811824.1|DSER, LOC110186289|XP_020811062.1|DSER, LOC110186287|XP_020811060.1|DSER
OG0000000	LOC108012139|XP_036675579.1|DSUZ	LOC110186290|XP_020811063.1|DSER
OG0000000	LOC108012154|XP_036675464.1|DSUZ	LOC110186288|XP_020811061.1|DSER
OG0000000	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ	LOC110185901|XP_020810577.1|DSER
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC118878061|XP_036675143.1|DSUZ	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC108007479|XP_036670397.1|DSUZ	LOC110190733|XP_020817014.1|DSER
OG0000000	LOC108007497|XP_016926669.2|DSUZ	LOC110190479|XP_020816650.1|DSER
OG0000000	LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ	LOC110185197|XP_020809581.1|DSER
OG0000000	LOC108012280|XP_036672320.1|DSUZ	LOC110187956|XP_020813133.1|DSER, LOC110182697|XP_020806451.1|DSER, LOC110186018|XP_020810717.1|DSER, LOC110186045|XP_020810747.1|DSER, LOC110186008|XP_020810705.1|DSER, LOC110186038|XP_020810738.1|DSER, LOC110186028|XP_020810726.1|DSER, LOC110186065|XP_020810763.1|DSER, LOC110185933|XP_020810606.1|DSER
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC110191937|XP_020818616.1|DSER
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC108009933|XP_016930164.1|DSUZ	LOC110179248|XP_020802366.1|DSER
OG0000002	LOC108011106|XP_016931667.2|DSUZ	LOC110189677|XP_020815494.1|DSER
OG0000002	LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC108009013|XP_016928477.1|DSUZ	LOC110184909|XP_020809214.1|DSER
OG0000002	LOC108021294|XP_016945474.2|DSUZ	LOC110184848|XP_020809147.1|DSER
OG0000003	LOC108008945|XP_016928345.1|DSUZ	LOC110177692|XP_020800174.1|DSER
OG0000003	LOC108008944|XP_016928343.1|DSUZ	LOC110177680|XP_020800160.1|DSER
OG0000003	LOC108008943|XP_016928342.1|DSUZ	LOC110177747|XP_020800264.1|DSER
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC108008949|XP_016928349.1|DSUZ	LOC110177689|XP_020800171.1|DSER
OG0000003	LOC108008947|XP_016928347.2|DSUZ	LOC110177811|XP_020800360.1|DSER
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC110177698|XP_020800183.1|DSER
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC108019592|XP_016942921.1|DSUZ	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER
OG0000003	LOC108019594|XP_016942924.1|DSUZ	LOC110176203|XP_020798127.1|DSER
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC110182737|XP_020806498.1|DSER
OG0000005	LOC108016330|XP_016938455.2|DSUZ	LOC110182167|XP_020805828.1|DSER
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC118879645|XP_036678432.1|DSUZ	LOC110181334|XP_020804711.1|DSER
OG0000007	LOC118877416|XP_036672028.1|DSUZ	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC108013025|XP_016934104.1|DSUZ	LOC110184726|XP_020809013.1|DSER
OG0000007	LOC108012427|XP_016933279.1|DSUZ	LOC110184693|XP_020808964.1|DSER
OG0000007	LOC108012288|XP_016933078.2|DSUZ	LOC110184736|XP_020809022.1|DSER
OG0000007	LOC108013026|XP_016934106.1|DSUZ	LOC110184730|XP_020809017.1|DSER
OG0000007	LOC118879795|XP_036678702.1|DSUZ	LOC110182363|XP_020806064.1|DSER
OG0000007	LOC108017241|XP_036675632.1|DSUZ	LOC110189366|XP_020815075.1|DSER
OG0000007	LOC118876800|XP_036668611.1|DSUZ	LOC110182364|XP_020806065.1|DSER
OG0000007	LOC108012354|XP_016933195.2|DSUZ	LOC110190669|XP_020816933.1|DSER
OG0000007	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER
OG0000007	LOC108013030|XP_016934110.1|DSUZ	LOC110184732|XP_020809019.1|DSER
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC110188534|XP_020813940.1|DSER
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC110183610|XP_020807586.1|DSER
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC110183609|XP_020807585.1|DSER
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC110183997|XP_020808013.1|DSER
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC110183613|XP_020807591.1|DSER
OG0000008	LOC108011129|XP_016931690.1|DSUZ	LOC110182844|XP_020806635.1|DSER
OG0000008	LOC108014245|XP_016935771.2|DSUZ	LOC110191898|XP_020818543.1|DSER
OG0000008	LOC108006378|XP_036675047.1|DSUZ	LOC110191819|XP_020818443.1|DSER
OG0000008	LOC108014235|XP_016935760.2|DSUZ	LOC110191725|XP_020818302.1|DSER
OG0000008	LOC108014237|XP_016935761.1|DSUZ	LOC110191899|XP_020818544.1|DSER
OG0000008	LOC118878011|XP_036674950.1|DSUZ	LOC110191820|XP_020818444.1|DSER
OG0000009	LOC108014185|XP_016935709.1|DSUZ	LOC110188739|XP_020814232.1|DSER
OG0000009	LOC108014181|XP_016935705.2|DSUZ	LOC110188430|XP_020813815.1|DSER
OG0000009	LOC108011538|XP_036673111.1|DSUZ	LOC110186309|XP_020811090.1|DSER
OG0000009	LOC108015574|XP_036672879.1|DSUZ	LOC110188741|XP_020814234.1|DSER
OG0000009	LOC108014176|XP_016935699.1|DSUZ	LOC110188740|XP_020814233.1|DSER
OG0000009	LOC108008708|XP_016928093.1|DSUZ	LOC110181065|XP_020804398.1|DSER
OG0000009	LOC108019245|XP_036673765.1|DSUZ	LOC110176644|XP_020798730.1|DSER
OG0000009	LOC108008467|XP_016927811.1|DSUZ	LOC110178269|XP_020800994.1|DSER
OG0000009	LOC108008503|XP_016927857.1|DSUZ	LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER
OG0000010	LOC118879648|XP_036678436.1|DSUZ, LOC118879264|XP_036678040.1|DSUZ	LOC110182164|XP_020805826.1|DSER
OG0000010	LOC108014626|XP_016936278.1|DSUZ	LOC110183810|XP_020807821.1|DSER
OG0000010	LOC108006791|XP_016925829.1|DSUZ	LOC110176508|XP_020798542.1|DSER, LOC110182165|XP_020805827.1|DSER
OG0000011	LOC108018989|XP_016942085.1|DSUZ	LOC110178138|XP_020800825.1|DSER, LOC110185094|XP_020809444.1|DSER
OG0000011	LOC108009077|XP_016928601.2|DSUZ, LOC108007943|XP_016927205.1|DSUZ	LOC110183280|XP_020807170.1|DSER
OG0000011	LOC108011057|XP_016931608.2|DSUZ, LOC108017249|XP_016939743.2|DSUZ, LOC108005644|XP_016924447.2|DSUZ, LOC108006711|XP_036671367.1|DSUZ, LOC108020533|XP_016944364.2|DSUZ, LOC108018712|XP_036678677.1|DSUZ	LOC110182663|XP_020806400.1|DSER, LOC110187551|XP_020812598.1|DSER, LOC110187412|XP_020812458.1|DSER, LOC110182662|XP_020806399.1|DSER
OG0000011	LOC108009845|XP_016930030.1|DSUZ, LOC108007942|XP_016927238.1|DSUZ, LOC108007310|XP_016926446.1|DSUZ	LOC110185813|XP_020810477.1|DSER
OG0000011	LOC108020156|XP_036668757.1|DSUZ, LOC108014609|XP_016936264.1|DSUZ, LOC108014635|XP_016936289.1|DSUZ, LOC108005222|XP_016923902.1|DSUZ	LOC110182278|XP_020805955.1|DSER
OG0000011	LOC108012408|XP_016933257.1|DSUZ	LOC110191403|XP_020817919.1|DSER
OG0000011	LOC118877899|XP_036674305.1|DSUZ	LOC110185215|XP_020809607.1|DSER
OG0000012	LOC108010292|XP_016930652.1|DSUZ	LOC110178863|XP_020801799.1|DSER
OG0000012	LOC108009919|XP_016930137.1|DSUZ	LOC110178859|XP_020801786.1|DSER
OG0000012	LOC108009918|XP_016930133.2|DSUZ	LOC110190967|XP_020817320.1|DSER
OG0000012	LOC108010305|XP_016930677.1|DSUZ	LOC110176037|XP_020797910.1|DSER
OG0000012	LOC108008915|XP_016928309.1|DSUZ	LOC110181698|XP_020805203.1|DSER
OG0000012	LOC108008112|XP_016927391.1|DSUZ	LOC110180096|XP_020803382.1|DSER
OG0000012	LOC108008405|XP_016927739.1|DSUZ	LOC110181688|XP_020805193.1|DSER
OG0000012	LOC108008893|XP_036669248.1|DSUZ	LOC110176319|XP_020798300.1|DSER
OG0000012	LOC108008513|XP_016927870.1|DSUZ	LOC110178311|XP_020801063.1|DSER
OG0000012	LOC108008168|XP_036669662.1|DSUZ	LOC110178377|XP_020801172.1|DSER
OG0000012	LOC108009570|XP_016929524.1|DSUZ	LOC110178312|XP_020801065.1|DSER
OG0000012	LOC108009572|XP_016929528.1|DSUZ	LOC110178270|XP_020800995.1|DSER, LOC110178283|XP_020801014.1|DSER
OG0000012	LOC108009569|XP_016929521.1|DSUZ	LOC110178292|XP_020801024.1|DSER
OG0000012	LOC108009571|XP_016929527.1|DSUZ	LOC110178324|XP_020801093.1|DSER
OG0000013	LOC108009479|XP_016929350.1|DSUZ	LOC110189766|XP_020815644.1|DSER
OG0000013	LOC108005296|XP_016923987.1|DSUZ	LOC110179613|XP_020802873.1|DSER
OG0000013	LOC108004911|XP_016923486.2|DSUZ	LOC110188689|XP_020814151.1|DSER
OG0000013	LOC108012921|XP_016933934.1|DSUZ	LOC110188838|XP_020814394.1|DSER
