Orthogroup	DSUZ.longest_only	DYAK.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC6536475|XP_002097056.2|DYAK
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC108007475|XP_016926645.1|DSUZ	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC108021133|XP_036668720.1|DSUZ	LOC6536389|XP_002096971.3|DYAK
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC108016521|XP_036671132.1|DSUZ	LOC6527857|XP_002088929.1|DYAK
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC6531513|XP_002092312.3|DYAK
OG0000000	LOC108020024|XP_036672415.1|DSUZ	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK, LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK
OG0000000	LOC108011960|XP_036678587.1|DSUZ	LOC6526414|XP_002087533.2|DYAK
OG0000000	LOC108012139|XP_036675579.1|DSUZ	LOC26535595|XP_015049129.2|DYAK
OG0000000	LOC108012154|XP_036675464.1|DSUZ	LOC6538949|XP_002099452.1|DYAK
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC118877061|XP_036669823.1|DSUZ	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK
OG0000000	LOC108017737|XP_016940334.1|DSUZ	LOC6530976|XP_002091814.2|DYAK
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC118878061|XP_036675143.1|DSUZ	LOC6535316|XP_002095972.1|DYAK
OG0000000	LOC108007479|XP_036670397.1|DSUZ	LOC6539519|XP_002086405.1|DYAK
OG0000000	LOC108007497|XP_016926669.2|DSUZ	LOC6539518|XP_039230304.1|DYAK
OG0000000	LOC108021799|XP_036676928.1|DSUZ	LOC6533890|XP_002094590.1|DYAK
OG0000001	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ	LOC120322268|XP_039233251.1|DYAK, LOC120321436|XP_039229790.1|DYAK
OG0000001	LOC118876749|XP_016938664.1|DSUZ	LOC120320646|XP_039226853.1|DYAK
OG0000001	LOC108020087|XP_016943677.1|DSUZ	LOC120321532|XP_039230206.1|DYAK, LOC120321024|XP_039228172.1|DYAK
