Orthogroup	DSUZ.longest_only	DHYD.longest_only
OG0000000	LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ, LOC108020157|XP_036673587.1|DSUZ	LOC111593957|XP_023162816.2|DHYD
OG0000000	LOC118878061|XP_036675143.1|DSUZ, LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ, LOC108007497|XP_016926669.2|DSUZ, LOC108007477|XP_016926648.2|DSUZ	LOC111603644|XP_023177090.2|DHYD
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC108008947|XP_016928347.2|DSUZ	LOC111602573|XP_030082008.1|DHYD
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC111602383|XP_023175172.2|DHYD
