Orthogroup	DSUZ.longest_only	DFIC.longest_only
OG0000000	LOC108019552|XP_036669814.1|DSUZ	LOC108096481|XP_017053581.1|DFIC
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC108007476|XP_036670350.1|DSUZ	LOC108089296|XP_017042963.1|DFIC
OG0000000	LOC108007475|XP_016926645.1|DSUZ	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC108014040|XP_016935546.2|DSUZ	LOC108098802|XP_017057433.1|DFIC
OG0000000	LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ	LOC108086784|XP_017039313.1|DFIC
OG0000000	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC
OG0000000	LOC108016521|XP_036671132.1|DSUZ	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC
OG0000000	LOC108012139|XP_036675579.1|DSUZ, LOC108012154|XP_036675464.1|DSUZ	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC108011579|XP_036673946.1|DSUZ	LOC108087064|XP_017039728.1|DFIC
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC108017737|XP_016940334.1|DSUZ	LOC108095110|XP_017051537.1|DFIC
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC108097696|XP_017055657.1|DFIC
OG0000000	LOC108007479|XP_036670397.1|DSUZ	LOC108089293|XP_017042959.1|DFIC
OG0000000	LOC108007497|XP_016926669.2|DSUZ	LOC108089294|XP_017042961.1|DFIC
OG0000000	LOC108007738|XP_016926982.2|DSUZ	LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC
OG0000001	LOC118879529|XP_036678279.1|DSUZ, LOC118879060|XP_036677938.1|DSUZ	LOC108094352|XP_017050381.1|DFIC
OG0000001	LOC118878459|XP_036677349.1|DSUZ	LOC108098394|XP_017056755.1|DFIC
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC108090526|XP_017044733.1|DFIC
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC108016449|XP_016938590.2|DSUZ	LOC108095490|XP_017052085.1|DFIC, LOC108086334|XP_017038726.1|DFIC, LOC108086315|XP_017038706.1|DFIC, LOC108100826|XP_017060384.1|DFIC, LOC108100793|XP_017060324.1|DFIC
OG0000002	LOC108009013|XP_016928477.1|DSUZ	LOC108092580|XP_017047713.1|DFIC
OG0000002	LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ	LOC108092286|XP_017047310.1|DFIC
OG0000003	LOC108008945|XP_016928345.1|DSUZ	LOC108087667|XP_017040650.1|DFIC
OG0000003	LOC108008944|XP_016928343.1|DSUZ	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC108008943|XP_016928342.1|DSUZ	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC108087749|XP_017040761.1|DFIC
