Orthogroup	DSUZ.longest_only	DSUB.longest_only
OG0000000	LOC108019552|XP_036669814.1|DSUZ	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ	LOC117898485|XP_034663813.1|DSUB
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC108021133|XP_036668720.1|DSUZ, LOC108014040|XP_016935546.2|DSUZ	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC118878117|XP_036675454.1|DSUZ	LOC117892705|XP_034655010.1|DSUB
OG0000000	LOC118878125|XP_036675508.1|DSUZ	LOC117899325|XP_034665150.1|DSUB
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ	LOC117892569|XP_034654782.1|DSUB
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC117899299|XP_034665108.1|DSUB
OG0000000	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC117897324|XP_034661985.1|DSUB
OG0000001	LOC118879529|XP_036678279.1|DSUZ, LOC118879060|XP_036677938.1|DSUZ, LOC118878459|XP_036677349.1|DSUZ	LOC117902179|XP_034669231.1|DSUB
