Orthogroup	DSUZ.longest_only	DSIM.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC6737447|XP_016031216.1|DSIM
OG0000000	LOC108013696|XP_016935107.1|DSUZ	LOC6732391|XP_002079512.1|DSIM
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC6728686|XP_016035358.1|DSIM
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC6734183|XP_002081212.2|DSIM
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC6738254|XP_039150029.1|DSIM
OG0000000	LOC108007474|XP_036670349.1|DSUZ	LOC6738257|XP_016032137.1|DSIM
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ	LOC6738255|XP_016032135.1|DSIM
OG0000000	LOC108007475|XP_016926645.1|DSUZ	LOC6738256|XP_002085068.1|DSIM
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC6736137|XP_002083037.1|DSIM
OG0000000	LOC108021133|XP_036668720.1|DSUZ	LOC6728763|XP_002104098.1|DSIM, LOC6730296|XP_039151807.1|DSIM
OG0000000	LOC108014081|XP_036675273.1|DSUZ	LOC6730724|XP_016023153.2|DSIM
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC6730293|XP_039151545.1|DSIM
OG0000000	LOC108016521|XP_036671132.1|DSUZ	LOC6731633|XP_002078773.1|DSIM
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC6734670|XP_039148016.1|DSIM
OG0000000	LOC108020024|XP_036672415.1|DSUZ	LOC27209298|XP_016030381.1|DSIM, LOC6738897|XP_002085692.1|DSIM, LOC6734178|XP_002081207.1|DSIM
OG0000000	LOC108011960|XP_036678587.1|DSUZ	LOC6730565|XP_016023011.1|DSIM, LOC6730566|XP_002077745.1|DSIM
OG0000000	LOC108012139|XP_036675579.1|DSUZ	LOC6730283|XP_016037045.1|DSIM
OG0000000	LOC108012154|XP_036675464.1|DSUZ	LOC6730282|XP_002105565.2|DSIM
OG0000000	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ	LOC6732333|XP_039152942.1|DSIM
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC6732608|XP_002079727.1|DSIM
OG0000000	LOC108017737|XP_016940334.1|DSUZ	LOC6735228|XP_002082201.1|DSIM
OG0000000	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC6729989|XP_002105283.1|DSIM
OG0000000	LOC118878061|XP_036675143.1|DSUZ	LOC6726722|XP_002102133.3|DSIM
OG0000000	LOC108007479|XP_036670397.1|DSUZ	LOC6738252|XP_002085064.1|DSIM
OG0000000	LOC108007497|XP_016926669.2|DSUZ	LOC6738253|XP_039150090.1|DSIM
OG0000000	LOC108021799|XP_036676928.1|DSUZ	LOC6737828|XP_002084656.1|DSIM
OG0000001	LOC118879535|XP_036678284.1|DSUZ, LOC118879596|XP_036678401.1|DSUZ	LOC120284769|XP_039149499.1|DSIM, LOC120284971|XP_039150785.1|DSIM
OG0000001	LOC118878822|XP_036677740.1|DSUZ	LOC120285672|XP_039154228.1|DSIM, LOC120284833|XP_039150170.1|DSIM, LOC120284434|XP_039148214.1|DSIM
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC6734821|XP_002081824.1|DSIM
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC6735666|XP_002082584.2|DSIM
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC6735665|XP_002082583.2|DSIM
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC6738777|XP_016032596.1|DSIM
OG0000003	LOC108008945|XP_016928345.1|DSUZ	LOC6734558|XP_002081567.1|DSIM
OG0000003	LOC108008944|XP_016928343.1|DSUZ	LOC6734560|XP_016027665.1|DSIM
OG0000003	LOC118877697|XP_036673424.1|DSUZ	LOC6729847|XP_016036585.1|DSIM
OG0000003	LOC108008943|XP_016928342.1|DSUZ	LOC6734561|XP_002081570.1|DSIM
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC6733269|XP_002080332.1|DSIM
OG0000003	LOC108008948|XP_016928348.1|DSUZ	LOC6734555|XP_002081564.3|DSIM
OG0000003	LOC108008947|XP_016928347.2|DSUZ	LOC6734556|XP_016027664.2|DSIM
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC6734559|XP_002081568.1|DSIM
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC6734554|XP_039147555.1|DSIM
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC6733557|XP_016026506.1|DSIM
OG0000003	LOC108019592|XP_016942921.1|DSUZ	LOC6733555|XP_039148197.1|DSIM
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC6731100|XP_002078257.3|DSIM
OG0000005	LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ	LOC120285549|XP_039154139.1|DSIM, LOC27207875|XP_039154141.1|DSIM
OG0000005	LOC108016328|XP_036678434.1|DSUZ	LOC120285267|XP_039152656.1|DSIM
OG0000005	LOC118879512|XP_036678269.1|DSUZ	LOC120285268|XP_039152661.1|DSIM
OG0000005	LOC118877313|XP_036671386.1|DSUZ	LOC120285547|XP_039154137.1|DSIM
OG0000006	LOC118879268|XP_036678045.1|DSUZ	LOC120285542|XP_039154132.1|DSIM
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC120285545|XP_039154135.1|DSIM
OG0000006	LOC118879645|XP_036678432.1|DSUZ	LOC27208095|XP_016025859.1|DSIM
OG0000007	LOC108004804|XP_016923359.1|DSUZ	LOC6738477|XP_016032322.1|DSIM
OG0000007	LOC118877416|XP_036672028.1|DSUZ	LOC6736955|XP_002083802.1|DSIM
OG0000007	LOC108013025|XP_016934104.1|DSUZ	LOC6736956|XP_002083803.1|DSIM
OG0000007	LOC108013029|XP_016934109.1|DSUZ	LOC6736953|XP_002083800.1|DSIM
OG0000007	LOC108012496|XP_016933394.1|DSUZ	LOC6736951|XP_016030595.1|DSIM
OG0000007	LOC108012427|XP_016933279.1|DSUZ	LOC6736948|XP_039149135.1|DSIM
OG0000007	LOC108012288|XP_016933078.2|DSUZ	LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM
OG0000007	LOC108013028|XP_016934108.1|DSUZ	LOC6736952|XP_002083799.1|DSIM
OG0000007	LOC108013026|XP_016934106.1|DSUZ	LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM
