Orthogroup	DSUZ.longest_only	AAEG.longest_only
OG0000004	LOC118879510|XP_036678268.1|DSUZ, LOC108016323|XP_016938449.2|DSUZ, LOC118877303|XP_036671346.1|DSUZ, LOC118879250|XP_036678028.1|DSUZ, LOC118879509|XP_036678267.1|DSUZ, LOC118879267|XP_036678044.1|DSUZ, LOC118879249|XP_036678027.1|DSUZ, LOC118879639|XP_036678427.1|DSUZ, LOC118877305|XP_036671351.1|DSUZ, LOC118879640|XP_036678428.1|DSUZ	LOC110678209|XP_021706524.1|AAEG
OG0000005	LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC110678836|XP_021708006.1|AAEG
OG0000006	LOC108016327|XP_016938453.2|DSUZ	LOC110679784|XP_021711208.1|AAEG
OG0000006	LOC118879645|XP_036678432.1|DSUZ	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG
OG0000007	LOC108004804|XP_016923359.1|DSUZ, LOC118877416|XP_036672028.1|DSUZ, LOC108013025|XP_016934104.1|DSUZ, LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ, LOC118879795|XP_036678702.1|DSUZ, LOC108019834|XP_016943342.1|DSUZ, LOC108017241|XP_036675632.1|DSUZ, LOC108015466|XP_016937387.2|DSUZ, LOC118876800|XP_036668611.1|DSUZ, LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ, LOC108013030|XP_016934110.1|DSUZ	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC5578716|XP_001664018.2|AAEG
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
OG0000009	LOC108014185|XP_016935709.1|DSUZ, LOC108014181|XP_016935705.2|DSUZ, LOC108011538|XP_036673111.1|DSUZ, LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ, LOC108011415|XP_036670407.1|DSUZ, LOC108008708|XP_016928093.1|DSUZ, LOC108019245|XP_036673765.1|DSUZ, LOC108008467|XP_016927811.1|DSUZ, LOC108008503|XP_016927857.1|DSUZ	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	LOC118879264|XP_036678040.1|DSUZ	LOC110677925|XP_021705635.1|AAEG, LOC110678359|XP_021706812.1|AAEG
OG0000010	LOC118879650|XP_036678438.1|DSUZ	LOC110678205|XP_021706523.1|AAEG
OG0000010	LOC108014626|XP_016936278.1|DSUZ	LOC110679751|XP_021711173.1|AAEG
OG0000010	LOC118877317|XP_036671430.1|DSUZ	LOC110679806|XP_021711230.1|AAEG
OG0000012	LOC108010292|XP_016930652.1|DSUZ, LOC108009919|XP_016930137.1|DSUZ, LOC108009918|XP_016930133.2|DSUZ, LOC108010305|XP_016930677.1|DSUZ, LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ, LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ, LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC108009479|XP_016929350.1|DSUZ	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC108005296|XP_016923987.1|DSUZ	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC108004911|XP_016923486.2|DSUZ	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC108012921|XP_016933934.1|DSUZ	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC108018484|XP_016941530.2|DSUZ	LOC110679299|XP_021709332.1|AAEG
OG0000013	LOC108015759|XP_036673283.1|DSUZ, LOC108007391|XP_016926534.2|DSUZ	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ, LOC108009286|XP_016929004.1|DSUZ	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC108008079|XP_016927358.2|DSUZ	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC108011133|XP_016931695.1|DSUZ	LOC5574526|XP_001655175.1|AAEG
OG0000016	LOC108007764|XP_016927008.1|DSUZ	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC108012738|XP_016933660.1|DSUZ	LOC5578131|XP_001663702.2|AAEG
OG0000018	LOC108013582|XP_016934999.1|DSUZ	LOC5577643|XP_001656641.1|AAEG
OG0000019	LOC108016142|XP_016938246.1|DSUZ, LOC108016122|XP_036675619.1|DSUZ, LOC118878133|XP_036675618.1|DSUZ, LOC108016148|XP_016938252.2|DSUZ, LOC108016158|XP_036675606.1|DSUZ, LOC108016141|XP_016938245.1|DSUZ, LOC108016139|XP_016938240.1|DSUZ, LOC108016146|XP_016938250.2|DSUZ	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC108007025|XP_016926120.1|DSUZ, LOC108007202|XP_036674589.1|DSUZ, LOC108009233|XP_016928887.1|DSUZ	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC108013616|XP_036668598.1|DSUZ, LOC118877588|XP_036672754.1|DSUZ, LOC108016353|XP_036675239.1|DSUZ, LOC108010328|XP_016930743.1|DSUZ, LOC108021143|XP_036673557.1|DSUZ, LOC108015714|XP_036672549.1|DSUZ, LOC108010610|XP_036674725.1|DSUZ, LOC108021708|XP_016946031.1|DSUZ, LOC108021147|XP_016945207.1|DSUZ	LOC5578230|XP_021697387.1|AAEG
OG0000021	LOC108012220|XP_036675724.1|DSUZ	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC108006427|XP_036673222.1|DSUZ, LOC108018719|XP_036672548.1|DSUZ, LOC108005418|XP_036676931.1|DSUZ	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC108013955|XP_036675219.1|DSUZ, LOC108019331|XP_016942642.2|DSUZ, LOC108013956|XP_036675220.1|DSUZ, LOC108013952|XP_016935450.2|DSUZ, LOC108019337|XP_016942646.2|DSUZ, LOC108009166|XP_016928770.1|DSUZ, LOC108018731|XP_036675082.1|DSUZ, LOC108013954|XP_016935453.2|DSUZ, LOC108013962|XP_016935466.1|DSUZ, LOC108013947|XP_036675218.1|DSUZ, LOC108013965|XP_016935470.1|DSUZ	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
